dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000539,0.381950,0.000563,0.022500,0.450000,9.000000,0.000000
0.050000,0.002788,0.381950,0.002812,0.045000,0.450000,-0.000000,0.000000
0.050000,0.007851,0.381950,0.007875,0.101250,1.125000,13.500000,0.000000
0.050000,0.016851,0.381950,0.016875,0.180000,1.575000,9.000000,0.000000
0.050000,0.030351,0.381950,0.030375,0.270000,1.800000,4.500000,0.000000
0.050000,0.048351,0.381950,0.048375,0.360000,1.800000,-0.000000,0.000000
0.050000,0.070851,0.381950,0.070875,0.450000,1.800000,0.000000,0.000000
0.050000,0.097851,0.381950,0.097875,0.540000,1.800000,-0.000000,0.000000
0.050000,0.129351,0.381950,0.129375,0.630000,1.800000,0.000000,0.000000
0.050000,0.165351,0.381950,0.165375,0.720000,1.800000,0.000000,0.000000
0.050000,0.205851,0.381950,0.205875,0.810000,1.800000,0.000000,0.000000
0.050000,0.250851,0.381950,0.250875,0.900000,1.800000,-0.000000,0.000000
0.050000,0.300351,0.381950,0.300375,0.990000,1.800000,-0.000000,0.000000
0.050000,0.354351,0.381950,0.354375,1.080000,1.800000,-0.000000,0.000000
0.050000,0.412851,0.381950,0.412875,1.170000,1.800000,0.000000,0.000000
0.050000,0.475851,0.381950,0.475875,1.260000,1.800000,0.000000,0.000000
0.050000,0.543351,0.381950,0.543375,1.350000,1.800000,-0.000000,0.000000
0.050000,0.615351,0.381950,0.615375,1.440000,1.800000,0.000000,0.000000
0.050000,0.691851,0.381950,0.691875,1.530000,1.800000,-0.000000,0.000000
0.050000,0.772851,0.381950,0.772875,1.620000,1.800000,0.000000,0.000000
0.050000,0.857788,0.381950,0.857812,1.698750,1.575000,-4.500000,0.000000
0.050000,0.945538,0.381950,0.945562,1.755000,1.125000,-9.000000,0.000000
0.050000,1.034976,0.381950,1.035000,1.788750,0.675000,-9.000000,0.000000
0.050000,1.124976,0.381950,1.125000,1.800000,0.225000,-9.000000,0.000000
0.050000,1.214976,0.381950,1.215000,1.800000,0.000000,-4.500000,0.000000
0.050000,1.304976,0.381950,1.305000,1.800000,0.000000,0.000000,0.000000
0.050000,1.394789,0.381950,1.394813,1.796253,-0.074940,-1.498800,0.000000
0.050000,1.483664,0.381950,1.483688,1.777509,-0.374880,-5.998800,0.000000
0.050000,1.570477,0.381950,1.570501,1.736265,-0.824880,-9.000000,0.000000
0.050000,1.654103,0.381950,1.654127,1.672521,-1.274880,-9.000000,0.000000
0.050000,1.733605,0.381950,1.733629,1.590024,-1.649940,-7.501200,0.000000
0.050000,1.808606,0.381950,1.808630,1.500024,-1.800000,-3.001200,0.000000
0.050000,1.879107,0.381950,1.879131,1.410024,-1.800000,0.000000,0.000000
0.050000,1.945108,0.381950,1.945132,1.320024,-1.800000,-0.000000,0.000000
0.050000,2.006609,0.381950,2.006633,1.230024,-1.800000,0.000000,0.000000
0.050000,2.063611,0.381950,2.063635,1.140024,-1.800000,0.000000,0.000000
0.050000,2.116112,0.381950,2.116136,1.050024,-1.800000,-0.000000,0.000000
0.050000,2.164113,0.381950,2.164137,0.960024,-1.800000,0.000000,0.000000
0.050000,2.207614,0.381950,2.207638,0.870024,-1.800000,-0.000000,0.000000
0.050000,2.246615,0.381950,2.246639,0.780024,-1.800000,0.000000,0.000000
0.050000,2.281117,0.381950,2.281141,0.690024,-1.800000,0.000000,0.000000
0.050000,2.311118,0.381950,2.311142,0.600024,-1.800000,-0.000000,0.000000
0.050000,2.336619,0.381950,2.336643,0.510024,-1.800000,0.000000,0.000000
0.050000,2.357620,0.381950,2.357644,0.420024,-1.800000,-0.000000,0.000000
0.050000,2.374121,0.381950,2.374145,0.330024,-1.800000,0.000000,0.000000
0.050000,2.386123,0.381950,2.386147,0.240024,-1.800000,0.000000,0.000000
0.050000,2.393811,0.381950,2.393835,0.153771,-1.725060,1.498800,0.000000
0.050000,2.397937,0.381950,2.397961,0.082515,-1.425120,5.998800,0.000000
0.050000,2.399625,0.381950,2.399649,0.033759,-0.975120,9.000000,0.000000
0.050000,2.400000,0.381950,2.400024,0.007503,-0.525120,9.000000,0.000000
0.050000,2.400000,0.381950,2.400024,0.000000,-0.150060,7.501200,0.000000
