dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000523,0.381950,0.000547,0.021875,0.437500,8.750000,0.000000
0.050000,0.002710,0.381950,0.002734,0.043750,0.437500,-0.000000,0.000000
0.050000,0.007632,0.381950,0.007656,0.098437,1.093750,13.125000,0.000000
0.050000,0.016382,0.381950,0.016406,0.175000,1.531250,8.750000,0.000000
0.050000,0.029507,0.381950,0.029531,0.262500,1.750000,4.375000,0.000000
0.050000,0.047007,0.381950,0.047031,0.350000,1.750000,-0.000000,0.000000
0.050000,0.068882,0.381950,0.068906,0.437500,1.750000,0.000000,0.000000
0.050000,0.095132,0.381950,0.095156,0.525000,1.750000,-0.000000,0.000000
0.050000,0.125757,0.381950,0.125781,0.612500,1.750000,0.000000,0.000000
0.050000,0.160757,0.381950,0.160781,0.700000,1.750000,0.000000,0.000000
0.050000,0.200132,0.381950,0.200156,0.787500,1.750000,0.000000,0.000000
0.050000,0.243882,0.381950,0.243906,0.875000,1.750000,-0.000000,0.000000
0.050000,0.292007,0.381950,0.292031,0.962500,1.750000,-0.000000,0.000000
0.050000,0.344507,0.381950,0.344531,1.050000,1.750000,-0.000000,0.000000
0.050000,0.401382,0.381950,0.401406,1.137500,1.750000,0.000000,0.000000
0.050000,0.462632,0.381950,0.462656,1.225000,1.750000,0.000000,0.000000
0.050000,0.528257,0.381950,0.528281,1.312500,1.750000,0.000000,0.000000
0.050000,0.598257,0.381950,0.598281,1.400000,1.750000,-0.000000,0.000000
0.050000,0.672632,0.381950,0.672656,1.487500,1.750000,0.000000,0.000000
0.050000,0.751382,0.381950,0.751406,1.575000,1.750000,-0.000000,0.000000
0.050000,0.833960,0.381950,0.833984,1.651562,1.531250,-4.375000,0.000000
0.050000,0.919273,0.381950,0.919297,1.706250,1.093750,-8.750000,0.000000
0.050000,1.006226,0.381950,1.006250,1.739062,0.656250,-8.750000,0.000000
0.050000,1.093726,0.381950,1.093750,1.750000,0.218750,-8.750000,0.000000
0.050000,1.181226,0.381950,1.181250,1.750000,-0.000000,-4.375000,0.000000
0.050000,1.268726,0.381950,1.268750,1.750000,0.000000,0.000000,0.000000
0.050000,1.356226,0.381950,1.356250,1.750000,0.000000,-0.000000,0.000000
0.050000,1.443414,0.381950,1.443438,1.743753,-0.124940,-2.498800,0.000000
0.050000,1.529430,0.381950,1.529454,1.720322,-0.468630,-6.873800,0.000000
0.050000,1.613180,0.381950,1.613204,1.675015,-0.906130,-8.750000,0.000000
0.050000,1.693572,0.381950,1.693596,1.607834,-1.343630,-8.750000,0.000000
0.050000,1.769823,0.381950,1.769847,1.525024,-1.656190,-6.251200,0.000000
0.050000,1.841700,0.381950,1.841724,1.437524,-1.750000,-1.876200,0.000000
0.050000,1.909201,0.381950,1.909225,1.350024,-1.750000,0.000000,0.000000
0.050000,1.972327,0.381950,1.972351,1.262524,-1.750000,-0.000000,0.000000
0.050000,2.031078,0.381950,2.031102,1.175024,-1.750000,0.000000,0.000000
0.050000,2.085454,0.381950,2.085478,1.087524,-1.750000,0.000000,0.000000
0.050000,2.135456,0.381950,2.135480,1.000024,-1.750000,-0.000000,0.000000
0.050000,2.181082,0.381950,2.181106,0.912524,-1.750000,0.000000,0.000000
0.050000,2.222333,0.381950,2.222357,0.825024,-1.750000,-0.000000,0.000000
0.050000,2.259209,0.381950,2.259233,0.737524,-1.750000,-0.000000,0.000000
0.050000,2.291710,0.381950,2.291734,0.650024,-1.750000,0.000000,0.000000
0.050000,2.319837,0.381950,2.319861,0.562524,-1.750000,0.000000,0.000000
0.050000,2.343588,0.381950,2.343612,0.475024,-1.750000,-0.000000,0.000000
0.050000,2.362964,0.381950,2.362988,0.387524,-1.750000,0.000000,0.000000
0.050000,2.377965,0.381950,2.377989,0.300024,-1.750000,0.000000,0.000000
0.050000,2.388591,0.381950,2.388615,0.212524,-1.750000,-0.000000,0.000000
0.050000,2.395155,0.381950,2.395179,0.131271,-1.625060,2.498800,0.000000
0.050000,2.398515,0.381950,2.398539,0.067202,-1.281370,6.873800,0.000000
0.050000,2.399765,0.381950,2.399789,0.025009,-0.843870,8.750000,0.000000
0.050000,2.400000,0.381950,2.400024,0.004690,-0.406370,8.750000,0.000000
0.050000,2.400000,0.381950,2.400024,0.000000,-0.093810,6.251200,0.000000
