dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002901,2.833303,0.002941,0.117647,2.352941,47.058824,0.001818
0.050000,0.011725,2.833343,0.011765,0.235294,2.352941,0.000000,0.007364
0.050000,0.026429,2.833520,0.026471,0.352941,2.352941,0.000000,0.016661
0.050000,0.047012,2.833998,0.047059,0.470588,2.352941,-0.000000,0.029784
0.050000,0.073463,2.835011,0.073529,0.588235,2.352941,0.000000,0.046832
0.050000,0.105762,2.836865,0.105882,0.705882,2.352941,0.000000,0.067910
0.050000,0.143872,2.839939,0.144118,0.823529,2.352941,-0.000000,0.093122
0.050000,0.187732,2.844686,0.188235,0.941176,2.352941,0.000000,0.122541
0.050000,0.237245,2.851630,0.238235,1.058824,2.352941,0.000000,0.156183
0.050000,0.292270,2.861363,0.294118,1.176471,2.352941,0.000000,0.193969
0.050000,0.352611,2.874530,0.355882,1.294118,2.352941,0.000000,0.235686
0.050000,0.418007,2.891813,0.423529,1.411765,2.352941,0.000000,0.280938
0.050000,0.488133,2.913901,0.497059,1.529412,2.352941,-0.000000,0.329125
0.050000,0.562600,2.941460,0.576471,1.647059,2.352941,0.000000,0.379422
0.050000,0.640973,2.975092,0.661765,1.764706,2.352941,0.000000,0.430803
0.050000,0.722793,3.015302,0.752941,1.882353,2.352941,0.000000,0.482088
0.050000,0.807611,3.062465,0.850000,2.000000,2.352941,0.000000,0.532026
0.050000,0.892566,3.115199,0.950000,2.000000,0.000000,-47.058824,0.578105
0.050000,0.975161,3.171562,1.050000,2.000000,0.000000,0.000000,0.618585
0.050000,1.055575,3.230997,1.150000,2.000000,0.000000,0.000000,0.653492
0.050000,1.134037,3.292989,1.250000,2.000000,0.000000,0.000000,0.682955
0.050000,1.210809,3.357064,1.350000,2.000000,0.000000,0.000000,0.707162
0.050000,1.286176,3.422787,1.450000,2.000000,0.000000,0.000000,0.726312
0.050000,1.360436,3.489760,1.550000,2.000000,0.000000,0.000000,0.740594
0.050000,1.433892,3.557613,1.650000,2.000000,0.000000,0.000000,0.750162
0.050000,1.506854,3.625997,1.750000,2.000000,0.000000,0.000000,0.755126
0.050000,1.579633,3.694578,1.850000,2.000000,0.000000,0.000000,0.755547
0.050000,1.652537,3.763025,1.950000,2.000000,0.000000,0.000000,0.751428
0.050000,1.725879,3.831002,2.050000,2.000000,0.000000,0.000000,0.742722
0.050000,1.799966,3.898166,2.150000,2.000000,0.000000,0.000000,0.729326
0.050000,1.875105,3.964150,2.250000,2.000000,0.000000,0.000000,0.711092
0.050000,1.951594,4.028562,2.350000,2.000000,0.000000,0.000000,0.687840
0.050000,2.029722,4.090975,2.450000,2.000000,0.000000,0.000000,0.659367
0.050000,2.109755,4.150923,2.550000,2.000000,0.000000,0.000000,0.625483
0.050000,2.191930,4.207896,2.650000,2.000000,0.000000,0.000000,0.586042
0.050000,2.276436,4.261348,2.750000,2.000000,0.000000,0.000000,0.540998
0.050000,2.361285,4.309568,2.847604,1.904142,-1.917156,-38.343119,0.491734
0.050000,2.443682,4.351064,2.939869,1.786495,-2.352941,-8.715704,0.440624
0.050000,2.522718,4.385903,3.026253,1.668848,-2.352941,0.000000,0.389187
0.050000,2.597934,4.414566,3.106754,1.551201,-2.352941,-0.000000,0.338620
0.050000,2.668888,4.437641,3.181373,1.433554,-2.352941,0.000000,0.289983
0.050000,2.735181,4.455783,3.250110,1.315907,-2.352941,0.000000,0.244140
0.050000,2.796474,4.469680,3.312964,1.198260,-2.352941,0.000000,0.201735
0.050000,2.852497,4.480017,3.369936,1.080613,-2.352941,0.000000,0.163200
0.050000,2.903041,4.487448,3.421025,0.962966,-2.352941,0.000000,0.128778
0.050000,2.947954,4.492575,3.466232,0.845319,-2.352941,-0.000000,0.098573
0.050000,2.987134,4.495935,3.505557,0.727672,-2.352941,0.000000,0.072583
0.050000,3.020512,4.497995,3.538999,0.610025,-2.352941,0.000000,0.050742
0.050000,3.048048,4.499147,3.566559,0.492377,-2.352941,0.000000,0.032953
0.050000,3.069718,4.499711,3.588237,0.374730,-2.352941,0.000000,0.019108
0.050000,3.085512,4.499934,3.604033,0.257083,-2.352941,-0.000000,0.009106
0.050000,3.095425,4.499993,3.613946,0.139436,-2.352941,0.000000,0.002869
0.050000,3.099455,4.500000,3.617976,0.021789,-2.352941,0.000000,0.000341
0.050000,3.100000,4.500000,3.618521,0.000000,-0.435785,38.343119,6.283185
0.050000,3.100000,4.500000,3.618521,0.000000,0.000000,8.715704,6.283185
