dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000388,3.215250,0.000547,0.021875,0.437500,8.750000,0.000318
0.050000,0.002054,3.215252,0.002213,0.033316,0.228825,-4.173492,0.001684
0.050000,0.005800,3.215264,0.005959,0.074931,0.832302,12.069524,0.004761
0.050000,0.012456,3.215314,0.012615,0.133110,1.163573,6.625421,0.010245
0.050000,0.022426,3.215457,0.022586,0.199431,1.326416,3.256871,0.018501
0.050000,0.035697,3.215776,0.035861,0.265496,1.321304,-0.102248,0.029563
0.050000,0.052249,3.216380,0.052424,0.331265,1.315376,-0.118556,0.043469
0.050000,0.072060,3.217409,0.072261,0.396738,1.309474,-0.118041,0.060259
0.050000,0.095102,3.219026,0.095360,0.461975,1.304737,-0.094736,0.079963
0.050000,0.121347,3.221428,0.121715,0.527107,1.302639,-0.041957,0.102594
0.050000,0.150768,3.224838,0.151333,0.592357,1.305003,0.047268,0.128138
0.050000,0.183338,3.229505,0.184236,0.658056,1.313968,0.179304,0.156534
0.050000,0.219035,3.235711,0.220469,0.724650,1.331892,0.358488,0.187667
0.050000,0.257845,3.243762,0.260104,0.792708,1.361152,0.585199,0.221343
0.050000,0.299759,3.253992,0.303249,0.862900,1.403839,0.853730,0.257284
0.050000,0.344782,3.266759,0.350047,0.935968,1.461366,1.150551,0.295113
0.050000,0.392926,3.282441,0.400681,1.012671,1.534061,1.453890,0.334354
0.050000,0.444210,3.301429,0.455367,1.093713,1.620838,1.735542,0.374440
0.050000,0.498655,3.324118,0.514350,1.179668,1.719104,1.965312,0.414727
0.050000,0.556284,3.350893,0.577896,1.270917,1.824975,2.117435,0.454523
0.050000,0.616720,3.381901,0.645822,1.358522,1.752105,-1.457409,0.492873
0.050000,0.679182,3.416937,0.717440,1.432356,1.476665,-5.508801,0.528717
0.050000,0.742896,3.455597,0.791965,1.490506,1.163002,-6.273251,0.561247
0.050000,0.807094,3.497287,0.868512,1.530936,0.808602,-7.088014,0.589917
0.050000,0.871418,3.541542,0.946590,1.561555,0.612391,-3.924212,0.614580
0.050000,0.935933,3.588119,1.026160,1.591414,0.597173,-0.304352,0.635337
0.050000,1.000718,3.636774,1.107182,1.620428,0.580281,-0.337848,0.652296
0.050000,1.065876,3.687265,1.189613,1.648621,0.563862,-0.328370,0.665566
0.050000,1.131527,3.739353,1.273418,1.676094,0.549465,-0.287955,0.675240
0.050000,1.197811,3.792803,1.358568,1.703002,0.538149,-0.226316,0.681392
0.050000,1.264888,3.847382,1.445044,1.729532,0.530600,-0.150980,0.684071
0.050000,1.332935,3.902858,1.532839,1.755893,0.527212,-0.067750,0.683300
0.050000,1.402146,3.958994,1.621954,1.782300,0.528148,0.018706,0.679071
0.050000,1.472732,4.015550,1.712402,1.808968,0.533358,0.104216,0.671351
0.050000,1.544918,4.072271,1.804207,1.836097,0.542582,0.184468,0.660079
0.050000,1.618943,4.128887,1.897400,1.863862,0.555300,0.254369,0.645172
0.050000,1.695054,4.185100,1.992020,1.892396,0.570671,0.307422,0.626528
0.050000,1.773505,4.240584,2.088108,1.921767,0.587431,0.335183,0.604037
0.050000,1.854542,4.294974,2.185706,1.951956,0.603776,0.326915,0.577592
0.050000,1.938161,4.347713,2.284567,1.977227,0.505417,-1.967191,0.547195
0.050000,2.023739,4.397908,2.383780,1.984249,0.140441,-7.299518,0.513162
0.050000,2.110170,4.444558,2.481997,1.964341,-0.398151,-10.771845,0.476156
0.050000,2.196123,4.486808,2.577772,1.915504,-0.976743,-11.571840,0.437101
0.050000,2.280316,4.524129,2.669866,1.841883,-1.472419,-9.913520,0.397018
0.050000,2.361938,4.556450,2.757654,1.755762,-1.722413,-4.999877,0.356756
0.050000,2.440481,4.583969,2.840879,1.664499,-1.825266,-2.057064,0.316988
0.050000,2.515459,4.606977,2.919308,1.568564,-1.918711,-1.868894,0.278326
0.050000,2.586423,4.625845,2.992737,1.468594,-1.999393,-1.613641,0.241298
0.050000,2.652986,4.640999,3.061003,1.365325,-2.065379,-1.319724,0.206336
0.050000,2.714827,4.652897,3.123979,1.259513,-2.116231,-1.017032,0.173773
0.050000,2.771696,4.662006,3.181573,1.151874,-2.152793,-0.731238,0.143848
0.050000,2.823406,4.668781,3.233724,1.043033,-2.176819,-0.480517,0.116718
0.050000,2.869826,4.673654,3.280400,0.933505,-2.190559,-0.274807,0.092473
0.050000,2.910873,4.677019,3.321584,0.823685,-2.196404,-0.116906,0.071151
0.050000,2.946497,4.679229,3.357277,0.713853,-2.196628,-0.004469,0.052752
0.050000,2.976676,4.680587,3.387486,0.604192,-2.193233,0.067899,0.037256
0.050000,3.001404,4.681353,3.412226,0.494797,-2.187886,0.106947,0.024626
0.050000,3.020685,4.681733,3.431511,0.385702,-2.181907,0.119569,0.014823
0.050000,3.034529,4.681890,3.445355,0.276887,-2.176300,0.112152,0.007811
0.050000,3.043247,4.681939,3.454074,0.174365,-2.050441,2.517165,0.003406
0.050000,3.047827,4.681949,3.458654,0.091598,-1.655328,7.902271,0.001095
0.050000,3.049626,4.681950,3.460453,0.035986,-1.112257,10.861420,0.000188
0.050000,3.050000,4.681950,3.460827,0.007480,-0.570120,10.842725,0.000000
0.050000,3.050000,4.681950,3.460827,0.000000,-0.149593,8.410559,0.000000
