dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000650,2.451350,0.000563,0.022500,0.450000,9.000000,0.000328
0.050000,0.003437,2.451353,0.003349,0.055732,0.664640,4.292805,0.001733
0.050000,0.009708,2.451374,0.009621,0.125429,1.393939,14.585974,0.004898
0.050000,0.020862,2.451460,0.020775,0.223092,1.953252,11.186262,0.010539
0.050000,0.037605,2.451707,0.037519,0.334884,2.235842,5.651793,0.019033
0.050000,0.059945,2.452260,0.059866,0.446944,2.241199,0.107140,0.030414
0.050000,0.087891,2.453310,0.087832,0.559312,2.247371,0.123438,0.044725
0.050000,0.121442,2.455102,0.121431,0.671984,2.253437,0.121330,0.062004
0.050000,0.160585,2.457930,0.160676,0.784892,2.258151,0.094273,0.082282
0.050000,0.205281,2.462141,0.205570,0.897886,2.259899,0.034968,0.105571
0.050000,0.255462,2.468126,0.256106,1.010721,2.256692,-0.064135,0.131851
0.050000,0.311012,2.476320,0.312258,1.123031,2.246205,-0.209757,0.161052
0.050000,0.371764,2.487190,0.373974,1.234326,2.225896,-0.406165,0.193043
0.050000,0.437482,2.501222,0.441174,1.343989,2.193249,-0.652942,0.227610
0.050000,0.507860,2.518899,0.513738,1.451294,2.146117,-0.942653,0.264444
0.050000,0.582521,2.540681,0.591511,1.555453,2.083163,-1.259071,0.303134
0.050000,0.661016,2.566978,0.674294,1.655668,2.004309,-1.577078,0.343162
0.050000,0.742850,2.598125,0.761855,1.751220,1.911048,-1.865230,0.383919
0.050000,0.827496,2.634364,0.853933,1.841545,1.806486,-2.091225,0.424719
0.050000,0.914431,2.675824,0.950247,1.926296,1.695021,-2.229304,0.464833
0.050000,1.002588,2.722205,1.049862,1.992283,1.319746,-7.505500,0.503274
0.050000,1.090495,2.772703,1.151240,2.027572,0.705778,-12.279359,0.538970
0.050000,1.176920,2.826329,1.252951,2.034210,0.132757,-11.460432,0.571114
0.050000,1.260863,2.881984,1.353667,2.014334,-0.397514,-10.605416,0.599181
0.050000,1.342019,2.938878,1.452779,1.982241,-0.641854,-4.886793,0.623043
0.050000,1.420656,2.996604,1.550330,1.951020,-0.624436,0.348365,0.642817
0.050000,1.497049,3.054802,1.646366,1.920713,-0.606143,0.365856,0.658622
0.050000,1.571468,3.113145,1.740929,1.891255,-0.589157,0.339716,0.670569
0.050000,1.644174,3.171336,1.834054,1.862504,-0.575005,0.283039,0.678752
0.050000,1.715413,3.229097,1.925767,1.834269,-0.564699,0.206113,0.683239
0.050000,1.785415,3.286165,2.016084,1.806326,-0.558859,0.116805,0.684067
0.050000,1.854392,3.342283,2.105006,1.778437,-0.557798,0.021227,0.681244
0.050000,1.922536,3.397199,2.192523,1.750358,-0.561572,-0.075489,0.674746
0.050000,1.990020,3.450658,2.278616,1.721858,-0.569992,-0.168393,0.664518
0.050000,2.056994,3.502406,2.363253,1.692729,-0.582588,-0.251912,0.650477
0.050000,2.123588,3.552181,2.446393,1.662802,-0.598540,-0.319058,0.632520
0.050000,2.189909,3.599718,2.527992,1.631973,-0.616575,-0.360695,0.610528
0.050000,2.256043,3.644754,2.608003,1.600232,-0.634825,-0.364989,0.584383
0.050000,2.321827,3.686887,2.686123,1.562400,-0.756644,-2.436395,0.554092
0.050000,2.386671,3.725532,2.761610,1.509727,-1.053447,-5.936059,0.519990
0.050000,2.449784,3.760156,2.833596,1.439734,-1.399877,-6.928593,0.482754
0.050000,2.510368,3.790429,2.901323,1.354538,-1.703911,-6.080678,0.443339
0.050000,2.567848,3.816331,2.964369,1.260910,-1.872558,-3.372942,0.402781
0.050000,2.622058,3.838147,3.022805,1.168719,-1.843812,0.574914,0.361935
0.050000,2.673024,3.856286,3.076902,1.081949,-1.735414,2.167965,0.321511
0.050000,2.720768,3.871159,3.126908,1.000126,-1.636457,1.979144,0.282157
0.050000,2.765306,3.883169,3.173038,0.922591,-1.550702,1.715100,0.244433
0.050000,2.806649,3.892705,3.215466,0.848571,-1.480393,1.406176,0.208799
0.050000,2.844797,3.900130,3.254330,0.777264,-1.426139,1.085089,0.175612
0.050000,2.879738,3.905782,3.289725,0.707908,-1.387120,0.780368,0.145126
0.050000,2.911454,3.909971,3.321717,0.639833,-1.361499,0.512424,0.117509
0.050000,2.939920,3.912976,3.350341,0.572490,-1.346872,0.292545,0.092857
0.050000,2.965108,3.915047,3.375614,0.505456,-1.340669,0.124051,0.071211
0.050000,2.986988,3.916402,3.397536,0.438434,-1.340445,0.004493,0.052572
0.050000,3.005531,3.917232,3.416097,0.371232,-1.344044,-0.071989,0.036918
0.050000,3.020711,3.917696,3.431285,0.303748,-1.349681,-0.112746,0.024211
0.050000,3.032507,3.917924,3.443082,0.235950,-1.355946,-0.125297,0.014410
0.050000,3.040899,3.918016,3.451475,0.167862,-1.361775,-0.116569,0.007478
0.050000,3.046110,3.918044,3.456686,0.104221,-1.272815,1.779189,0.003191
0.050000,3.048794,3.918049,3.459371,0.053685,-1.010710,5.242091,0.000988
0.050000,3.049806,3.918050,3.460382,0.020225,-0.669201,6.830187,0.000159
0.050000,3.050000,3.918050,3.460576,0.003886,-0.326783,6.848363,0.000000
0.050000,3.050000,3.918050,3.460576,0.000000,-0.077725,4.981160,0.000000
