dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000441,3.215250,0.000625,0.025000,0.500000,10.000000,0.000368
0.050000,0.002336,3.215252,0.002520,0.037898,0.257952,-4.840962,0.001953
0.050000,0.006595,3.215268,0.006779,0.085186,0.945763,13.756227,0.005528
0.050000,0.014153,3.215334,0.014337,0.151156,1.319408,7.472895,0.011922
0.050000,0.025454,3.215523,0.025640,0.226056,1.497998,3.571811,0.021602
0.050000,0.040456,3.215945,0.040648,0.300162,1.482112,-0.317726,0.034671
0.050000,0.059101,3.216746,0.059310,0.373247,1.461700,-0.408238,0.051263
0.050000,0.081316,3.218111,0.081567,0.445130,1.437674,-0.480518,0.071536
0.050000,0.107011,3.220263,0.107352,0.515706,1.411504,-0.523406,0.095660
0.050000,0.136085,3.223464,0.136601,0.584978,1.385449,-0.521105,0.123805
0.050000,0.168421,3.228017,0.169257,0.653119,1.362815,-0.452671,0.156120
0.050000,0.203902,3.234266,0.205283,0.720528,1.348183,-0.292645,0.192700
0.050000,0.242406,3.242597,0.244678,0.787902,1.347483,-0.013998,0.233548
0.050000,0.283825,3.253438,0.287493,0.856290,1.367752,0.405369,0.278533
0.050000,0.328069,3.267268,0.333848,0.927107,1.416349,0.971942,0.327335
0.050000,0.375076,3.284611,0.383952,1.002083,1.499510,1.663221,0.379411
0.050000,0.424810,3.306043,0.438107,1.083100,1.620351,2.416830,0.433968
0.050000,0.477257,3.332176,0.496705,1.171945,1.776891,3.130793,0.489984
0.050000,0.532409,3.363647,0.560204,1.269996,1.961024,3.682671,0.546252
0.050000,0.590251,3.401081,0.629103,1.377964,2.159353,3.966573,0.601477
0.050000,0.650351,3.444749,0.703392,1.485782,2.156372,-0.059630,0.654042
0.050000,0.711882,3.494386,0.782448,1.581128,1.906922,-4.988987,0.702310
0.050000,0.774048,3.549392,0.865456,1.660158,1.580595,-6.526538,0.745145
0.050000,0.836104,3.608863,0.951408,1.719039,1.177616,-8.059579,0.781912
0.050000,0.897750,3.672058,1.039690,1.765649,0.932200,-4.908337,0.812581
0.050000,0.959121,3.738566,1.130187,1.809941,0.885837,-0.927251,0.837455
0.050000,1.020399,3.807988,1.222785,1.851957,0.840327,-0.910211,0.856832
0.050000,1.081807,3.879947,1.317384,1.891982,0.800502,-0.796482,0.870970
0.050000,1.143607,3.954091,1.413907,1.930446,0.769271,-0.624625,0.880074
0.050000,1.206101,4.030088,1.512300,1.967859,0.748260,-0.420228,0.884281
0.050000,1.269630,4.107624,1.612538,2.004773,0.738293,-0.199332,0.883657
0.050000,1.334572,4.186393,1.714626,2.041758,0.739692,0.027976,0.878190
0.050000,1.401344,4.266086,1.818595,2.079378,0.752405,0.254267,0.867797
0.050000,1.470405,4.346381,1.924504,2.118178,0.775992,0.471725,0.852324
0.050000,1.542256,4.426922,2.032436,2.158650,0.809444,0.669057,0.831551
0.050000,1.617437,4.507302,2.142496,2.201193,0.850851,0.828129,0.805205
0.050000,1.696517,4.587040,2.254798,2.246036,0.896869,0.920358,0.772984
0.050000,1.779938,4.665424,2.369267,2.289381,0.866890,-0.599578,0.734659
0.050000,1.867518,4.741157,2.485050,2.315663,0.525646,-6.824876,0.690402
0.050000,1.958373,4.812564,2.600607,2.311147,-0.090307,-12.319071,0.640971
0.050000,2.051178,4.878075,2.714206,2.271963,-0.783697,-13.867789,0.587635
0.050000,2.144302,4.936477,2.824128,2.198457,-1.470117,-13.728406,0.532040
0.050000,2.236410,4.987289,2.929322,2.103881,-1.891515,-8.427949,0.475735
0.050000,2.326519,5.030598,3.029299,1.999523,-2.087162,-3.912955,0.420004
0.050000,2.413640,5.066725,3.123612,1.886275,-2.264954,-3.555836,0.366011
0.050000,2.496856,5.096200,3.211894,1.765641,-2.412682,-2.954563,0.314724
0.050000,2.575387,5.119703,3.293867,1.639451,-2.523807,-2.222495,0.266870
0.050000,2.648613,5.138001,3.369345,1.509562,-2.597767,-1.479191,0.222933
0.050000,2.716080,5.151890,3.438227,1.377631,-2.638629,-0.817254,0.183180
0.050000,2.777479,5.162139,3.500476,1.244979,-2.653046,-0.288342,0.147705
0.050000,2.832623,5.169463,3.556104,1.112560,-2.648372,0.093489,0.116477
0.050000,2.881413,5.174501,3.605153,0.980991,-2.631388,0.339685,0.089383
0.050000,2.923815,5.177807,3.647683,0.850607,-2.607676,0.474236,0.066268
0.050000,2.959834,5.179847,3.683760,0.721533,-2.581472,0.524083,0.046960
0.050000,2.989498,5.181008,3.713447,0.593744,-2.555792,0.513602,0.031290
0.050000,3.012846,5.181596,3.736803,0.467110,-2.532672,0.462395,0.019108
0.050000,3.029917,5.181847,3.753875,0.341439,-2.513423,0.384969,0.010286
0.050000,3.040943,5.181929,3.764901,0.220528,-2.418208,1.904304,0.004626
0.050000,3.046925,5.181948,3.770883,0.119640,-2.017764,8.008887,0.001569
0.050000,3.049425,5.181950,3.773384,0.050013,-1.392539,12.504502,0.000293
0.050000,3.050000,5.181950,3.773959,0.011494,-0.770385,12.443075,6.283185
0.050000,3.050000,5.181950,3.773959,0.000000,-0.229882,10.810066,6.283185
