dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003596,2.451353,0.002941,0.117647,2.352941,47.058824,0.001818
0.050000,0.014537,2.451403,0.013883,0.218836,2.023783,-6.583162,0.007364
0.050000,0.032793,2.451623,0.032140,0.365134,2.925963,18.043596,0.016661
0.050000,0.058386,2.452217,0.057740,0.512011,2.937533,0.231401,0.029784
0.050000,0.091344,2.453480,0.090722,0.659627,2.952327,0.295871,0.046832
0.050000,0.131680,2.455796,0.131125,0.808062,2.968698,0.327421,0.067910
0.050000,0.179389,2.459644,0.178988,0.957272,2.984204,0.310138,0.093122
0.050000,0.234420,2.465600,0.234341,1.107043,2.995418,0.224267,0.122541
0.050000,0.296657,2.474329,0.297187,1.256933,2.997787,0.047380,0.156183
0.050000,0.365893,2.486576,0.367498,1.406216,2.985673,-0.242271,0.193969
0.050000,0.441800,2.503139,0.445191,1.553852,2.952707,-0.659330,0.235686
0.050000,0.523905,2.524837,0.530115,1.698482,2.892609,-1.201950,0.280938
0.050000,0.611585,2.552452,0.622040,1.838509,2.800537,-1.841436,0.329125
0.050000,0.704068,2.586674,0.720652,1.972246,2.674745,-2.515855,0.379422
0.050000,0.800476,2.628040,0.825560,2.098148,2.518029,-3.134315,0.430803
0.050000,0.899877,2.676883,0.936313,2.215058,2.338211,-3.596356,0.482088
0.050000,1.001367,2.733308,1.052433,2.322411,2.147056,-3.823103,0.532026
0.050000,1.101278,2.795316,1.170022,2.351783,0.587440,-31.192329,0.578105
0.050000,1.196647,2.860387,1.285476,2.309076,-0.854150,-28.831792,0.618585
0.050000,1.287786,2.927742,1.398803,2.266536,-0.850782,0.067360,0.653492
0.050000,1.375081,2.996706,1.510053,2.224990,-0.830928,0.397085,0.682955
0.050000,1.458954,3.066702,1.619295,2.184858,-0.802632,0.565919,0.707162
0.050000,1.539836,3.137230,1.726608,2.146256,-0.772046,0.611710,0.726312
0.050000,1.618147,3.207854,1.832062,2.109080,-0.743528,0.570375,0.740594
0.050000,1.694289,3.278186,1.935716,2.073081,-0.719970,0.471158,0.750162
0.050000,1.768636,3.347867,2.037612,2.037922,-0.703179,0.335818,0.755126
0.050000,1.841531,3.416558,2.137773,2.003213,-0.694189,0.179800,0.755547
0.050000,1.913288,3.483928,2.236200,1.968539,-0.693480,0.014166,0.751428
0.050000,1.984190,3.549646,2.332874,1.933484,-0.701096,-0.152306,0.742722
0.050000,2.054485,3.613375,2.427757,1.897652,-0.716647,-0.311032,0.729326
0.050000,2.124389,3.674766,2.520791,1.860691,-0.739223,-0.451520,0.711092
0.050000,2.194083,3.733460,2.611908,1.822331,-0.767187,-0.559270,0.687840
0.050000,2.263711,3.789089,2.701030,1.782437,-0.797875,-0.613764,0.659367
0.050000,2.333382,3.841283,2.788084,1.741076,-0.827229,-0.587074,0.625483
0.050000,2.403174,3.889680,2.873014,1.698604,-0.849437,-0.444157,0.586042
0.050000,2.473137,3.933942,2.955802,1.655766,-0.856771,-0.146688,0.540998
0.050000,2.541624,3.972873,3.034581,1.575581,-1.603702,-14.938614,0.491734
0.050000,2.606585,4.005596,3.107318,1.454736,-2.416898,-16.263932,0.440624
0.050000,2.667643,4.032516,3.174048,1.334595,-2.402820,0.281574,0.389187
0.050000,2.724812,4.054306,3.235228,1.223613,-2.219635,3.663683,0.338620
0.050000,2.778101,4.071638,3.291265,1.120729,-2.057675,3.239201,0.289983
0.050000,2.827506,4.085160,3.342487,1.024447,-1.925639,2.640736,0.244140
0.050000,2.873006,4.095476,3.389141,0.933084,-1.827257,1.967633,0.201735
0.050000,2.914555,4.103143,3.431392,0.845008,-1.761521,1.314726,0.163200
0.050000,2.952092,4.108661,3.469332,0.758808,-1.724013,0.750165,0.128778
0.050000,2.985543,4.112479,3.503001,0.673378,-1.708586,0.308535,0.098573
0.050000,3.014833,4.114991,3.532398,0.587939,-1.708794,-0.004163,0.072583
0.050000,3.039885,4.116537,3.557498,0.501998,-1.718814,-0.200397,0.050742
0.050000,3.060632,4.117405,3.578263,0.415304,-1.733877,-0.301262,0.032953
0.050000,3.077016,4.117831,3.594652,0.327787,-1.750350,-0.329458,0.019108
0.050000,3.088990,4.118000,3.606628,0.239506,-1.765620,-0.305414,0.009106
0.050000,3.096520,4.118045,3.614158,0.150610,-1.777910,-0.245794,0.002869
0.050000,3.099586,4.118050,3.617223,0.061306,-1.786085,-0.163501,0.000341
0.050000,3.100000,4.118050,3.617638,0.008288,-1.060350,14.514698,6.283185
0.050000,3.100000,4.118050,3.617638,0.000000,-0.165768,17.891655,6.283185
