dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002904,2.833297,0.002941,0.117647,2.352941,47.058824,6.281463
0.050000,0.011728,2.833259,0.011765,0.235294,2.352941,0.000000,6.276224
0.050000,0.026433,2.833092,0.026471,0.352941,2.352941,0.000000,6.267472
0.050000,0.047016,2.832643,0.047059,0.470588,2.352941,-0.000000,6.255180
0.050000,0.073469,2.831692,0.073529,0.588235,2.352941,0.000000,6.239323
0.050000,0.105775,2.829959,0.105882,0.705882,2.352941,0.000000,6.219884
0.050000,0.143903,2.827102,0.144118,0.823529,2.352941,-0.000000,6.196872
0.050000,0.187800,2.822716,0.188235,0.941176,2.352941,0.000000,6.170338
0.050000,0.237391,2.816341,0.238235,1.058824,2.352941,0.000000,6.140397
0.050000,0.292562,2.807472,0.294118,1.176471,2.352941,0.000000,6.107253
0.050000,0.353165,2.795565,0.355882,1.294118,2.352941,0.000000,6.071220
0.050000,0.419006,2.780058,0.423529,1.411765,2.352941,0.000000,6.032739
0.050000,0.489852,2.760393,0.497059,1.529412,2.352941,-0.000000,5.992391
0.050000,0.565431,2.736038,0.576471,1.647059,2.352941,0.000000,5.950890
0.050000,0.645446,2.706516,0.661765,1.764706,2.352941,0.000000,5.909061
0.050000,0.729594,2.671428,0.752941,1.882353,2.352941,0.000000,5.867809
0.050000,0.817583,2.630475,0.850000,2.000000,2.352941,0.000000,5.828075
0.050000,0.906569,2.584864,0.950000,2.000000,0.000000,-47.058824,5.791789
0.050000,0.993959,2.536262,1.050000,2.000000,0.000000,0.000000,5.760258
0.050000,1.079895,2.485131,1.150000,2.000000,0.000000,0.000000,5.733432
0.050000,1.164552,2.431908,1.250000,2.000000,0.000000,0.000000,5.711213
0.050000,1.248131,2.377005,1.350000,2.000000,0.000000,0.000000,5.693483
0.050000,1.330848,2.320811,1.450000,2.000000,0.000000,0.000000,5.680124
0.050000,1.412929,2.263692,1.550000,2.000000,0.000000,0.000000,5.671034
0.050000,1.494610,2.206000,1.650000,2.000000,0.000000,0.000000,5.666139
0.050000,1.576127,2.148079,1.750000,2.000000,0.000000,0.000000,5.665396
0.050000,1.657722,2.090266,1.850000,2.000000,0.000000,0.000000,5.668798
0.050000,1.739632,2.032902,1.950000,2.000000,0.000000,0.000000,5.676375
0.050000,1.822094,1.976334,2.050000,2.000000,0.000000,0.000000,5.688191
0.050000,1.905338,1.920924,2.150000,2.000000,0.000000,0.000000,5.704340
0.050000,1.989584,1.867053,2.250000,2.000000,0.000000,0.000000,5.724933
0.050000,2.075040,1.815122,2.350000,2.000000,0.000000,0.000000,5.750093
0.050000,2.161890,1.765560,2.450000,2.000000,0.000000,0.000000,5.779927
0.050000,2.250289,1.718821,2.550000,2.000000,0.000000,0.000000,5.814505
0.050000,2.338638,1.676166,2.648113,1.924534,-1.509329,-30.186578,5.853043
0.050000,2.424184,1.638977,2.741399,1.806886,-2.352941,-16.872246,5.893828
0.050000,2.505705,1.607473,2.828802,1.689239,-2.352941,0.000000,5.935531
0.050000,2.582900,1.581288,2.910323,1.571592,-2.352941,-0.000000,5.977228
0.050000,2.655467,1.559973,2.985961,1.453945,-2.352941,0.000000,6.018060
0.050000,2.723125,1.543011,3.055717,1.336298,-2.352941,0.000000,6.057270
0.050000,2.785625,1.529852,3.119591,1.218651,-2.352941,0.000000,6.094229
0.050000,2.842759,1.519934,3.177582,1.101004,-2.352941,0.000000,6.128445
0.050000,2.894362,1.512703,3.229691,0.983357,-2.352941,0.000000,6.159559
0.050000,2.940309,1.507640,3.275918,0.865710,-2.352941,0.000000,6.187330
0.050000,2.980511,1.504267,3.316262,0.748063,-2.352941,-0.000000,6.211614
0.050000,3.014907,1.502159,3.350724,0.630416,-2.352941,0.000000,6.232337
0.050000,3.043461,1.500951,3.379304,0.512769,-2.352941,0.000000,6.249479
0.050000,3.066150,1.500340,3.402001,0.395122,-2.352941,0.000000,6.263047
0.050000,3.082963,1.500086,3.418816,0.277475,-2.352941,0.000000,6.273067
0.050000,3.093895,1.500011,3.429749,0.159828,-2.352941,-0.000000,6.279564
0.050000,3.098945,1.500000,3.434799,0.042181,-2.352941,0.000000,6.282560
0.050000,3.100000,1.500000,3.435854,0.000000,-0.843612,30.186578,0.000000
0.050000,3.100000,1.500000,3.435854,0.000000,0.000000,16.872246,0.000000
