dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000630,3.215250,0.000547,0.021875,0.437500,8.750000,6.282869
0.050000,0.003336,3.215247,0.003253,0.054120,0.644906,4.148113,6.281512
0.050000,0.009426,3.215228,0.009343,0.121798,1.353557,14.173024,6.278454
0.050000,0.020257,3.215147,0.020174,0.216622,1.896472,10.858304,6.273005
0.050000,0.036513,3.214915,0.036431,0.325144,2.170437,5.479293,6.264804
0.050000,0.058201,3.214397,0.058126,0.433893,2.174987,0.091005,6.253822
0.050000,0.085328,3.213413,0.085271,0.542901,2.180160,0.103466,6.240024
0.050000,0.117893,3.211735,0.117879,0.652157,2.185118,0.099160,6.223377
0.050000,0.155880,3.209088,0.155958,0.761594,2.188735,0.072334,6.203858
0.050000,0.199256,3.205151,0.199512,0.871072,2.189568,0.016650,6.181461
0.050000,0.247954,3.199558,0.248530,0.980364,2.185850,-0.074354,6.156210
0.050000,0.301870,3.191905,0.302987,1.089141,2.175531,-0.206380,6.128173
0.050000,0.360852,3.181758,0.362835,1.196960,2.156380,-0.383008,6.097474
0.050000,0.424686,3.168664,0.427999,1.303269,2.126185,-0.603916,6.064312
0.050000,0.493097,3.152169,0.498370,1.407421,2.083037,-0.862959,6.028967
0.050000,0.565741,3.131840,0.573805,1.508706,2.025700,-1.146726,5.991817
0.050000,0.642216,3.107283,0.654125,1.606405,1.953982,-1.434364,5.953330
0.050000,0.722066,3.078169,0.739118,1.699856,1.869009,-1.699457,5.914062
0.050000,0.804811,3.044253,0.828544,1.788521,1.773297,-1.914253,5.874641
0.050000,0.889962,3.005385,0.922146,1.872046,1.670520,-2.055542,5.835740
0.050000,0.976492,2.961820,1.019024,1.937555,1.310179,-7.206812,5.798287
0.050000,1.062953,2.914287,1.117690,1.973326,0.715409,-11.895409,5.763311
0.050000,1.148121,2.863695,1.216751,1.981214,0.157771,-11.152746,5.731601
0.050000,1.230981,2.811069,1.314911,1.963193,-0.360425,-10.363923,5.703684
0.050000,1.311201,2.757150,1.411568,1.933134,-0.601180,-4.815091,5.679705
0.050000,1.389013,2.702319,1.506757,1.903799,-0.586699,0.289608,5.659567
0.050000,1.464660,2.646920,1.600521,1.875262,-0.570754,0.318907,5.643167
0.050000,1.538383,2.591260,1.692895,1.847494,-0.555356,0.307955,5.630402
0.050000,1.610418,2.535622,1.783915,1.820396,-0.541958,0.267970,5.621186
0.050000,1.680989,2.480267,1.873606,1.793818,-0.531556,0.208034,5.615450
0.050000,1.750308,2.425442,1.961985,1.767578,-0.524794,0.135236,5.613149
0.050000,1.818571,2.371387,2.049059,1.741476,-0.522039,0.055107,5.614264
0.050000,1.885958,2.318334,2.134824,1.715305,-0.523430,-0.027825,5.618806
0.050000,1.952632,2.266515,2.219267,1.688860,-0.528902,-0.109441,5.626809
0.050000,2.018738,2.216164,2.302364,1.661951,-0.538173,-0.185420,5.638334
0.050000,2.084402,2.167517,2.384085,1.634416,-0.550705,-0.250641,5.653463
0.050000,2.149732,2.120814,2.464392,1.606134,-0.565635,-0.298601,5.672293
0.050000,2.214815,2.076295,2.543244,1.577050,-0.581682,-0.320929,5.694929
0.050000,2.279720,2.034201,2.620604,1.547198,-0.597037,-0.307107,5.721471
0.050000,2.344233,1.994922,2.696134,1.510601,-0.731948,-2.698217,5.751866
0.050000,2.407724,1.959009,2.769078,1.458875,-1.034513,-6.051296,5.785728
0.050000,2.469412,1.926933,2.838608,1.390601,-1.365481,-6.619362,5.822359
0.050000,2.528516,1.898968,2.903993,1.307702,-1.657991,-5.850207,5.860810
0.050000,2.584514,1.875094,2.964869,1.217511,-1.803818,-2.916531,5.900110
0.050000,2.637293,1.855010,3.021340,1.129415,-1.761918,0.837992,5.939488
0.050000,2.686876,1.838332,3.073652,1.046255,-1.663204,1.974277,5.978300
0.050000,2.733286,1.824676,3.122030,0.967551,-1.574080,1.782491,6.015961
0.050000,2.776540,1.813663,3.166664,0.892675,-1.497507,1.531459,6.051970
0.050000,2.816647,1.804934,3.207710,0.820920,-1.435101,1.248120,6.085920
0.050000,2.853608,1.798151,3.245288,0.751565,-1.387102,0.959980,6.117495
0.050000,2.887414,1.792999,3.279485,0.683936,-1.352592,0.690184,6.146470
0.050000,2.918051,1.789193,3.310357,0.617443,-1.329852,0.454806,6.172696
0.050000,2.945497,1.786473,3.337937,0.551606,-1.316733,0.262391,6.196087
0.050000,2.969728,1.784608,3.362240,0.486057,-1.310979,0.115064,6.216604
0.050000,2.990720,1.783394,3.383267,0.420534,-1.310461,0.010370,6.234245
0.050000,3.008448,1.782657,3.401010,0.354869,-1.313303,-0.056850,6.249029
0.050000,3.022891,1.782250,3.415459,0.288972,-1.317950,-0.092927,6.260984
0.050000,3.034030,1.782054,3.426600,0.222813,-1.323166,-0.104322,6.270146
0.050000,3.041850,1.781977,3.434420,0.156413,-1.328017,-0.097029,6.276545
0.050000,3.046614,1.781955,3.439184,0.095274,-1.222764,2.105057,6.280430
0.050000,3.049005,1.781950,3.441575,0.047822,-0.949043,5.474439,6.282376
0.050000,3.049855,1.781950,3.442426,0.017016,-0.616130,6.658255,6.283068
0.050000,3.050000,1.781950,3.442570,0.002890,-0.282510,6.672393,6.283185
0.050000,3.050000,1.781950,3.442570,0.000000,-0.057804,4.494117,6.283185
