dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000401,2.451350,0.000563,0.022500,0.450000,9.000000,6.282859
0.050000,0.002117,2.451348,0.002279,0.034333,0.236665,-4.266700,6.281463
0.050000,0.005978,2.451335,0.006140,0.077221,0.857748,12.421670,6.278318
0.050000,0.012837,2.451283,0.012999,0.137184,1.199266,6.830341,6.272713
0.050000,0.023114,2.451132,0.023277,0.205552,1.367369,3.362071,6.264276
0.050000,0.036794,2.450796,0.036961,0.273681,1.362563,-0.096115,6.252976
0.050000,0.053859,2.450159,0.054038,0.341537,1.357130,-0.108663,6.238778
0.050000,0.074287,2.449076,0.074495,0.409136,1.351986,-0.102893,6.221648
0.050000,0.098054,2.447372,0.098322,0.476554,1.348361,-0.072485,6.201562
0.050000,0.125133,2.444843,0.125520,0.543946,1.347836,-0.010502,6.178517
0.050000,0.155500,2.441254,0.156098,0.611563,1.352340,0.090072,6.152542
0.050000,0.189131,2.436340,0.190086,0.679768,1.364105,0.235295,6.123715
0.050000,0.226010,2.429810,0.227539,0.749045,1.385538,0.428679,6.092177
0.050000,0.266125,2.421340,0.268538,0.819995,1.418996,0.669157,6.058145
0.050000,0.309476,2.410583,0.313204,0.893317,1.466444,0.948959,6.021932
0.050000,0.356071,2.397165,0.361693,0.969770,1.529051,1.252141,5.983946
0.050000,0.405927,2.380697,0.414198,1.050109,1.606786,1.554702,5.944697
0.050000,0.459067,2.360775,0.470949,1.135017,1.698145,1.827163,5.904783
0.050000,0.515515,2.337000,0.532200,1.225023,1.800131,2.039726,5.864870
0.050000,0.575298,2.308983,0.598223,1.320452,1.908584,2.169061,5.825668
0.050000,0.638027,2.276592,0.668820,1.411948,1.829915,-1.573381,5.788134
0.050000,0.702895,2.240063,0.743267,1.488929,1.539628,-5.805729,5.753314
0.050000,0.769104,2.199839,0.820737,1.549400,1.209412,-6.604326,5.721989
0.050000,0.835863,2.156553,0.900301,1.591280,0.837596,-7.436314,5.694673
0.050000,0.902811,2.110704,0.981443,1.622854,0.631482,-4.122284,5.671488
0.050000,0.970023,2.062554,1.064123,1.653591,0.614742,-0.334805,5.652325
0.050000,1.037596,2.012365,1.148296,1.683457,0.597313,-0.348583,5.637071
0.050000,1.105649,1.960398,1.233922,1.712519,0.581242,-0.321421,5.625620
0.050000,1.174321,1.906908,1.320968,1.740917,0.567962,-0.265599,5.617886
0.050000,1.243773,1.852151,1.409409,1.768838,0.558422,-0.190804,5.613807
0.050000,1.314185,1.796377,1.499234,1.796498,0.553196,-0.104507,5.613349
0.050000,1.385756,1.739842,1.590441,1.824126,0.552567,-0.012590,5.616507
0.050000,1.458704,1.682808,1.683038,1.851954,0.556562,0.079916,5.623309
0.050000,1.533263,1.625547,1.777048,1.880203,0.564966,0.168079,5.633809
0.050000,1.609681,1.568348,1.872502,1.909067,0.577282,0.246307,5.648089
0.050000,1.688217,1.511528,1.969437,1.938700,0.592662,0.307610,5.666249
0.050000,1.769134,1.455433,2.067896,1.969190,0.609809,0.342929,5.688402
0.050000,1.852695,1.400452,2.167923,2.000532,0.626843,0.340686,5.714661
0.050000,1.938734,1.347264,2.269074,2.023031,0.449984,-3.537182,5.744967
0.050000,2.026427,1.296875,2.370213,2.022780,-0.005038,-9.100436,5.778915
0.050000,2.114603,1.250283,2.469942,1.994580,-0.563997,-11.179181,5.815791
0.050000,2.201859,1.208325,2.566762,1.936401,-1.163579,-11.991634,5.854614
0.050000,2.287036,1.171418,2.659592,1.856588,-1.596255,-8.653536,5.894398
0.050000,2.369486,1.139537,2.747991,1.767976,-1.772248,-3.519850,5.934363
0.050000,2.448699,1.112475,2.831699,1.674168,-1.876149,-2.078017,5.973829
0.050000,2.524186,1.089926,2.910481,1.575646,-1.970448,-1.885979,6.012177
0.050000,2.595499,1.071510,2.984134,1.473055,-2.051811,-1.627273,6.048875
0.050000,2.662252,1.056790,3.052491,1.367138,-2.118339,-1.330544,6.083488
0.050000,2.724127,1.045299,3.115424,1.258657,-2.169629,-1.025819,6.115679
0.050000,2.780875,1.036563,3.172840,1.148328,-2.206569,-0.738794,6.145208
0.050000,2.832312,1.030119,3.224679,1.036781,-2.230948,-0.487569,6.171914
0.050000,2.878310,1.025533,3.270906,0.924529,-2.245045,-0.281950,6.195707
0.050000,2.918788,1.022408,3.311504,0.811965,-2.251274,-0.124577,6.216545
0.050000,2.953698,1.020392,3.346472,0.699369,-2.251922,-0.012960,6.234424
0.050000,2.983019,1.019180,3.375818,0.586919,-2.249000,0.058437,6.249363
0.050000,3.006746,1.018521,3.399554,0.474710,-2.244177,0.096469,6.261395
0.050000,3.024882,1.018208,3.417693,0.362772,-2.238770,0.108141,6.270555
0.050000,3.037435,1.018090,3.430247,0.251083,-2.233772,0.099952,6.276876
0.050000,3.044934,1.018056,3.437746,0.149981,-2.022035,4.234734,6.280644
0.050000,3.048599,1.018050,3.441411,0.073299,-1.533640,9.767898,6.282483
0.050000,3.049824,1.018050,3.442635,0.024492,-0.976147,11.149859,6.283097
0.050000,3.050000,1.018050,3.442812,0.003525,-0.419333,11.136284,0.000000
0.050000,3.050000,1.018050,3.442812,0.000000,-0.070505,6.976566,0.000000
