dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000728,3.215250,0.000625,0.025000,0.500000,10.000000,6.282813
0.050000,0.003836,3.215246,0.003733,0.062162,0.743237,4.864745,6.281220
0.050000,0.010832,3.215220,0.010729,0.139920,1.555173,16.238706,6.277631
0.050000,0.023279,3.215111,0.023176,0.248937,2.180332,12.503182,6.271225
0.050000,0.041968,3.214797,0.041868,0.373848,2.498226,6.357882,6.261557
0.050000,0.066921,3.214095,0.066831,0.499256,2.508159,0.198664,6.248563
0.050000,0.098156,3.212757,0.098094,0.625264,2.520152,0.239864,6.232165
0.050000,0.135682,3.210467,0.135690,0.751911,2.532945,0.255850,6.212277
0.050000,0.179489,3.206840,0.179647,0.879148,2.544740,0.235913,6.188822
0.050000,0.229537,3.201419,0.229988,1.006803,2.553098,0.167150,6.161746
0.050000,0.285734,3.193684,0.286715,1.134546,2.554859,0.035229,6.131037
0.050000,0.347925,3.183055,0.349808,1.261855,2.546177,-0.173652,6.096750
0.050000,0.415867,3.168907,0.419207,1.387991,2.522715,-0.469241,6.059039
0.050000,0.489216,3.150599,0.494807,1.511996,2.480106,-0.852166,6.018183
0.050000,0.567517,3.127501,0.576443,1.632731,2.414698,-1.308159,5.974609
0.050000,0.650203,3.099038,0.663891,1.748956,2.324511,-1.803755,5.928908
0.050000,0.736614,3.064728,0.756864,1.859465,2.210181,-2.286592,5.881829
0.050000,0.826030,3.024223,0.855027,1.963242,2.075527,-2.693076,5.834254
0.050000,0.917716,2.977333,0.958007,2.059609,1.927355,-2.963451,5.787154
0.050000,1.010979,2.924039,1.065423,2.148327,1.774360,-3.059891,5.741531
0.050000,1.104610,2.864883,1.176176,2.215059,1.334635,-8.794493,5.698628
0.050000,1.197063,2.801032,1.288535,2.247178,0.642383,-13.845049,5.659707
0.050000,1.287143,2.733834,1.400918,2.247659,0.009621,-12.655232,5.625636
0.050000,1.373962,2.664721,1.511888,2.219387,-0.565442,-11.501262,5.596907
0.050000,1.457383,2.594691,1.620806,2.178364,-0.820469,-5.100538,5.573551
0.050000,1.537847,2.524243,1.727752,2.138924,-0.788798,0.633405,5.555361
0.050000,1.615786,2.453815,1.832798,2.100917,-0.760147,0.573025,5.542148
0.050000,1.691606,2.383800,1.936000,2.064051,-0.737320,0.456540,5.533763
0.050000,1.765684,2.314562,2.037398,2.027949,-0.722026,0.305891,5.530104
0.050000,1.838366,2.246449,2.137007,1.992189,-0.715199,0.136540,5.531126
0.050000,1.909964,2.179801,2.234824,1.956329,-0.717212,-0.040267,5.536843
0.050000,1.980756,2.114964,2.330820,1.919930,-0.727968,-0.215129,5.547323
0.050000,2.050985,2.052290,2.424950,1.882587,-0.746874,-0.378122,5.562691
0.050000,2.120859,1.992140,2.517147,1.843952,-0.772696,-0.516434,5.583115
0.050000,2.190548,1.934889,2.607337,1.803787,-0.803296,-0.611990,5.608794
0.050000,2.259992,1.881061,2.695200,1.757263,-0.930474,-2.543565,5.639845
0.050000,2.328660,1.831437,2.779922,1.694436,-1.256552,-6.521567,5.676049
0.050000,2.395737,1.786786,2.860501,1.611592,-1.656882,-8.006593,5.716754
0.050000,2.460377,1.747611,2.936086,1.511701,-1.997805,-6.818452,5.760920
0.050000,2.521910,1.714034,3.006184,1.401960,-2.194830,-3.940513,5.807281
0.050000,2.580097,1.685742,3.070884,1.293997,-2.159250,0.711609,5.854685
0.050000,2.634949,1.662223,3.130566,1.193644,-2.007061,3.043769,5.902137
0.050000,2.686485,1.642944,3.185589,1.100463,-1.863633,2.868561,5.948698
0.050000,2.734715,1.627378,3.236270,1.013611,-1.737039,2.531889,5.993539
0.050000,2.779644,1.615016,3.282868,0.931967,-1.632869,2.083392,6.035980
0.050000,2.821258,1.605383,3.325583,0.854291,-1.553527,1.586837,6.075499
0.050000,2.859529,1.598039,3.364551,0.779371,-1.498403,1.102484,6.111738
0.050000,2.894412,1.592587,3.399858,0.706138,-1.464654,0.674973,6.144474
0.050000,2.925854,1.588664,3.431545,0.633728,-1.448200,0.329087,6.173599
0.050000,2.953798,1.585950,3.459620,0.561498,-1.444605,0.071897,6.199090
0.050000,2.978183,1.584164,3.484070,0.489013,-1.449702,-0.101937,6.220980
0.050000,2.998955,1.583062,3.504871,0.416016,-1.459927,-0.204508,6.239336
0.050000,3.016063,1.582439,3.521991,0.342394,-1.472438,-0.250209,6.254238
0.050000,3.029467,1.582128,3.535398,0.268140,-1.485084,-0.252930,6.265771
0.050000,3.039132,1.582000,3.545064,0.193324,-1.496318,-0.224673,6.274007
0.050000,3.045242,1.581960,3.551174,0.122207,-1.422347,1.479422,6.279178
0.050000,3.048463,1.581951,3.554395,0.064414,-1.155869,5.329551,6.281892
0.050000,3.049734,1.581950,3.555666,0.025422,-0.779828,7.520833,6.282962
0.050000,3.050000,1.581950,3.555932,0.005321,-0.402014,7.556268,0.000000
0.050000,3.050000,1.581950,3.555932,0.000000,-0.106429,5.911718,0.000000
