dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000449,2.451350,0.000625,0.025000,0.500000,10.000000,6.282821
0.050000,0.002356,2.451348,0.002532,0.038147,0.262946,-4.741076,6.281269
0.050000,0.006646,2.451332,0.006822,0.085796,0.952965,13.800368,6.277773
0.050000,0.013790,2.451273,0.013966,0.142885,1.141788,3.776461,6.271933
0.050000,0.023780,2.451119,0.023958,0.199823,1.138755,-0.060644,6.263728
0.050000,0.036604,2.450802,0.036786,0.256569,1.134917,-0.076762,6.253134
0.050000,0.052249,2.450230,0.052441,0.313104,1.130709,-0.084159,6.240122
0.050000,0.070697,2.449292,0.070913,0.369441,1.126730,-0.079581,6.224668
0.050000,0.091930,2.447857,0.092195,0.425629,1.123763,-0.059340,6.206751
0.050000,0.115928,2.445773,0.116283,0.481768,1.122793,-0.019408,6.186366
0.050000,0.142672,2.442867,0.143184,0.538019,1.125010,0.044338,6.163527
0.050000,0.172142,2.438946,0.172914,0.594608,1.131792,0.135633,6.138278
0.050000,0.204325,2.433795,0.205506,0.651841,1.144648,0.257132,6.110704
0.050000,0.239208,2.427180,0.241011,0.710097,1.165121,0.409451,6.080939
0.050000,0.276787,2.418849,0.279503,0.769828,1.194626,0.590114,6.049175
0.050000,0.317063,2.408529,0.321080,0.831541,1.234257,0.792615,6.015674
0.050000,0.360044,2.395933,0.365868,0.895769,1.284555,1.005949,5.980762
0.050000,0.405743,2.380761,0.414020,0.963034,1.345306,1.215034,5.944840
0.050000,0.454178,2.362709,0.465710,1.033805,1.415422,1.402309,5.908364
0.050000,0.505369,2.341468,0.521133,1.108452,1.492945,1.550462,5.871843
0.050000,0.558874,2.316964,0.579982,1.176983,1.370605,-2.446793,5.836111
0.050000,0.613788,2.289461,0.641398,1.228330,1.026943,-6.873244,5.802192
0.050000,0.669204,2.259407,0.704440,1.260822,0.649848,-7.541907,5.770888
0.050000,0.724675,2.227146,0.768610,1.283404,0.451641,-3.964131,5.742540
0.050000,0.780220,2.192814,0.833909,1.305977,0.451448,-0.003861,5.717145
0.050000,0.835863,2.156553,0.900324,1.328303,0.446523,-0.098496,5.694673
0.050000,0.891637,2.118512,0.967835,1.350230,0.438533,-0.159800,5.675070
0.050000,0.947584,2.078843,1.036419,1.371674,0.428890,-0.192869,5.658273
0.050000,1.003758,2.037698,1.106049,1.392611,0.418735,-0.203093,5.644216
0.050000,1.060221,1.995228,1.176702,1.413059,0.408959,-0.195534,5.632836
0.050000,1.117048,1.951582,1.248356,1.433070,0.400229,-0.174599,5.624075
0.050000,1.174321,1.906908,1.320992,1.452722,0.393031,-0.143955,5.617886
0.050000,1.232136,1.861354,1.394597,1.472107,0.387703,-0.106564,5.614235
0.050000,1.290596,1.815065,1.469164,1.491330,0.384462,-0.064804,5.613100
0.050000,1.349812,1.768189,1.544689,1.510502,0.383431,-0.020628,5.614475
0.050000,1.409908,1.720873,1.621176,1.529734,0.384645,0.024271,5.618367
0.050000,1.471012,1.673273,1.698632,1.549137,0.388058,0.068277,5.624800
0.050000,1.533263,1.625547,1.777073,1.568814,0.393542,0.109680,5.633809
0.050000,1.596805,1.577864,1.856516,1.588857,0.400867,0.146495,5.645442
0.050000,1.661786,1.530405,1.936983,1.609341,0.409682,0.176299,5.659758
0.050000,1.728361,1.483367,2.018499,1.630316,0.419486,0.196068,5.676819
0.050000,1.796682,1.436962,2.101089,1.651795,0.429589,0.202075,5.696694
0.050000,1.866896,1.391427,2.184776,1.673749,0.439082,0.189848,5.719444
0.050000,1.939144,1.347019,2.269580,1.696089,0.446796,0.154293,5.745119
0.050000,2.013549,1.304026,2.355513,1.718654,0.451298,0.090030,5.773750
0.050000,2.090144,1.262790,2.442503,1.739797,0.422866,-0.568634,5.805308
0.050000,2.168254,1.223990,2.529719,1.744328,0.090620,-6.644916,5.839411
0.050000,2.246456,1.188499,2.615597,1.717555,-0.535463,-12.521671,5.875233
0.050000,2.323195,1.156970,2.698562,1.659289,-1.165328,-12.597288,5.911767
0.050000,2.397483,1.129573,2.777740,1.583567,-1.514428,-6.982013,5.948206
0.050000,2.468933,1.106121,2.852940,1.504004,-1.591269,-1.536807,5.984046
0.050000,2.537179,1.086363,2.923989,1.420978,-1.660510,-1.384834,6.018834
0.050000,2.601889,1.069996,2.990737,1.334964,-1.720275,-1.195295,6.052180
0.050000,2.662775,1.056684,3.053062,1.246487,-1.769555,-0.985599,6.083760
0.050000,2.719597,1.046071,3.110865,1.156076,-1.808211,-0.773129,6.113321
0.050000,2.772160,1.037793,3.164077,1.064234,-1.836842,-0.572605,6.140676
0.050000,2.820321,1.031497,3.212647,0.971405,-1.856572,-0.394611,6.165696
0.050000,2.863972,1.026844,3.256546,0.877964,-1.868835,-0.245252,6.188302
0.050000,2.903041,1.023523,3.295756,0.784205,-1.875169,-0.126691,6.208451
0.050000,2.937484,1.021250,3.330273,0.690352,-1.877074,-0.038093,6.226131
0.050000,2.967275,1.019776,3.360101,0.596556,-1.875909,0.023310,6.241351
0.050000,2.992405,1.018885,3.385247,0.502914,-1.872843,0.061305,6.254129
0.050000,3.012873,1.018397,3.405721,0.409472,-1.868843,0.080007,6.264494
0.050000,3.028683,1.018164,3.421532,0.316238,-1.864672,0.083412,6.272471
0.050000,3.039842,1.018076,3.432692,0.223192,-1.860914,0.075170,6.278086
0.050000,3.046431,1.018053,3.439281,0.131778,-1.828299,0.652288,6.281395
0.050000,3.049301,1.018050,3.442151,0.057399,-1.487569,6.814611,6.282835
0.050000,3.050000,1.018050,3.442850,0.013977,-0.868434,12.382704,0.000000
0.050000,3.050000,1.018050,3.442850,0.000000,-0.279547,11.777725,0.000000
