dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001994,3.201357,0.002632,0.105263,2.105263,42.105263,0.001624
0.050000,0.008063,3.201382,0.008701,0.121381,0.322364,-35.657979,0.006584
0.050000,0.018162,3.201490,0.018800,0.201986,1.612090,25.794523,0.014894
0.050000,0.032265,3.201783,0.032907,0.282138,1.603042,-0.180967,0.026616
0.050000,0.050340,3.202401,0.050992,0.361704,1.591326,-0.234313,0.041828
0.050000,0.072342,3.203528,0.073022,0.440607,1.578046,-0.265615,0.060620
0.050000,0.098217,3.205390,0.098965,0.518848,1.564822,-0.264465,0.083083
0.050000,0.127906,3.208254,0.128792,0.596544,1.553928,-0.217885,0.109290
0.050000,0.161345,3.212430,0.162490,0.673964,1.548391,-0.110737,0.139279
0.050000,0.198466,3.218274,0.200068,0.751565,1.552028,0.072728,0.173023
0.050000,0.239207,3.226182,0.241570,0.830031,1.569312,0.345684,0.210407
0.050000,0.283514,3.236595,0.287084,0.910280,1.604993,0.713627,0.251187
0.050000,0.331345,3.249995,0.336756,0.993450,1.663388,1.167895,0.294965
0.050000,0.382673,3.266903,0.390797,1.080818,1.747375,1.679740,0.341173
0.050000,0.437484,3.287869,0.449482,1.173683,1.857291,2.198329,0.389063
0.050000,0.495773,3.313460,0.513141,1.273189,1.990113,2.656426,0.437733
0.050000,0.557536,3.344240,0.582149,1.380157,2.139372,2.985188,0.486170
0.050000,0.622764,3.380744,0.656897,1.494962,2.296101,3.134575,0.533310
0.050000,0.691447,3.423445,0.737772,1.617495,2.450655,3.091087,0.578105
0.050000,0.761732,3.471416,0.822867,1.701900,1.688101,-15.251093,0.618585
0.050000,0.831811,3.523220,0.910015,1.742960,0.821207,-17.337874,0.653492
0.050000,0.901762,3.578494,0.999167,1.783053,0.801846,-0.387215,0.682955
0.050000,0.971692,3.636862,1.090256,1.821771,0.774356,-0.549800,0.707162
0.050000,1.041745,3.697955,1.183206,1.859004,0.744677,-0.593577,0.726312
0.050000,1.112099,3.761409,1.277949,1.894855,0.717011,-0.553320,0.740594
0.050000,1.182968,3.826874,1.374427,1.929562,0.694146,-0.457313,0.750162
0.050000,1.254597,3.894010,1.472600,1.963453,0.677817,-0.326580,0.755126
0.050000,1.327262,3.962484,1.572445,1.996904,0.669015,-0.176035,0.755547
0.050000,1.401272,4.031968,1.673961,2.030314,0.668197,-0.016350,0.751428
0.050000,1.476965,4.102123,1.777165,2.064084,0.675398,0.144013,0.742722
0.050000,1.554706,4.172596,1.882094,2.098595,0.690237,0.296784,0.729326
0.050000,1.634889,4.243006,1.988804,2.134187,0.711830,0.431866,0.711092
0.050000,1.717927,4.312928,2.097360,2.171117,0.738596,0.535308,0.687840
0.050000,1.804245,4.381878,2.207835,2.209515,0.767965,0.587393,0.659367
0.050000,1.894263,4.449298,2.320301,2.249317,0.796030,0.561300,0.625483
0.050000,1.988370,4.514536,2.434810,2.290177,0.817201,0.423415,0.586042
0.050000,2.084730,4.575543,2.548859,2.280969,-0.184150,-20.027029,0.542022
0.050000,2.180490,4.630241,2.659139,2.205617,-1.507043,-26.457862,0.495261
0.050000,2.274545,4.678183,2.764708,2.111368,-1.884989,-7.558921,0.447002
0.050000,2.366160,4.719411,2.865172,2.009286,-2.041626,-3.132724,0.398312
0.050000,2.454562,4.754149,2.960155,1.899652,-2.192682,-3.021137,0.350219
0.050000,2.538997,4.782790,3.049315,1.783205,-2.328943,-2.725210,0.303647
0.050000,2.618778,4.805867,3.132367,1.661036,-2.443381,-2.288768,0.259376
0.050000,2.693324,4.824008,3.209088,1.534421,-2.532295,-1.778280,0.218008
0.050000,2.762170,4.837892,3.279320,1.404651,-2.595413,-1.262353,0.179974
0.050000,2.824974,4.848204,3.342965,1.272891,-2.635188,-0.795492,0.145542
0.050000,2.881497,4.855604,3.399970,1.140105,-2.655721,-0.410665,0.114851
0.050000,2.931589,4.860700,3.450321,1.007019,-2.661723,-0.120045,0.087942
0.050000,2.975168,4.864034,3.494028,0.874132,-2.657744,0.079571,0.064787
0.050000,3.012200,4.866074,3.531115,0.741745,-2.647733,0.200227,0.045318
0.050000,3.042678,4.867213,3.561615,0.610002,-2.634863,0.257396,0.029447
0.050000,3.066618,4.867770,3.585561,0.478925,-2.621542,0.266432,0.017083
0.050000,3.084039,4.867990,3.602984,0.348450,-2.609504,0.240746,0.008145
0.050000,3.094962,4.868049,3.613906,0.218452,-2.599943,0.191219,0.002566
0.050000,3.099400,4.868055,3.618345,0.088771,-2.593627,0.126336,0.000305
0.050000,3.100000,4.868055,3.618945,0.011995,-1.535524,21.162046,6.283185
0.050000,3.100000,4.868055,3.618945,0.000000,-0.239897,25.912538,6.283185
