dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003189,2.465248,0.002632,0.105263,2.105263,42.105263,0.001624
0.050000,0.012910,2.465287,0.012352,0.194408,1.782892,-6.447414,0.006584
0.050000,0.029125,2.465462,0.028568,0.324328,2.598412,16.310393,0.014894
0.050000,0.051855,2.465933,0.051303,0.454700,2.607430,0.180362,0.026616
0.050000,0.081121,2.466935,0.080586,0.585655,2.619102,0.233428,0.041828
0.050000,0.116937,2.468771,0.116450,0.717271,2.632323,0.264419,0.060620
0.050000,0.159305,2.471819,0.158927,0.849545,2.645469,0.262934,0.083083
0.050000,0.208196,2.476536,0.208045,0.982358,2.656270,0.216011,0.109290
0.050000,0.263538,2.483448,0.263817,1.115443,2.661698,0.108555,0.139279
0.050000,0.325196,2.493155,0.326234,1.248340,2.657942,-0.075117,0.173023
0.050000,0.392950,2.506306,0.395252,1.380367,2.640538,-0.348081,0.210407
0.050000,0.466477,2.523585,0.470783,1.510605,2.604752,-0.715712,0.251187
0.050000,0.545337,2.545676,0.552678,1.637919,2.546290,-1.169241,0.294965
0.050000,0.628970,2.573220,0.640730,1.761034,2.462297,-1.679859,0.341173
0.050000,0.716706,2.606772,0.734663,1.878657,2.352457,-2.196795,0.389063
0.050000,0.807800,2.646754,0.834145,1.989647,2.219806,-2.653024,0.437733
0.050000,0.901478,2.693424,0.938805,2.093187,2.070804,-2.980041,0.486170
0.050000,0.996993,2.746858,1.048250,2.188907,1.914395,-3.128191,0.533310
0.050000,1.093685,2.806953,1.162096,2.276916,1.760181,-3.084262,0.578105
0.050000,1.188590,2.871708,1.276987,2.297827,0.418213,-26.839364,0.618585
0.050000,1.279339,2.938774,1.389829,2.256836,-0.819806,-24.760380,0.653492
0.050000,1.366312,3.007485,1.500669,2.216802,-0.800678,0.382554,0.682955
0.050000,1.449927,3.077265,1.609576,2.178132,-0.773416,0.545248,0.707162
0.050000,1.530608,3.147618,1.716622,2.140934,-0.743947,0.589380,0.726312
0.050000,1.608772,3.218110,1.821878,2.105111,-0.716469,0.549557,0.740594
0.050000,1.684816,3.288351,1.925399,2.070422,-0.693771,0.453957,0.750162
0.050000,1.759112,3.357985,2.027226,2.036543,-0.677594,0.323546,0.755126
0.050000,1.832003,3.426672,2.127381,2.003096,-0.668933,0.173207,0.755547
0.050000,1.903802,3.494081,2.225865,1.969683,-0.668253,0.013601,0.751428
0.050000,1.974793,3.559882,2.322660,1.935904,-0.675594,-0.146817,0.742722
0.050000,2.045226,3.623735,2.417729,1.901375,-0.690583,-0.299771,0.729326
0.050000,2.115320,3.685293,2.511017,1.865758,-0.712340,-0.435154,0.711092
0.050000,2.185261,3.744195,2.602457,1.828793,-0.739290,-0.538991,0.687840
0.050000,2.255198,3.800072,2.691974,1.790350,-0.768865,-0.591511,0.659367
0.050000,2.325247,3.852548,2.779499,1.750492,-0.797155,-0.565799,0.625483
0.050000,2.395489,3.901256,2.864977,1.709564,-0.818560,-0.428084,0.586042
0.050000,2.464467,3.944942,2.946624,1.632947,-1.532336,-14.275526,0.542022
0.050000,2.530335,3.982578,3.022487,1.517246,-2.314034,-15.633961,0.495261
0.050000,2.592739,4.014398,3.092535,1.400967,-2.325570,-0.230718,0.447002
0.050000,2.651670,4.040926,3.157162,1.292537,-2.168607,3.139251,0.398312
0.050000,2.707124,4.062722,3.216745,1.191673,-2.017279,3.026561,0.350219
0.050000,2.759096,4.080355,3.271627,1.097631,-1.880831,2.728959,0.303647
0.050000,2.807574,4.094380,3.322093,1.009316,-1.766299,2.290644,0.259376
0.050000,2.852534,4.105322,3.368365,0.925447,-1.677377,1.778443,0.218008
0.050000,2.893937,4.113671,3.410602,0.844731,-1.614317,1.261203,0.179974
0.050000,2.931731,4.119877,3.448902,0.765999,-1.574641,0.793512,0.145542
0.050000,2.965854,4.124344,3.483316,0.688288,-1.554226,0.408302,0.114851
0.050000,2.996241,4.127435,3.513860,0.610871,-1.548344,0.117637,0.087942
0.050000,3.022826,4.129468,3.540522,0.533249,-1.552434,-0.081801,0.064787
0.050000,3.045547,4.130720,3.563278,0.455122,-1.562542,-0.202162,0.045318
0.050000,3.064351,4.131423,3.582096,0.376347,-1.575492,-0.258991,0.029447
0.050000,3.079193,4.131768,3.596941,0.296904,-1.588876,-0.267688,0.017083
0.050000,3.090034,4.131904,3.607784,0.216856,-1.600961,-0.241688,0.008145
0.050000,3.096851,4.131941,3.614600,0.136328,-1.610554,-0.191874,0.002566
0.050000,3.099625,4.131945,3.617374,0.055483,-1.616891,-0.126731,0.000305
0.050000,3.100000,4.131945,3.617749,0.007501,-0.959651,13.144795,6.283185
0.050000,3.100000,4.131945,3.617749,0.000000,-0.150016,16.192712,6.283185
