dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003161,3.201353,0.002632,0.105263,2.105263,42.105263,6.281647
0.050000,0.012781,3.201315,0.012251,0.192395,1.742633,-7.252599,6.276960
0.050000,0.028819,3.201153,0.028290,0.320780,2.567699,16.501318,6.269132
0.050000,0.051281,3.200714,0.050756,0.449322,2.570844,0.062896,6.258141
0.050000,0.080168,3.199785,0.079658,0.578032,2.574202,0.067155,6.243965
0.050000,0.115470,3.198093,0.115001,0.706865,2.576663,0.049233,6.226586
0.050000,0.157162,3.195300,0.156786,0.835702,2.576731,0.001358,6.206004
0.050000,0.205187,3.191011,0.205003,0.964327,2.572502,-0.084576,6.182247
0.050000,0.259451,3.184778,0.259623,1.092412,2.561696,-0.216119,6.155389
0.050000,0.319806,3.176104,0.320598,1.219500,2.541758,-0.398763,6.125564
0.050000,0.386041,3.164466,0.387848,1.345003,2.510068,-0.633808,6.092987
0.050000,0.457873,3.149323,0.461259,1.468217,2.464272,-0.915914,6.057970
0.050000,0.534942,3.130151,0.540677,1.588353,2.402720,-1.231040,6.020930
0.050000,0.616814,3.106463,0.625907,1.704599,2.324930,-1.555810,5.982396
0.050000,0.702996,3.077842,0.716717,1.816197,2.231955,-1.859487,5.943000
0.050000,0.792955,3.043966,0.812843,1.922522,2.126504,-2.109028,5.903459
0.050000,0.886150,3.004627,0.914001,2.023156,2.012677,-2.276538,5.864546
0.050000,0.982064,2.959745,1.019897,2.117922,1.895330,-2.346939,5.827060
0.050000,1.080238,2.909369,1.130241,2.206881,1.779179,-2.323015,5.791789
0.050000,1.177772,2.855130,1.241841,2.232014,0.502644,-25.530701,5.760258
0.050000,1.272195,2.798954,1.351712,2.197404,-0.692201,-23.896906,5.733432
0.050000,1.363777,2.741381,1.459887,2.163510,-0.677873,0.286570,5.711213
0.050000,1.452812,2.682898,1.566411,2.130485,-0.660507,0.347308,5.693483
0.050000,1.539596,2.623942,1.671327,2.098322,-0.643262,0.344911,5.680124
0.050000,1.624424,2.564913,1.774673,2.066902,-0.628388,0.297473,5.671034
0.050000,1.707577,2.506183,1.876474,2.036032,-0.617397,0.219827,5.666139
0.050000,1.789317,2.448103,1.976748,2.005472,-0.611215,0.123635,5.665396
0.050000,1.869890,2.391014,2.075496,1.974956,-0.610307,0.018149,5.668798
0.050000,1.949515,2.335248,2.172706,1.944219,-0.614744,-0.088737,5.676375
0.050000,2.028390,2.281139,2.268357,1.913008,-0.624211,-0.189338,5.688191
0.050000,2.106685,2.229021,2.362412,1.881110,-0.637961,-0.275007,5.704340
0.050000,2.184545,2.179230,2.454831,1.848375,-0.654713,-0.335034,5.724933
0.050000,2.262085,2.132105,2.545569,1.814750,-0.672500,-0.355743,5.750093
0.050000,2.339396,2.087982,2.634585,1.780324,-0.688505,-0.320094,5.779927
0.050000,2.415242,2.047846,2.720395,1.716209,-1.282308,-11.876060,5.813882
0.050000,2.487646,2.012752,2.800856,1.609214,-2.139909,-17.152020,5.850635
0.050000,2.555922,1.982778,2.875422,1.491328,-2.357703,-4.355872,5.889102
0.050000,2.620103,1.957537,2.944388,1.379321,-2.240148,2.351091,5.928486
0.050000,2.680216,1.936598,3.008044,1.273103,-2.124358,2.315802,5.968001
0.050000,2.736285,1.919504,3.066661,1.172340,-2.015257,2.182010,6.006905
0.050000,2.788333,1.905791,3.120484,1.076474,-1.917317,1.958805,6.044534
0.050000,2.836376,1.895005,3.169724,0.984784,-1.833799,1.670365,6.080321
0.050000,2.880425,1.886707,3.214547,0.896467,-1.766355,1.348884,6.113807
0.050000,2.920481,1.880490,3.255083,0.810716,-1.715018,1.026725,6.144644
0.050000,2.956539,1.875974,3.291422,0.726791,-1.678502,0.730322,6.172583
0.050000,2.988587,1.872818,3.323625,0.644058,-1.654646,0.477118,6.197462
0.050000,3.016609,1.870716,3.351726,0.562015,-1.640877,0.275380,6.219188
0.050000,3.040587,1.869402,3.375740,0.480285,-1.634583,0.125891,6.237717
0.050000,3.060504,1.868649,3.395671,0.398617,-1.633364,0.024375,6.253042
0.050000,3.076342,1.868268,3.411514,0.316858,-1.635174,-0.036208,6.265173
0.050000,3.088088,1.868109,3.423261,0.234940,-1.638370,-0.063908,6.274134
0.050000,3.095730,1.868062,3.430904,0.152855,-1.641705,-0.066697,6.279945
0.050000,3.099262,1.868055,3.434436,0.070640,-1.644301,-0.051927,6.282626
0.050000,3.100000,1.868055,3.435173,0.014752,-1.117744,10.531147,0.000000
0.050000,3.100000,1.868055,3.435173,0.000000,-0.295049,16.453893,0.000000
