dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002029,2.465243,0.002632,0.105263,2.105263,42.105263,6.281647
0.050000,0.008198,2.465219,0.008801,0.123394,0.362624,-34.852780,6.276960
0.050000,0.018474,2.465115,0.019078,0.205535,1.642806,25.603640,6.269132
0.050000,0.032847,2.464834,0.033454,0.287516,1.639635,-0.063421,6.258141
0.050000,0.051304,2.464241,0.051920,0.369328,1.636240,-0.067898,6.243965
0.050000,0.073829,2.463161,0.074471,0.451015,1.633730,-0.050199,6.226586
0.050000,0.100404,2.461381,0.101106,0.532695,1.633603,-0.002535,6.206004
0.050000,0.131012,2.458648,0.131835,0.614583,1.637764,0.083217,6.182247
0.050000,0.165634,2.454670,0.166685,0.697008,1.648497,0.214647,6.155389
0.050000,0.204259,2.449120,0.205707,0.780426,1.668361,0.397289,6.125564
0.050000,0.246877,2.441630,0.248978,0.865426,1.699986,0.632496,6.092987
0.050000,0.293488,2.431803,0.296614,0.952712,1.745735,0.914981,6.057970
0.050000,0.344099,2.419210,0.348767,1.043076,1.807271,1.230725,6.020930
0.050000,0.398724,2.403402,0.405634,1.137330,1.885088,1.556343,5.982396
0.050000,0.457384,2.383916,0.467446,1.236237,1.978139,1.861021,5.943000
0.050000,0.520103,2.360292,0.534467,1.340423,2.083719,2.111587,5.903459
0.050000,0.586908,2.332085,0.606982,1.450309,2.197718,2.279978,5.864546
0.050000,0.657828,2.298890,0.685286,1.566072,2.315265,2.350950,5.827060
0.050000,0.732899,2.260359,0.769669,1.687654,2.431624,2.327172,5.791789
0.050000,0.810145,2.217393,0.858060,1.767821,1.603342,-16.565629,5.760258
0.050000,0.887594,2.171307,0.948183,1.802476,0.693116,-18.204519,5.733432
0.050000,0.965327,2.122434,1.040004,1.836408,0.678626,-0.289814,5.711213
0.050000,1.043451,2.071112,1.133477,1.869463,0.661105,-0.350419,5.693483
0.050000,1.122099,2.017679,1.228559,1.901649,0.643714,-0.347806,5.680124
0.050000,1.201434,1.962470,1.325214,1.933084,0.628707,-0.300143,5.671034
0.050000,1.281643,1.905818,1.423412,1.963964,0.617592,-0.222306,5.666139
0.050000,1.362937,1.848055,1.523138,1.994528,0.611293,-0.125985,5.665396
0.050000,1.445553,1.789518,1.624390,2.025042,0.610271,-0.020444,5.668798
0.050000,1.529749,1.730555,1.727179,2.055771,0.614591,0.086416,5.676375
0.050000,1.615798,1.671529,1.831527,2.086968,0.623937,0.186913,5.688191
0.050000,1.703990,1.612827,1.937470,2.118846,0.637558,0.272411,5.704340
0.050000,1.794624,1.554875,2.045047,2.151555,0.654169,0.332221,5.724933
0.050000,1.887995,1.498138,2.154305,2.185145,0.671804,0.352704,5.750093
0.050000,1.984383,1.443138,2.265281,2.219527,0.687648,0.316883,5.779927
0.050000,2.082325,1.391321,2.376085,2.216079,-0.068956,-15.132077,5.813882
0.050000,2.179077,1.344438,2.483598,2.150266,-1.316260,-24.946089,5.850635
0.050000,2.273284,1.303091,2.586479,2.057618,-1.852968,-10.734160,5.889102
0.050000,2.364446,1.267249,2.684434,1.959102,-1.970317,-2.346980,5.928486
0.050000,2.452028,1.236749,2.777175,1.854806,-2.085923,-2.312117,5.968001
0.050000,2.535490,1.211309,2.864428,1.745062,-2.194879,-2.179109,6.006905
0.050000,2.614322,1.190544,2.945949,1.630426,-2.292723,-1.956896,6.044534
0.050000,2.688068,1.173990,3.021530,1.511616,-2.376197,-1.669482,6.080321
0.050000,2.756339,1.161131,3.091001,1.389434,-2.443643,-1.348916,6.113807
0.050000,2.818825,1.151433,3.154236,1.264683,-2.495016,-1.027462,6.144644
0.050000,2.875289,1.144362,3.211141,1.138103,-2.531592,-0.731522,6.172583
0.050000,2.925562,1.139411,3.261657,1.010327,-2.555520,-0.478554,6.197462
0.050000,2.969532,1.136113,3.305750,0.881859,-2.569363,-0.276867,6.219188
0.050000,3.007129,1.134053,3.343404,0.753073,-2.575728,-0.127300,6.237717
0.050000,3.038318,1.132874,3.374615,0.624222,-2.577010,-0.025622,6.253042
0.050000,3.063084,1.132277,3.399388,0.495460,-2.575251,0.035164,6.265173
0.050000,3.081425,1.132029,3.417731,0.366855,-2.572097,0.063085,6.274134
0.050000,3.093345,1.131956,3.429651,0.238415,-2.568792,0.066094,6.279945
0.050000,3.098851,1.131945,3.435157,0.110105,-2.566215,0.051540,6.282626
0.050000,3.100000,1.131945,3.436306,0.022988,-1.742329,16.477720,0.000000
0.050000,3.100000,1.131945,3.436306,0.000000,-0.459762,25.651347,0.000000
