dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.000612,1.270850,0.000623,0.024936,0.498719,9.974387,0.000000
0.050000,6.003106,1.270850,0.003117,0.049872,0.498719,-0.000000,0.000000
0.050000,6.008717,1.270850,0.008728,0.112212,1.246798,14.961580,0.000000
0.050000,6.018691,1.270850,0.018702,0.199488,1.745518,9.974387,0.000000
0.050000,6.033653,1.270850,0.033664,0.299232,1.994877,4.987193,0.000000
0.050000,6.053601,1.270850,0.053612,0.398975,1.994877,-0.000000,0.000000
0.050000,6.078537,1.270850,0.078548,0.498719,1.994877,0.000000,0.000000
0.050000,6.108460,1.270850,0.108471,0.598463,1.994877,0.000000,0.000000
0.050000,6.143371,1.270850,0.143382,0.698207,1.994877,-0.000000,0.000000
0.050000,6.183268,1.270850,0.183279,0.797951,1.994877,-0.000000,0.000000
0.050000,6.228153,1.270850,0.228164,0.897695,1.994877,0.000000,0.000000
0.050000,6.278025,1.270850,0.278036,0.997439,1.994877,0.000000,0.000000
0.050000,6.332884,1.270850,0.332895,1.097183,1.994877,-0.000000,0.000000
0.050000,6.392107,1.270850,0.392118,1.184458,1.745518,-4.987193,0.000000
0.050000,6.454447,1.270850,0.454458,1.246798,1.246798,-9.974387,0.000000
0.050000,6.518657,1.270850,0.518668,1.284202,0.748079,-9.974387,0.000000
0.050000,6.583470,1.270850,0.583481,1.296255,0.241057,-10.140445,0.000000
0.050000,6.647618,1.270850,0.647629,1.282957,-0.265966,-10.140445,0.000000
0.050000,6.709854,1.270850,0.709865,1.244723,-0.764685,-9.974387,0.000000
0.050000,6.768931,1.270850,0.768942,1.181552,-1.263404,-9.974387,0.000000
0.050000,6.823625,1.270850,0.823636,1.093861,-1.753821,-9.808329,0.000000
0.050000,6.873330,1.270850,0.873341,0.994118,-1.994877,-4.821135,0.000000
0.050000,6.918049,1.270850,0.918060,0.894374,-1.994877,0.000000,0.000000
0.050000,6.957781,1.270850,0.957792,0.794630,-1.994877,-0.000000,0.000000
0.050000,6.992525,1.270850,0.992536,0.694886,-1.994877,0.000000,0.000000
0.050000,7.022282,1.270850,1.022293,0.595142,-1.994877,-0.000000,0.000000
0.050000,7.047052,1.270850,1.047063,0.495398,-1.994877,0.000000,0.000000
0.050000,7.066835,1.270850,1.066846,0.395654,-1.994877,0.000000,0.000000
0.050000,7.081630,1.270850,1.081641,0.295910,-1.994877,0.000000,0.000000
0.050000,7.091459,1.270850,1.091470,0.196582,-1.986574,0.166058,0.000000
0.050000,7.096966,1.270850,1.096977,0.110136,-1.728912,5.153252,0.000000
0.050000,7.099397,1.270850,1.099408,0.048626,-1.230193,9.974387,0.000000
0.050000,7.100000,1.270850,1.100011,0.012053,-0.731473,9.974387,0.000000
0.050000,7.100000,1.270850,1.100011,0.000000,-0.241057,9.808329,0.000000
