dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000583,-0.381950,0.000613,0.024540,0.490794,9.815884,0.000000
0.050000,0.003037,-0.381950,0.003067,0.049079,0.490794,-0.000000,0.000000
0.050000,0.008559,-0.381950,0.008589,0.110429,1.226986,14.723826,0.000000
0.050000,0.018375,-0.381950,0.018405,0.196318,1.717780,9.815884,0.000000
0.050000,0.033099,-0.381950,0.033129,0.294477,1.963177,4.907942,0.000000
0.050000,0.052730,-0.381950,0.052760,0.392635,1.963177,-0.000000,0.000000
0.050000,0.077270,-0.381950,0.077300,0.490794,1.963177,0.000000,0.000000
0.050000,0.106718,-0.381950,0.106748,0.588953,1.963177,-0.000000,0.000000
0.050000,0.141073,-0.381950,0.141103,0.687112,1.963177,-0.000000,0.000000
0.050000,0.180337,-0.381950,0.180367,0.785271,1.963177,0.000000,0.000000
0.050000,0.224508,-0.381950,0.224538,0.883430,1.963177,0.000000,0.000000
0.050000,0.273588,-0.381950,0.273618,0.981588,1.963177,-0.000000,0.000000
0.050000,0.327575,-0.381950,0.327605,1.079747,1.963177,-0.000000,0.000000
0.050000,0.386470,-0.381950,0.386500,1.177906,1.963177,-0.000000,0.000000
0.050000,0.450274,-0.381950,0.450304,1.276065,1.963177,-0.000000,0.000000
0.050000,0.518985,-0.381950,0.519015,1.374224,1.963177,0.000000,0.000000
0.050000,0.592604,-0.381950,0.592634,1.472383,1.963177,0.000000,0.000000
0.050000,0.671131,-0.381950,0.671161,1.570541,1.963177,-0.000000,0.000000
0.050000,0.754566,-0.381950,0.754596,1.668700,1.963177,0.000000,0.000000
0.050000,0.842909,-0.381950,0.842939,1.766859,1.963177,0.000000,0.000000
0.050000,0.936160,-0.381950,0.936190,1.865018,1.963177,-0.000000,0.000000
0.050000,1.034319,-0.381950,1.034349,1.963177,1.963177,0.000000,0.000000
0.050000,1.137386,-0.381950,1.137416,2.061336,1.963177,0.000000,0.000000
0.050000,1.244747,-0.381950,1.244777,2.147225,1.717780,-4.907942,0.000000
0.050000,1.355176,-0.381950,1.355206,2.208574,1.226986,-9.815884,0.000000
0.050000,1.467445,-0.381950,1.467475,2.245383,0.736191,-9.815884,0.000000
0.050000,1.580068,-0.381950,1.580098,2.252457,0.141480,-11.894233,0.000000
0.050000,1.691557,-0.381950,1.691587,2.229796,-0.453232,-11.894233,0.000000
0.050000,1.800687,-0.381950,1.800717,2.182595,-0.944026,-9.815884,0.000000
0.050000,1.906230,-0.381950,1.906260,2.110854,-1.434820,-9.815884,0.000000
0.050000,2.007218,-0.381950,2.007248,2.019769,-1.821697,-7.737535,0.000000
0.050000,2.103299,-0.381950,2.103329,1.921610,-1.963177,-2.829593,0.000000
0.050000,2.194471,-0.381950,2.194501,1.823451,-1.963177,0.000000,0.000000
0.050000,2.280736,-0.381950,2.280766,1.725292,-1.963177,-0.000000,0.000000
0.050000,2.362093,-0.381950,2.362123,1.627133,-1.963177,0.000000,0.000000
0.050000,2.438541,-0.381950,2.438571,1.528974,-1.963177,-0.000000,0.000000
0.050000,2.510082,-0.381950,2.510112,1.430816,-1.963177,0.000000,0.000000
0.050000,2.576715,-0.381950,2.576745,1.332657,-1.963177,0.000000,0.000000
0.050000,2.638440,-0.381950,2.638470,1.234498,-1.963177,0.000000,0.000000
0.050000,2.695257,-0.381950,2.695287,1.136339,-1.963177,-0.000000,0.000000
0.050000,2.747166,-0.381950,2.747196,1.038180,-1.963177,-0.000000,0.000000
0.050000,2.794167,-0.381950,2.794197,0.940021,-1.963177,0.000000,0.000000
0.050000,2.836260,-0.381950,2.836290,0.841863,-1.963177,-0.000000,0.000000
0.050000,2.873445,-0.381950,2.873475,0.743704,-1.963177,0.000000,0.000000
0.050000,2.905722,-0.381950,2.905752,0.645545,-1.963177,-0.000000,0.000000
0.050000,2.933092,-0.381950,2.933122,0.547386,-1.963177,0.000000,0.000000
0.050000,2.955553,-0.381950,2.955583,0.449227,-1.963177,-0.000000,0.000000
0.050000,2.973106,-0.381950,2.973136,0.351068,-1.963177,0.000000,0.000000
0.050000,2.985752,-0.381950,2.985782,0.252910,-1.963177,0.000000,0.000000
0.050000,2.993749,-0.381950,2.993779,0.159947,-1.859259,2.078349,0.000000
0.050000,2.997972,-0.381950,2.998002,0.084449,-1.509945,6.986291,0.000000
0.050000,2.999646,-0.381950,2.999676,0.033492,-1.019151,9.815884,0.000000
0.050000,3.000000,-0.381950,3.000030,0.007074,-0.528356,9.815884,0.000000
0.050000,3.000000,-0.381950,3.000030,0.000000,-0.141480,7.737535,0.000000
