dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000585,0.381950,0.000625,0.025000,0.500000,10.000000,0.000000
0.050000,0.003085,0.381950,0.003125,0.050000,0.500000,-0.000000,0.000000
0.050000,0.008710,0.381950,0.008750,0.112500,1.250000,15.000000,0.000000
0.050000,0.018710,0.381950,0.018750,0.200000,1.750000,10.000000,0.000000
0.050000,0.033710,0.381950,0.033750,0.300000,2.000000,5.000000,0.000000
0.050000,0.053710,0.381950,0.053750,0.400000,2.000000,-0.000000,0.000000
0.050000,0.078710,0.381950,0.078750,0.500000,2.000000,0.000000,0.000000
0.050000,0.108710,0.381950,0.108750,0.600000,2.000000,-0.000000,0.000000
0.050000,0.143710,0.381950,0.143750,0.700000,2.000000,-0.000000,0.000000
0.050000,0.183710,0.381950,0.183750,0.800000,2.000000,-0.000000,0.000000
0.050000,0.228710,0.381950,0.228750,0.900000,2.000000,0.000000,0.000000
0.050000,0.278710,0.381950,0.278750,1.000000,2.000000,0.000000,0.000000
0.050000,0.333710,0.381950,0.333750,1.100000,2.000000,-0.000000,0.000000
0.050000,0.393710,0.381950,0.393750,1.200000,2.000000,-0.000000,0.000000
0.050000,0.458710,0.381950,0.458750,1.300000,2.000000,0.000000,0.000000
0.050000,0.528710,0.381950,0.528750,1.400000,2.000000,-0.000000,0.000000
0.050000,0.603710,0.381950,0.603750,1.500000,2.000000,-0.000000,0.000000
0.050000,0.683710,0.381950,0.683750,1.600000,2.000000,0.000000,0.000000
0.050000,0.768710,0.381950,0.768750,1.700000,2.000000,0.000000,0.000000
0.050000,0.858710,0.381950,0.858750,1.800000,2.000000,0.000000,0.000000
0.050000,0.953085,0.381950,0.953125,1.887500,1.750000,-5.000000,0.000000
0.050000,1.050585,0.381950,1.050625,1.950000,1.250000,-10.000000,0.000000
0.050000,1.149960,0.381950,1.150000,1.987500,0.750000,-10.000000,0.000000
0.050000,1.249960,0.381950,1.250000,2.000000,0.250000,-10.000000,0.000000
0.050000,1.349960,0.381950,1.350000,2.000000,0.000000,-5.000000,0.000000
0.050000,1.449960,0.381950,1.450000,2.000000,-0.000000,-0.000000,0.000000
0.050000,1.549960,0.381950,1.550000,2.000000,0.000000,0.000000,0.000000
0.050000,1.649960,0.381950,1.650000,2.000000,0.000000,-0.000000,0.000000
0.050000,1.749960,0.381950,1.750000,2.000000,-0.000000,-0.000000,0.000000
0.050000,1.849960,0.381950,1.850000,2.000000,0.000000,0.000000,0.000000
0.050000,1.949960,0.381950,1.950000,2.000000,-0.000000,-0.000000,0.000000
0.050000,2.049960,0.381950,2.050000,2.000000,0.000000,0.000000,0.000000
0.050000,2.149960,0.381950,2.150000,2.000000,0.000000,-0.000000,0.000000
0.050000,2.249960,0.381950,2.250000,2.000000,0.000000,-0.000000,0.000000
0.050000,2.349960,0.381950,2.350000,2.000000,0.000000,0.000000,0.000000
0.050000,2.449960,0.381950,2.450000,2.000000,0.000000,0.000000,0.000000
0.050000,2.549960,0.381950,2.550000,2.000000,-0.000000,-0.000000,0.000000
0.050000,2.649960,0.381950,2.650000,2.000000,0.000000,0.000000,0.000000
0.050000,2.749960,0.381950,2.750000,2.000000,0.000000,-0.000000,0.000000
0.050000,2.849960,0.381950,2.850000,2.000000,0.000000,0.000000,0.000000
0.050000,2.949335,0.381950,2.949375,1.987505,-0.249900,-4.998000,0.000000
0.050000,3.046836,0.381950,3.046876,1.950015,-0.749800,-9.998000,0.000000
0.050000,3.141212,0.381950,3.141252,1.887525,-1.249800,-10.000000,0.000000
0.050000,3.231214,0.381950,3.231254,1.800035,-1.749800,-10.000000,0.000000
0.050000,3.316216,0.381950,3.316256,1.700040,-1.999900,-5.002000,0.000000
0.050000,3.396218,0.381950,3.396258,1.600040,-2.000000,-0.002000,0.000000
0.050000,3.471220,0.381950,3.471260,1.500040,-2.000000,0.000000,0.000000
0.050000,3.541222,0.381950,3.541262,1.400040,-2.000000,0.000000,0.000000
0.050000,3.606224,0.381950,3.606264,1.300040,-2.000000,-0.000000,0.000000
0.050000,3.666226,0.381950,3.666266,1.200040,-2.000000,0.000000,0.000000
0.050000,3.721228,0.381950,3.721268,1.100040,-2.000000,0.000000,0.000000
0.050000,3.771230,0.381950,3.771270,1.000040,-2.000000,0.000000,0.000000
0.050000,3.816232,0.381950,3.816272,0.900040,-2.000000,-0.000000,0.000000
0.050000,3.856234,0.381950,3.856274,0.800040,-2.000000,0.000000,0.000000
0.050000,3.891236,0.381950,3.891276,0.700040,-2.000000,0.000000,0.000000
0.050000,3.921238,0.381950,3.921278,0.600040,-2.000000,0.000000,0.000000
0.050000,3.946240,0.381950,3.946280,0.500040,-2.000000,-0.000000,0.000000
0.050000,3.966242,0.381950,3.966282,0.400040,-2.000000,0.000000,0.000000
0.050000,3.981244,0.381950,3.981284,0.300040,-2.000000,0.000000,0.000000
0.050000,3.991246,0.381950,3.991286,0.200040,-2.000000,0.000000,0.000000
0.050000,3.996873,0.381950,3.996913,0.112535,-1.750100,4.998000,0.000000
0.050000,3.999374,0.381950,3.999414,0.050025,-1.250200,9.998000,0.000000
0.050000,4.000000,0.381950,4.000040,0.012515,-0.750200,10.000000,0.000000
0.050000,4.000000,0.381950,4.000040,0.000005,-0.250200,10.000000,0.000000
0.050000,4.000000,0.381950,4.000040,0.000000,-0.000100,5.002000,0.000000
