dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000575,-0.381950,0.000625,0.025000,0.500000,10.000000,0.000000
0.050000,0.003075,-0.381950,0.003125,0.050000,0.500000,-0.000000,0.000000
0.050000,0.008700,-0.381950,0.008750,0.112500,1.250000,15.000000,0.000000
0.050000,0.018700,-0.381950,0.018750,0.200000,1.750000,10.000000,0.000000
0.050000,0.033700,-0.381950,0.033750,0.300000,2.000000,5.000000,0.000000
0.050000,0.053700,-0.381950,0.053750,0.400000,2.000000,-0.000000,0.000000
0.050000,0.078700,-0.381950,0.078750,0.500000,2.000000,-0.000000,0.000000
0.050000,0.108700,-0.381950,0.108750,0.600000,2.000000,-0.000000,0.000000
0.050000,0.143700,-0.381950,0.143750,0.700000,2.000000,0.000000,0.000000
0.050000,0.183700,-0.381950,0.183750,0.800000,2.000000,-0.000000,0.000000
0.050000,0.228700,-0.381950,0.228750,0.900000,2.000000,0.000000,0.000000
0.050000,0.278700,-0.381950,0.278750,1.000000,2.000000,0.000000,0.000000
0.050000,0.333700,-0.381950,0.333750,1.100000,2.000000,0.000000,0.000000
0.050000,0.393700,-0.381950,0.393750,1.200000,2.000000,0.000000,0.000000
0.050000,0.458700,-0.381950,0.458750,1.300000,2.000000,-0.000000,0.000000
0.050000,0.528700,-0.381950,0.528750,1.400000,2.000000,-0.000000,0.000000
0.050000,0.603700,-0.381950,0.603750,1.500000,2.000000,0.000000,0.000000
0.050000,0.683700,-0.381950,0.683750,1.600000,2.000000,-0.000000,0.000000
0.050000,0.768700,-0.381950,0.768750,1.700000,2.000000,0.000000,0.000000
0.050000,0.858700,-0.381950,0.858750,1.800000,2.000000,0.000000,0.000000
0.050000,0.953075,-0.381950,0.953125,1.887500,1.750000,-5.000000,0.000000
0.050000,1.050575,-0.381950,1.050625,1.950000,1.250000,-10.000000,0.000000
0.050000,1.149950,-0.381950,1.150000,1.987500,0.750000,-10.000000,0.000000
0.050000,1.249950,-0.381950,1.250000,2.000000,0.250000,-10.000000,0.000000
0.050000,1.349950,-0.381950,1.350000,2.000000,0.000000,-5.000000,0.000000
0.050000,1.449950,-0.381950,1.450000,2.000000,0.000000,-0.000000,0.000000
0.050000,1.549950,-0.381950,1.550000,2.000000,-0.000000,-0.000000,0.000000
0.050000,1.649950,-0.381950,1.650000,2.000000,0.000000,0.000000,0.000000
0.050000,1.749950,-0.381950,1.750000,2.000000,0.000000,-0.000000,0.000000
0.050000,1.849950,-0.381950,1.850000,2.000000,-0.000000,-0.000000,0.000000
0.050000,1.949950,-0.381950,1.950000,2.000000,0.000000,0.000000,0.000000
0.050000,2.049950,-0.381950,2.050000,2.000000,-0.000000,-0.000000,0.000000
0.050000,2.149950,-0.381950,2.150000,2.000000,0.000000,0.000000,0.000000
0.050000,2.249950,-0.381950,2.250000,2.000000,0.000000,-0.000000,0.000000
0.050000,2.349950,-0.381950,2.350000,2.000000,0.000000,0.000000,0.000000
0.050000,2.449950,-0.381950,2.450000,2.000000,-0.000000,-0.000000,0.000000
0.050000,2.549950,-0.381950,2.550000,2.000000,0.000000,0.000000,0.000000
0.050000,2.649950,-0.381950,2.650000,2.000000,0.000000,-0.000000,0.000000
0.050000,2.749950,-0.381950,2.750000,2.000000,0.000000,-0.000000,0.000000
0.050000,2.849950,-0.381950,2.850000,2.000000,0.000000,-0.000000,0.000000
0.050000,2.949950,-0.381950,2.950000,2.000000,0.000000,0.000000,0.000000
0.050000,3.049950,-0.381950,3.050000,2.000000,0.000000,0.000000,0.000000
0.050000,3.149950,-0.381950,3.150000,2.000000,0.000000,0.000000,0.000000
0.050000,3.249950,-0.381950,3.250000,2.000000,0.000000,0.000000,0.000000
0.050000,3.349950,-0.381950,3.350000,2.000000,0.000000,0.000000,0.000000
0.050000,3.449950,-0.381950,3.450000,2.000000,-0.000000,-0.000000,0.000000
0.050000,3.549950,-0.381950,3.550000,2.000000,0.000000,0.000000,0.000000
0.050000,3.649950,-0.381950,3.650000,2.000000,0.000000,-0.000000,0.000000
0.050000,3.749950,-0.381950,3.750000,2.000000,0.000000,0.000000,0.000000
0.050000,3.849950,-0.381950,3.850000,2.000000,0.000000,0.000000,0.000000
0.050000,3.949325,-0.381950,3.949375,1.987506,-0.249875,-4.997500,0.000000
0.050000,4.046826,-0.381950,4.046876,1.950019,-0.749750,-9.997500,0.000000
0.050000,4.141203,-0.381950,4.141253,1.887531,-1.249750,-10.000000,0.000000
0.050000,4.231205,-0.381950,4.231255,1.800044,-1.749750,-10.000000,0.000000
0.050000,4.316208,-0.381950,4.316258,1.700050,-1.999875,-5.002500,0.000000
0.050000,4.396210,-0.381950,4.396260,1.600050,-2.000000,-0.002500,0.000000
0.050000,4.471213,-0.381950,4.471263,1.500050,-2.000000,0.000000,0.000000
0.050000,4.541215,-0.381950,4.541265,1.400050,-2.000000,0.000000,0.000000
0.050000,4.606218,-0.381950,4.606268,1.300050,-2.000000,0.000000,0.000000
0.050000,4.666220,-0.381950,4.666270,1.200050,-2.000000,0.000000,0.000000
0.050000,4.721223,-0.381950,4.721273,1.100050,-2.000000,-0.000000,0.000000
0.050000,4.771225,-0.381950,4.771275,1.000050,-2.000000,-0.000000,0.000000
0.050000,4.816228,-0.381950,4.816278,0.900050,-2.000000,0.000000,0.000000
0.050000,4.856230,-0.381950,4.856280,0.800050,-2.000000,-0.000000,0.000000
0.050000,4.891233,-0.381950,4.891283,0.700050,-2.000000,0.000000,0.000000
0.050000,4.921235,-0.381950,4.921285,0.600050,-2.000000,0.000000,0.000000
0.050000,4.946238,-0.381950,4.946288,0.500050,-2.000000,0.000000,0.000000
0.050000,4.966240,-0.381950,4.966290,0.400050,-2.000000,0.000000,0.000000
0.050000,4.981243,-0.381950,4.981293,0.300050,-2.000000,0.000000,0.000000
0.050000,4.991245,-0.381950,4.991295,0.200050,-2.000000,0.000000,0.000000
0.050000,4.996872,-0.381950,4.996922,0.112544,-1.750125,4.997500,0.000000
0.050000,4.999374,-0.381950,4.999424,0.050031,-1.250250,9.997500,0.000000
0.050000,5.000000,-0.381950,5.000050,0.012519,-0.750250,10.000000,0.000000
0.050000,5.000000,-0.381950,5.000050,0.000006,-0.250250,10.000000,0.000000
0.050000,5.000000,-0.381950,5.000050,0.000000,-0.000125,5.002500,0.000000
