dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.700569,0.506950,0.000588,0.023529,0.470580,9.411606,0.000000
0.050000,5.702922,0.506950,0.002941,0.047058,0.470580,0.000000,0.000000
0.050000,5.708216,0.506950,0.008235,0.105881,1.176451,14.117409,0.000000
0.050000,5.717628,0.506950,0.017647,0.188232,1.647031,9.411606,0.000000
0.050000,5.732333,0.506950,0.032352,0.294113,2.117611,9.411606,0.000000
0.050000,5.753510,0.506950,0.053529,0.423522,2.588192,9.411606,0.000000
0.050000,5.782333,0.506950,0.082352,0.576461,3.058772,9.411606,0.000000
0.050000,5.819979,0.506950,0.119998,0.752928,3.529352,9.411606,0.000000
0.050000,5.867037,0.506950,0.167056,0.941161,3.764642,4.705803,0.000000
0.050000,5.923507,0.506950,0.223526,1.129393,3.764642,-0.000000,0.000000
0.050000,5.989388,0.506950,0.289407,1.317625,3.764642,-0.000000,0.000000
0.050000,6.064092,0.506950,0.364111,1.494092,3.529352,-4.705803,0.000000
0.050000,6.146444,0.506950,0.446463,1.647031,3.058772,-9.411606,0.000000
0.050000,6.235266,0.506950,0.535285,1.776441,2.588192,-9.411606,0.000000
0.050000,6.329382,0.506950,0.629401,1.882321,2.117611,-9.411606,0.000000
0.050000,6.427616,0.506950,0.727635,1.964673,1.647031,-9.411606,0.000000
0.050000,6.528791,0.506950,0.828810,2.023495,1.176451,-9.411606,0.000000
0.050000,6.631730,0.506950,0.931749,2.058789,0.705870,-9.411606,0.000000
0.050000,6.734877,0.506950,1.034896,2.062939,0.083002,-12.457360,0.000000
0.050000,6.836674,0.506950,1.136693,2.035946,-0.539866,-12.457360,0.000000
0.050000,6.935945,0.506950,1.235964,1.985423,-1.010446,-9.411606,0.000000
0.050000,7.031514,0.506950,1.331533,1.911372,-1.481026,-9.411606,0.000000
0.050000,7.122204,0.506950,1.422223,1.813792,-1.951606,-9.411606,0.000000
0.050000,7.206838,0.506950,1.506857,1.692682,-2.422187,-9.411606,0.000000
0.050000,7.284240,0.506950,1.584259,1.548044,-2.892767,-9.411606,0.000000
0.050000,7.353234,0.506950,1.653253,1.379877,-3.363347,-9.411606,0.000000
0.050000,7.413023,0.506950,1.713042,1.195795,-3.681640,-6.365851,0.000000
0.050000,7.463402,0.506950,1.763421,1.007563,-3.764642,-1.660049,0.000000
0.050000,7.504368,0.506950,1.804387,0.819330,-3.764642,0.000000,0.000000
0.050000,7.536304,0.506950,1.836323,0.638713,-3.612355,3.045754,0.000000
0.050000,7.560177,0.506950,1.860196,0.477474,-3.224777,7.751557,0.000000
0.050000,7.577166,0.506950,1.877185,0.339764,-2.754196,9.411606,0.000000
0.050000,7.588445,0.506950,1.888464,0.225583,-2.283616,9.411606,0.000000
0.050000,7.595191,0.506950,1.895210,0.134931,-1.813036,9.411606,0.000000
0.050000,7.598582,0.506950,1.898601,0.067809,-1.342456,9.411606,0.000000
0.050000,7.599792,0.506950,1.899811,0.024215,-0.871875,9.411606,0.000000
0.050000,7.600000,0.506950,1.900019,0.004150,-0.401295,9.411606,0.000000
0.050000,7.600000,0.506950,1.900019,0.000000,-0.083002,6.365851,0.000000
