dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.500554,1.270850,0.000575,0.022986,0.459724,9.194472,0.000000
0.050000,5.502852,1.270850,0.002873,0.045972,0.459724,-0.000000,0.000000
0.050000,5.508024,1.270850,0.008045,0.103438,1.149309,13.791708,0.000000
0.050000,5.517219,1.270850,0.017240,0.183889,1.609033,9.194472,0.000000
0.050000,5.531585,1.270850,0.031606,0.287327,2.068756,9.194472,0.000000
0.050000,5.552273,1.270850,0.052294,0.413751,2.528480,9.194472,0.000000
0.050000,5.580431,1.270850,0.080452,0.563161,2.988203,9.194472,0.000000
0.050000,5.617209,1.270850,0.117230,0.735558,3.447927,9.194472,0.000000
0.050000,5.663181,1.270850,0.163202,0.919447,3.677789,4.597236,0.000000
0.050000,5.718348,1.270850,0.218369,1.103337,3.677789,-0.000000,0.000000
0.050000,5.782709,1.270850,0.282730,1.287226,3.677789,-0.000000,0.000000
0.050000,5.856265,1.270850,0.356286,1.471115,3.677789,-0.000000,0.000000
0.050000,5.938440,1.270850,0.438461,1.643512,3.447927,-4.597236,0.000000
0.050000,6.028086,1.270850,0.528107,1.792922,2.988203,-9.194472,0.000000
0.050000,6.124054,1.270850,0.624075,1.919346,2.528480,-9.194472,0.000000
0.050000,6.225193,1.270850,0.725214,2.022784,2.068756,-9.194472,0.000000
0.050000,6.330355,1.270850,0.830376,2.103235,1.609033,-9.194472,0.000000
0.050000,6.438390,1.270850,0.938411,2.160701,1.149309,-9.194472,0.000000
0.050000,6.548149,1.270850,1.048170,2.195180,0.689585,-9.194472,0.000000
0.050000,6.657927,1.270850,1.157948,2.195564,0.007670,-13.638315,0.000000
0.050000,6.766020,1.270850,1.266041,2.161851,-0.674246,-13.638315,0.000000
0.050000,6.871277,1.270850,1.371298,2.105153,-1.133970,-9.194472,0.000000
0.050000,6.972551,1.270850,1.472572,2.025468,-1.593693,-9.194472,0.000000
0.050000,7.068690,1.270850,1.568711,1.922797,-2.053417,-9.194472,0.000000
0.050000,7.158547,1.270850,1.658568,1.797140,-2.513141,-9.194472,0.000000
0.050000,7.240972,1.270850,1.740993,1.648497,-2.972864,-9.194472,0.000000
0.050000,7.314816,1.270850,1.814837,1.476868,-3.432588,-9.194472,0.000000
0.050000,7.379484,1.270850,1.879505,1.293362,-3.670119,-4.750628,0.000000
0.050000,7.434957,1.270850,1.934978,1.109472,-3.677789,-0.153392,0.000000
0.050000,7.481237,1.270850,1.981258,0.925583,-3.677789,0.000000,0.000000
0.050000,7.518321,1.270850,2.018342,0.741693,-3.677789,-0.000000,0.000000
0.050000,7.546767,1.270850,2.046788,0.568914,-3.455597,4.443844,0.000000
0.050000,7.567704,1.270850,2.067725,0.418736,-3.003543,9.041079,0.000000
0.050000,7.582281,1.270850,2.082302,0.291546,-2.543819,9.194472,0.000000
0.050000,7.591648,1.270850,2.091669,0.187341,-2.084095,9.194472,0.000000
0.050000,7.596954,1.270850,2.096975,0.106122,-1.624372,9.194472,0.000000
0.050000,7.599349,1.270850,2.099370,0.047890,-1.164648,9.194472,0.000000
0.050000,7.599981,1.270850,2.100002,0.012644,-0.704925,9.194472,0.000000
0.050000,7.600000,1.270850,2.100021,0.000383,-0.245201,9.194472,0.000000
0.050000,7.600000,1.270850,2.100021,0.000000,-0.007670,4.750628,0.000000
