dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.700653,0.381950,0.000625,0.025000,0.500000,10.000000,6.283051
0.050000,5.703366,0.381949,0.003338,0.054261,0.585220,1.704398,6.282493
0.050000,5.708791,0.381942,0.008763,0.108496,1.084704,9.989680,6.281381
0.050000,5.716925,0.381921,0.016897,0.162680,1.083669,-0.020688,6.279721
0.050000,5.727764,0.381871,0.027736,0.216785,1.082112,-0.031152,6.277524
0.050000,5.741303,0.381776,0.041275,0.270786,1.080024,-0.041753,6.274803
0.050000,5.757535,0.381614,0.057508,0.324656,1.077398,-0.052526,6.271575
0.050000,5.776452,0.381359,0.076427,0.378368,1.074223,-0.063496,6.267861
0.050000,5.798043,0.380983,0.098021,0.431892,1.070489,-0.074679,6.263686
0.050000,5.822297,0.380454,0.122281,0.485201,1.066185,-0.086078,6.259078
0.050000,5.849201,0.379737,0.149195,0.538266,1.061301,-0.097683,6.254069
0.050000,5.878739,0.378797,0.178747,0.591058,1.055828,-0.109472,6.248694
0.050000,5.910894,0.377596,0.210925,0.643546,1.049757,-0.121411,6.242993
0.050000,5.945646,0.376093,0.245710,0.695700,1.043084,-0.133453,6.237011
0.050000,5.982976,0.374252,0.283084,0.747490,1.035807,-0.145543,6.230794
0.050000,6.022858,0.372031,0.323029,0.798886,1.027926,-0.157622,6.224394
0.050000,6.065269,0.369395,0.365522,0.849859,1.019445,-0.169623,6.217867
0.050000,6.110182,0.366307,0.410540,0.900377,1.010371,-0.181486,6.211272
0.050000,6.157568,0.362735,0.458061,0.950413,1.000713,-0.193155,6.204673
0.050000,6.207398,0.358649,0.508058,0.999937,0.990484,-0.204583,6.198135
0.050000,6.258988,0.354084,0.559850,1.035833,0.717929,-5.451100,6.191808
0.050000,6.311017,0.349159,0.612111,1.045226,0.187859,-10.601398,6.185887
0.050000,6.362830,0.343958,0.664185,1.041481,-0.074907,-5.255314,6.180457
0.050000,6.414430,0.338507,0.716072,1.037735,-0.074928,-0.000417,6.175517
0.050000,6.465817,0.332835,0.767771,1.033989,-0.074916,0.000234,6.171067
0.050000,6.516994,0.326969,0.819283,1.030245,-0.074881,0.000710,6.167108
0.050000,6.567964,0.320934,0.870608,1.026503,-0.074829,0.001029,6.163638
0.050000,6.618727,0.314757,0.921747,1.022765,-0.074769,0.001208,6.160658
0.050000,6.669289,0.308465,0.972698,1.019030,-0.074705,0.001266,6.158167
0.050000,6.719651,0.302083,1.023463,1.015297,-0.074645,0.001219,6.156165
0.050000,6.769817,0.295635,1.074041,1.011568,-0.074590,0.001085,6.154650
0.050000,6.819790,0.289148,1.124434,1.007841,-0.074546,0.000882,6.153624
0.050000,6.869572,0.282646,1.174639,1.004115,-0.074515,0.000626,6.153085
0.050000,6.919169,0.276154,1.224659,1.000390,-0.074498,0.000335,6.153034
0.050000,6.968582,0.269695,1.274492,0.996665,-0.074497,0.000025,6.153471
0.050000,7.017814,0.263294,1.324139,0.992940,-0.074511,-0.000287,6.154395
0.050000,7.066870,0.256974,1.373600,0.989213,-0.074540,-0.000583,6.155807
0.050000,7.115750,0.250759,1.422874,0.985483,-0.074583,-0.000848,6.157707
0.050000,7.164459,0.244672,1.471961,0.981752,-0.074636,-0.001064,6.160096
0.050000,7.212998,0.238736,1.520862,0.978017,-0.074697,-0.001213,6.162974
0.050000,7.261370,0.232973,1.569576,0.974279,-0.074761,-0.001280,6.166341
0.050000,7.309577,0.227407,1.618103,0.970538,-0.074823,-0.001246,6.170198
0.050000,7.357620,0.222059,1.666443,0.966794,-0.074878,-0.001093,6.174545
0.050000,7.405500,0.216952,1.714595,0.963048,-0.074918,-0.000805,6.179382
0.050000,7.453220,0.212107,1.762560,0.959301,-0.074936,-0.000363,6.184709
