dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.700550,-0.381950,0.000625,0.025000,0.500000,10.000000,6.283051
0.050000,5.702837,-0.381951,0.002912,0.045739,0.414780,-1.704398,6.282493
0.050000,5.707413,-0.381957,0.007487,0.091504,0.915296,10.010317,6.281381
0.050000,5.714279,-0.381975,0.014353,0.137320,0.916330,0.020682,6.279721
0.050000,5.723439,-0.382017,0.023514,0.183215,0.917887,0.031143,6.277524
0.050000,5.734900,-0.382097,0.034975,0.229213,0.919974,0.041742,6.274803
0.050000,5.748666,-0.382235,0.048742,0.275343,0.922600,0.052513,6.271575
0.050000,5.764746,-0.382451,0.064823,0.321632,0.925774,0.063482,6.267861
0.050000,5.783149,-0.382772,0.083229,0.368107,0.929507,0.074664,6.263686
0.050000,5.803884,-0.383224,0.103969,0.414798,0.933810,0.086063,6.259078
0.050000,5.826962,-0.383839,0.127055,0.461733,0.938694,0.097669,6.254069
0.050000,5.852396,-0.384648,0.152502,0.508941,0.944167,0.109460,6.248694
0.050000,5.880200,-0.385688,0.180325,0.556453,0.950237,0.121402,6.242993
0.050000,5.910386,-0.386992,0.210540,0.604298,0.956909,0.133448,6.237011
0.050000,5.942972,-0.388600,0.243165,0.652508,0.964187,0.145543,6.230794
0.050000,5.977973,-0.390549,0.278221,0.701111,0.972068,0.157626,6.224394
0.050000,6.015408,-0.392876,0.315728,0.750139,0.980549,0.169633,6.217867
0.050000,6.055295,-0.395618,0.355709,0.799620,0.989625,0.181502,6.211272
0.050000,6.097654,-0.398812,0.398188,0.849584,0.999283,0.193177,6.204673
0.050000,6.142506,-0.402490,0.443191,0.900060,1.009514,0.204611,6.198135
0.050000,6.189282,-0.406629,0.490149,0.939163,0.782073,-4.548818,6.191808
0.050000,6.236808,-0.411128,0.537888,0.954771,0.312149,-9.398488,6.185887
0.050000,6.284494,-0.415915,0.585813,0.958516,0.074916,-4.744649,6.180457
0.050000,6.332341,-0.420969,0.633927,0.962263,0.074936,0.000401,6.175517
0.050000,6.380350,-0.426268,0.682227,0.966009,0.074924,-0.000250,6.171067
0.050000,6.428522,-0.431791,0.730715,0.969754,0.074887,-0.000726,6.167108
0.050000,6.476859,-0.437514,0.779389,0.973496,0.074835,-0.001045,6.163638
0.050000,6.525363,-0.443416,0.828251,0.977234,0.074774,-0.001224,6.160658
0.050000,6.574036,-0.449473,0.877300,0.980970,0.074710,-0.001282,6.158167
0.050000,6.622881,-0.455663,0.926535,0.984702,0.074648,-0.001235,6.156165
0.050000,6.671899,-0.461963,0.975956,0.988432,0.074593,-0.001101,6.154650
0.050000,6.721094,-0.468349,1.025564,0.992159,0.074548,-0.000898,6.153624
0.050000,6.770469,-0.474798,1.075359,0.995885,0.074516,-0.000642,6.153085
0.050000,6.820027,-0.481285,1.125339,0.999610,0.074499,-0.000351,6.153034
0.050000,6.869770,-0.487787,1.175506,1.003335,0.074497,-0.000041,6.153471
0.050000,6.919703,-0.494279,1.225859,1.007060,0.074510,0.000271,6.154395
0.050000,6.969828,-0.500737,1.276398,1.010787,0.074538,0.000567,6.155807
0.050000,7.020149,-0.507135,1.327124,1.014516,0.074580,0.000832,6.157707
0.050000,7.070668,-0.513448,1.378036,1.018248,0.074632,0.001048,6.160096
0.050000,7.121390,-0.519651,1.429136,1.021983,0.074692,0.001197,6.162974
0.050000,7.172316,-0.525718,1.480422,1.025720,0.074756,0.001264,6.166341
0.050000,7.223449,-0.531622,1.531895,1.029461,0.074817,0.001230,6.170198
0.050000,7.274792,-0.537337,1.583555,1.033205,0.074871,0.001077,6.174545
0.050000,7.326347,-0.542836,1.635402,1.036950,0.074910,0.000789,6.179382
0.050000,7.378116,-0.548092,1.687437,1.040697,0.074928,0.000347,6.184709
0.050000,7.430099,-0.553077,1.739659,1.044442,0.074914,-0.000265,6.190527
0.050000,7.481782,-0.557719,1.791549,1.037802,-0.132800,-4.154291,6.196771
0.050000,7.531980,-0.561905,1.841922,1.007458,-0.606879,-9.481575,6.203267
0.050000,7.579879,-0.565584,1.889962,0.960788,-0.933412,-6.530658,6.209857
0.050000,7.625310,-0.568772,1.935505,0.910858,-0.998604,-1.303853,6.216457
0.050000,7.668245,-0.571501,1.978527,0.860438,-1.008383,-0.195562,6.223001
0.050000,7.708657,-0.573807,2.019005,0.809559,-1.017580,-0.183941,6.229430
0.050000,7.746521,-0.575726,2.056917,0.758250,-1.026185,-0.172116,6.235688
0.050000,7.781813,-0.577298,2.092244,0.706541,-1.034192,-0.160139,6.241723
