dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002907,6.277801,0.002941,0.117647,2.352941,47.058824,0.000750
0.050000,0.011731,6.277818,0.011765,0.235294,2.352941,0.000000,0.003021
0.050000,0.026436,6.277890,0.026471,0.352941,2.352941,0.000000,0.006785
0.050000,0.047024,6.278083,0.047059,0.470588,2.352941,-0.000000,0.012008
0.050000,0.073491,6.278489,0.073529,0.588235,2.352941,0.000000,0.018645
0.050000,0.105836,6.279222,0.105882,0.705882,2.352941,0.000000,0.026635
0.050000,0.144052,6.280418,0.144118,0.823529,2.352941,-0.000000,0.035899
0.050000,0.188132,6.282233,0.188235,0.941176,2.352941,0.000000,0.046344
0.050000,0.238064,6.284838,0.238235,1.058824,2.352941,0.000000,0.057855
0.050000,0.293831,6.288418,0.294118,1.176471,2.352941,0.000000,0.070301
0.050000,0.355413,6.293167,0.355882,1.294118,2.352941,0.000000,0.083529
0.050000,0.422782,6.299281,0.423529,1.411765,2.352941,0.000000,0.097367
0.050000,0.495909,6.306956,0.497059,1.529412,2.352941,-0.000000,0.111623
0.050000,0.574759,6.316378,0.576471,1.647059,2.352941,0.000000,0.126083
0.050000,0.659295,6.327722,0.661765,1.764706,2.352941,0.000000,0.140517
0.050000,0.749478,6.341141,0.752941,1.882353,2.352941,0.000000,0.154678
0.050000,0.845271,6.356758,0.850000,2.000000,2.352941,0.000000,0.168303
0.050000,0.943749,6.374137,0.950000,2.000000,0.000000,-47.058824,0.180770
0.050000,1.042017,6.392663,1.050000,2.000000,0.000000,0.000000,0.191644
0.050000,1.140094,6.412178,1.150000,2.000000,0.000000,0.000000,0.200926
0.050000,1.238002,6.432526,1.250000,2.000000,0.000000,0.000000,0.208620
0.050000,1.335767,6.453549,1.350000,2.000000,0.000000,0.000000,0.214734
0.050000,1.433419,6.475092,1.450000,2.000000,0.000000,0.000000,0.219271
0.050000,1.530989,6.497001,1.550000,2.000000,0.000000,0.000000,0.222236
0.050000,1.628512,6.519123,1.650000,2.000000,0.000000,0.000000,0.223632
0.050000,1.726021,6.541304,1.750000,2.000000,0.000000,0.000000,0.223462
0.050000,1.823551,6.563393,1.850000,2.000000,0.000000,0.000000,0.221724
0.050000,1.921136,6.585236,1.950000,2.000000,0.000000,0.000000,0.218417
0.050000,2.018810,6.606679,2.050000,2.000000,0.000000,0.000000,0.213537
0.050000,2.116603,6.627568,2.150000,2.000000,0.000000,0.000000,0.207080
0.050000,2.214546,6.647747,2.250000,2.000000,0.000000,0.000000,0.199040
0.050000,2.312663,6.667061,2.350000,2.000000,0.000000,0.000000,0.189412
0.050000,2.410975,6.685351,2.450000,2.000000,0.000000,0.000000,0.178191
0.050000,2.509501,6.702458,2.550000,2.000000,0.000000,0.000000,0.165377
0.050000,2.608249,6.718222,2.650000,2.000000,0.000000,0.000000,0.150970
0.050000,2.707226,6.732484,2.750000,2.000000,0.000000,0.000000,0.134978
0.050000,2.806428,6.745083,2.850000,2.000000,0.000000,0.000000,0.117415
0.050000,2.905844,6.755860,2.950000,2.000000,0.000000,0.000000,0.098303
0.050000,3.005454,6.764660,3.050000,2.000000,0.000000,0.000000,0.077675
0.050000,3.105229,6.771330,3.150000,2.000000,0.000000,0.000000,0.055579
0.050000,3.205131,6.775722,3.250000,2.000000,0.000000,0.000000,0.032072
0.050000,3.305109,6.777698,3.350000,2.000000,0.000000,0.000000,0.007232
0.050000,3.405072,6.776464,3.450000,2.000000,0.000000,0.000000,6.245263
0.050000,3.504830,6.769737,3.550000,2.000000,0.000000,0.000000,6.184848
0.050000,3.603928,6.756494,3.650000,2.000000,0.000000,0.000000,6.113906
0.050000,3.701705,6.735664,3.750000,2.000000,0.000000,0.000000,6.030420
0.050000,3.797187,6.706082,3.850000,2.000000,0.000000,0.000000,5.932547
0.050000,3.889010,6.666612,3.950000,2.000000,0.000000,0.000000,5.819329
0.050000,3.975406,6.616391,4.050000,2.000000,0.000000,0.000000,5.691800
0.050000,4.054363,6.555153,4.150000,2.000000,0.000000,0.000000,5.554018
0.050000,4.122120,6.485707,4.247101,1.884043,-2.319131,-46.382626,5.417050
0.050000,4.176706,6.412645,4.338362,1.766396,-2.352941,-0.676198,5.292173
0.050000,4.219450,6.338784,4.423741,1.648749,-2.352941,0.000000,5.183406
0.050000,4.252160,6.266360,4.503237,1.531102,-2.352941,-0.000000,5.091436
0.050000,4.276711,6.196980,4.576851,1.413455,-2.352941,0.000000,5.014943
0.050000,4.294802,6.131721,4.644583,1.295808,-2.352941,0.000000,4.951812
0.050000,4.307876,6.071276,4.706432,1.178161,-2.352941,0.000000,4.899859
0.050000,4.317111,6.016081,4.762399,1.060514,-2.352941,0.000000,4.857153
0.050000,4.323455,5.966402,4.812483,0.942867,-2.352941,0.000000,4.822100
0.050000,4.327657,5.922402,4.856685,0.825220,-2.352941,-0.000000,4.793436
0.050000,4.330310,5.884175,4.895005,0.707573,-2.352941,0.000000,4.770170
0.050000,4.331879,5.851776,4.927443,0.589926,-2.352941,0.000000,4.751544
0.050000,4.332724,5.825234,4.953998,0.472279,-2.352941,0.000000,4.736980
0.050000,4.333118,5.804566,4.974670,0.354632,-2.352941,0.000000,4.726046
0.050000,4.333264,5.789776,4.989461,0.236985,-2.352941,-0.000000,4.718431
0.050000,4.333298,5.780868,4.998369,0.119338,-2.352941,0.000000,4.713926
0.050000,4.333300,5.777842,5.001395,0.001690,-2.352941,0.000000,4.712410
0.050000,4.333300,5.777800,5.001437,0.000000,-0.033810,46.382626,4.712389
0.050000,4.333300,5.777800,5.001437,0.000000,0.000000,0.676198,4.712389
