dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000590,-0.381950,0.000625,0.025000,0.500000,10.000000,0.000048
0.050000,0.003169,-0.381950,0.003205,0.051592,0.531847,0.636947,0.000256
0.050000,0.008973,-0.381947,0.009009,0.116078,1.289706,15.157172,0.000724
0.050000,0.019290,-0.381935,0.019326,0.206343,1.805299,10.311868,0.001555
0.050000,0.034764,-0.381901,0.034799,0.309472,2.062578,5.145565,0.002795
0.050000,0.055391,-0.381827,0.055427,0.412549,2.061556,-0.020425,0.004437
0.050000,0.081169,-0.381686,0.081205,0.515559,2.060190,-0.027325,0.006474
0.050000,0.112092,-0.381448,0.112129,0.618483,2.058475,-0.034297,0.008894
0.050000,0.148155,-0.381077,0.148194,0.721303,2.056408,-0.041354,0.011682
0.050000,0.189352,-0.380531,0.189394,0.824002,2.053982,-0.048503,0.014825
0.050000,0.235673,-0.379763,0.235722,0.926562,2.051195,-0.055749,0.018302
0.050000,0.287111,-0.378724,0.287170,1.028964,2.048041,-0.063088,0.022093
0.050000,0.343654,-0.377359,0.343730,1.131190,2.044515,-0.070517,0.026176
0.050000,0.405290,-0.375610,0.405391,1.233220,2.040614,-0.078022,0.030525
0.050000,0.472006,-0.373419,0.472143,1.335037,2.036334,-0.085589,0.035112
0.050000,0.543787,-0.370725,0.543974,1.436621,2.031674,-0.093197,0.039906
0.050000,0.620615,-0.367465,0.620871,1.537952,2.026633,-0.100824,0.044875
0.050000,0.702473,-0.363578,0.702822,1.639013,2.021211,-0.108444,0.049982
0.050000,0.789342,-0.359004,0.789811,1.739783,2.015409,-0.116032,0.055190
0.050000,0.881201,-0.353685,0.881823,1.840245,2.009231,-0.123560,0.060459
0.050000,0.977390,-0.347606,0.978204,1.927620,1.747510,-5.234430,0.065711
0.050000,1.076618,-0.340818,1.077665,1.989207,1.231730,-10.315587,0.070844
0.050000,1.177602,-0.333400,1.178920,2.025112,0.718109,-10.272428,0.075768
0.050000,1.279064,-0.325458,1.280693,2.035453,0.206807,-10.226040,0.080409
0.050000,1.380370,-0.317071,1.382345,2.033047,-0.048113,-5.098400,0.084735
0.050000,1.481520,-0.308273,1.483877,2.030640,-0.048135,-0.000434,0.088747
0.050000,1.582515,-0.299095,1.585289,2.028233,-0.048142,-0.000146,0.092443
0.050000,1.683358,-0.289572,1.686580,2.025826,-0.048138,0.000084,0.095824
0.050000,1.784050,-0.279735,1.787751,2.023420,-0.048125,0.000261,0.098890
0.050000,1.884593,-0.269618,1.888802,2.021015,-0.048105,0.000388,0.101641
0.050000,1.984990,-0.259252,1.989733,2.018611,-0.048082,0.000470,0.104077
0.050000,2.085243,-0.248670,2.090543,2.016208,-0.048056,0.000513,0.106199
0.050000,2.185356,-0.237903,2.191233,2.013806,-0.048030,0.000520,0.108006
0.050000,2.285332,-0.226985,2.291804,2.011406,-0.048005,0.000496,0.109500
0.050000,2.385174,-0.215946,2.392254,2.009007,-0.047983,0.000446,0.110679
0.050000,2.484885,-0.204819,2.492584,2.006609,-0.047964,0.000375,0.111544
0.050000,2.584470,-0.193634,2.592795,2.004211,-0.047950,0.000287,0.112095
0.050000,2.683931,-0.182423,2.692886,2.001814,-0.047941,0.000187,0.112333
0.050000,2.783272,-0.171218,2.792857,1.999417,-0.047937,0.000078,0.112256
0.050000,2.882496,-0.160050,2.892708,1.997021,-0.047938,-0.000034,0.111866
0.050000,2.981608,-0.148948,2.992439,1.994623,-0.047946,-0.000145,0.111162
0.050000,3.080609,-0.137946,3.092050,1.992225,-0.047958,-0.000250,0.110145
0.050000,3.179505,-0.127073,3.191541,1.989827,-0.047975,-0.000345,0.108813
0.050000,3.278297,-0.116360,3.290913,1.987427,-0.047997,-0.000425,0.107167
0.050000,3.376989,-0.105838,3.390164,1.985026,-0.048021,-0.000487,0.105207
0.050000,3.475583,-0.095538,3.489295,1.982623,-0.048047,-0.000524,0.102932
0.050000,3.574083,-0.085489,3.588306,1.980220,-0.048074,-0.000534,0.100343
0.050000,3.672491,-0.075723,3.687197,1.977815,-0.048099,-0.000510,0.097439
0.050000,3.770808,-0.066270,3.785967,1.975409,-0.048122,-0.000449,0.094220
0.050000,3.869036,-0.057160,3.884617,1.973002,-0.048139,-0.000345,0.090686
0.050000,3.967178,-0.048423,3.983147,1.970594,-0.048149,-0.000195,0.086836
0.050000,4.065234,-0.040090,4.081556,1.968187,-0.048148,0.000007,0.082672
0.050000,4.163205,-0.032190,4.179845,1.965780,-0.048135,0.000265,0.078193
0.050000,4.260794,-0.024776,4.277716,1.957407,-0.167457,-2.386432,0.073413
0.050000,4.357093,-0.017934,4.374258,1.930850,-0.531153,-7.273925,0.068386
0.050000,4.450886,-0.011752,4.468254,1.879914,-1.018710,-9.751137,0.063193
0.050000,4.540956,-0.006289,4.558490,1.804713,-1.504019,-9.706182,0.057930
0.050000,4.626389,-0.001557,4.644054,1.711289,-1.868475,-7.289114,0.052687
0.050000,4.706883,0.002481,4.724649,1.611903,-1.987726,-2.385021,0.047525
0.050000,4.782447,0.005885,4.800290,1.512817,-1.981730,0.119920,0.042482
0.050000,4.853091,0.008716,4.870991,1.414011,-1.976112,0.112354,0.037596
0.050000,4.918824,0.011035,4.936764,1.315467,-1.970875,0.104742,0.032900
0.050000,4.979653,0.012901,4.997622,1.217166,-1.966019,0.097111,0.028427
0.050000,5.035588,0.014374,5.053577,1.119089,-1.961545,0.089486,0.024205
0.050000,5.086637,0.015510,5.104638,1.021216,-1.957451,0.081891,0.020262
0.050000,5.132805,0.016362,5.150814,0.923530,-1.953733,0.074350,0.016622
0.050000,5.174101,0.016980,5.192115,0.826010,-1.950389,0.066878,0.013306
0.050000,5.210531,0.017411,5.228547,0.728640,-1.947415,0.059491,0.010334
0.050000,5.242099,0.017696,5.260117,0.631399,-1.944805,0.052196,0.007724
0.050000,5.268812,0.017872,5.286830,0.534272,-1.942555,0.044998,0.005490
0.050000,5.290674,0.017972,5.308692,0.437239,-1.940660,0.037896,0.003644
0.050000,5.307688,0.018022,5.325706,0.340283,-1.939116,0.030883,0.002197
0.050000,5.319857,0.018042,5.337876,0.243387,-1.937918,0.023950,0.001156
0.050000,5.327479,0.018049,5.345497,0.152423,-1.819281,2.372750,0.000501
0.050000,5.331452,0.018050,5.349470,0.079475,-1.458962,7.206387,0.000159
0.050000,5.332989,0.018050,5.351008,0.030741,-0.974681,9.685618,0.000027
0.050000,5.333300,0.018050,5.351318,0.006213,-0.490557,9.682474,6.283185
0.050000,5.333300,0.018050,5.351318,0.000000,-0.124258,7.325973,6.283185
