dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000533,6.659750,0.000625,0.025000,0.500000,10.000000,0.000153
0.050000,0.002786,6.659751,0.002879,0.045072,0.401446,-1.971085,0.000798
0.050000,0.007858,6.659759,0.007950,0.101434,1.127233,14.515742,0.002246
0.050000,0.016878,6.659791,0.016970,0.180400,1.579324,9.041816,0.004812
0.050000,0.030416,6.659882,0.030509,0.270777,1.807541,4.564341,0.008638
0.050000,0.048484,6.660084,0.048578,0.361371,1.811868,0.086553,0.013694
0.050000,0.071094,6.660464,0.071191,0.452259,1.817767,0.117974,0.019944
0.050000,0.098262,6.661107,0.098367,0.543526,1.825337,0.151399,0.027337
0.050000,0.130009,6.662110,0.130130,0.635260,1.834691,0.187080,0.035811
0.050000,0.166357,6.663585,0.166508,0.727558,1.845946,0.225108,0.045294
0.050000,0.207331,6.665657,0.207534,0.820518,1.859216,0.265391,0.055698
0.050000,0.252957,6.668460,0.253246,0.914248,1.874598,0.307643,0.066923
0.050000,0.303266,6.672135,0.303689,1.008857,1.892167,0.351383,0.078854
0.050000,0.358289,6.676832,0.358912,1.104455,1.911965,0.395954,0.091360
0.050000,0.418059,6.682702,0.418969,1.201155,1.933993,0.440568,0.104299
0.050000,0.482613,6.689895,0.483923,1.299065,1.958212,0.484365,0.117511
0.050000,0.551988,6.698559,0.553837,1.398292,1.984537,0.526500,0.130824
0.050000,0.626227,6.708834,0.628784,1.498934,2.012848,0.566233,0.144052
0.050000,0.705375,6.720847,0.708838,1.601084,2.043000,0.603033,0.157000
0.050000,0.789482,6.734708,0.794080,1.704826,2.074833,0.636671,0.169457
0.050000,0.878604,6.750508,0.884591,1.810236,2.108198,0.667291,0.181207
0.050000,0.972806,6.768308,0.980461,1.917385,2.142970,0.695448,0.192020
0.050000,1.072164,6.788138,1.081778,2.026338,2.179076,0.722114,0.201662
0.050000,1.176764,6.809989,1.188636,2.137164,2.216507,0.748626,0.209887
0.050000,1.286710,6.833807,1.301132,2.249931,2.255337,0.776589,0.216441
0.050000,1.401520,6.859352,1.418750,2.352356,2.048503,-4.136670,0.221041
0.050000,1.520110,6.886175,1.540335,2.431705,1.586980,-9.230470,0.223436
0.050000,1.641378,6.913758,1.664701,2.487306,1.112034,-9.498911,0.223462
0.050000,1.764198,6.941540,1.790624,2.518465,0.623177,-9.777154,0.221044
0.050000,1.888034,6.969077,1.917484,2.537203,0.374754,-4.968457,0.216174
0.050000,2.012953,6.996057,2.045284,2.555999,0.375929,0.023499,0.208842
