dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003194,5.895851,0.002941,0.117647,2.352941,47.058824,0.000750
0.050000,0.012885,5.895869,0.012632,0.193817,1.523407,-16.590688,0.003021
0.050000,0.029028,5.895949,0.028775,0.322866,2.580980,21.151461,0.006785
0.050000,0.051610,5.896161,0.051359,0.451667,2.576019,-0.099209,0.012008
0.050000,0.080612,5.896606,0.080364,0.580113,2.568916,-0.142066,0.018645
0.050000,0.116008,5.897408,0.115769,0.708089,2.559525,-0.187827,0.026635
0.050000,0.157761,5.898714,0.157543,0.835473,2.547678,-0.236941,0.035899
0.050000,0.205827,5.900693,0.205649,0.962133,2.533199,-0.289577,0.046344
0.050000,0.260149,5.903527,0.260046,1.087929,2.515920,-0.345585,0.057855
0.050000,0.320661,5.907412,0.320681,1.212714,2.495696,-0.404466,0.070301
0.050000,0.387280,5.912549,0.387498,1.336335,2.472427,-0.465385,0.083529
0.050000,0.459913,5.919140,0.460430,1.458639,2.446066,-0.527210,0.097367
0.050000,0.538455,5.927383,0.539404,1.579470,2.416636,-0.588607,0.111623
0.050000,0.622789,5.937460,0.624338,1.698682,2.384228,-0.648170,0.126083
0.050000,0.712789,5.949537,0.715144,1.816132,2.348998,-0.704595,0.140517
0.050000,0.808322,5.963751,0.811729,1.931689,2.311154,-0.756867,0.154678
0.050000,0.909251,5.980205,0.913991,2.045236,2.270932,-0.804447,0.168303
0.050000,1.012419,5.998410,1.018752,2.095225,0.999778,-25.423075,0.180770
0.050000,1.114768,6.017705,1.122904,2.083052,-0.243455,-24.864672,0.191644
0.050000,1.216322,6.037912,1.226449,2.070898,-0.243090,0.007300,0.200926
0.050000,1.317108,6.058857,1.329388,2.058777,-0.242418,0.013438,0.208620
0.050000,1.417156,6.080371,1.431723,2.046696,-0.241612,0.016134,0.214734
0.050000,1.516500,6.102287,1.533456,2.034656,-0.240811,0.016009,0.219271
0.050000,1.615175,6.124444,1.634588,2.022649,-0.240128,0.013674,0.222236
0.050000,1.713218,6.146684,1.735122,2.010667,-0.239641,0.009720,0.223632
0.050000,1.810663,6.168851,1.835056,1.998697,-0.239405,0.004721,0.223462
0.050000,1.907546,6.190793,1.934393,1.986725,-0.239444,-0.000768,0.221724
0.050000,2.003898,6.212360,2.033129,1.974737,-0.239754,-0.006199,0.218417
0.050000,2.099752,6.233404,2.131266,1.962722,-0.240305,-0.011020,0.213537
0.050000,2.195134,6.253778,2.228799,1.950670,-0.241039,-0.014674,0.207080
0.050000,2.290068,6.273338,2.325728,1.938577,-0.241868,-0.016582,0.199040
0.050000,2.384577,6.291942,2.422050,1.926443,-0.242675,-0.016149,0.189412
0.050000,2.478676,6.309449,2.517764,1.914277,-0.243313,-0.012759,0.178191
0.050000,2.572379,6.325719,2.612869,1.902097,-0.243602,-0.005787,0.165377
0.050000,2.665693,6.340617,2.707365,1.889930,-0.243333,0.005379,0.150970
0.050000,2.758624,6.354008,2.801256,1.877817,-0.242268,0.021313,0.134978
0.050000,2.851171,6.365762,2.894547,1.865810,-0.240143,0.042498,0.117415
0.050000,2.943330,6.375754,2.987245,1.853976,-0.236679,0.069276,0.098303
0.050000,3.035092,6.383862,3.079365,1.842396,-0.231590,0.101775,0.077675
0.050000,3.126447,6.389969,3.170923,1.831166,-0.224599,0.139831,0.055579
0.050000,3.217379,6.393968,3.261943,1.820394,-0.215453,0.182915,0.032072
0.050000,3.307871,6.395758,3.352453,1.810196,-0.203949,0.230071,0.007232
0.050000,3.390591,6.394788,3.435178,1.654509,-3.113750,-58.196016,6.245263
0.050000,3.467330,6.389632,3.512091,1.538258,-2.325015,15.774704,6.184848
0.050000,3.539580,6.380003,3.584980,1.457768,-1.609802,14.304263,6.113906
0.050000,3.606186,6.365851,3.653073,1.361857,-1.918213,-6.168231,6.030420
0.050000,3.665988,6.347372,3.715665,1.251847,-2.200204,-5.639810,5.932547
0.050000,3.718126,6.325021,3.772391,1.134524,-2.346455,-2.925011,5.819329
0.050000,3.762465,6.299308,3.823647,1.025111,-2.188274,3.163617,5.691800
0.050000,3.799889,6.270322,3.870983,0.946732,-1.567563,12.414223,5.554018
0.050000,3.831138,6.238289,3.915734,0.895016,-1.034324,10.664780,5.417050
0.050000,3.857174,6.203396,3.959270,0.870718,-0.485966,10.967156,5.292173
0.050000,3.879091,6.165458,4.003083,0.876269,0.111027,11.939845,5.183406
0.050000,3.897322,6.125026,4.047436,0.887056,0.215731,2.094089,5.091436
0.050000,3.912110,6.083174,4.091823,0.887735,0.013581,-4.042993,5.014943
0.050000,3.923747,6.041144,4.135434,0.872227,-0.310150,-6.474626,4.951812
0.050000,3.932618,6.000091,4.177436,0.840022,-0.644103,-6.679069,4.899859
0.050000,3.939156,5.960981,4.217088,0.793043,-0.939576,-5.909450,4.857153
0.050000,3.943801,5.924582,4.253782,0.733888,-1.183111,-4.870693,4.822100
0.050000,3.946960,5.891480,4.287035,0.665049,-1.376771,-3.873206,4.793436
0.050000,3.948997,5.862118,4.316468,0.588660,-1.527788,-3.020336,4.770170
0.050000,3.950222,5.836824,4.341790,0.506458,-1.644032,-2.324886,4.751544
0.050000,3.950889,5.815843,4.362782,0.419840,-1.732367,-1.766709,4.736980
0.050000,3.951204,5.799350,4.379279,0.329928,-1.798243,-1.317514,4.726046
0.050000,3.951321,5.787468,4.391161,0.237640,-1.845751,-0.950164,4.718431
0.050000,3.951348,5.780281,4.398348,0.143750,-1.877816,-0.641296,4.713926
0.050000,3.951350,5.777834,4.400795,0.048930,-1.896383,-0.371344,4.712410
0.050000,3.951350,5.777800,4.400829,0.000684,-0.964930,18.629059,4.712389
0.050000,3.951350,5.777800,4.400829,0.000000,-0.013676,19.025079,4.712389
