dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002351,6.645856,0.002632,0.105263,2.105263,42.105263,0.000670
0.050000,0.009497,6.645868,0.009778,0.142933,0.753396,-27.037335,0.002703
0.050000,0.021415,6.645920,0.021696,0.238347,1.908276,23.097583,0.006074
0.050000,0.038112,6.646061,0.038393,0.333951,1.912086,0.076218,0.010756
0.050000,0.059601,6.646356,0.059885,0.429828,1.917532,0.108920,0.016714
0.050000,0.085899,6.646890,0.086188,0.526063,1.924716,0.143670,0.023898
0.050000,0.117024,6.647765,0.117325,0.622751,1.933757,0.180818,0.032247
0.050000,0.152999,6.649096,0.153325,0.719991,1.944784,0.220539,0.041686
0.050000,0.193848,6.651014,0.194219,0.817887,1.957924,0.262806,0.052125
0.050000,0.239599,6.653663,0.240047,0.916551,1.973293,0.307369,0.063461
0.050000,0.290281,6.657194,0.290852,1.016100,1.990980,0.353748,0.075573
0.050000,0.345926,6.661767,0.346684,1.116652,2.011043,0.401256,0.088325
0.050000,0.406568,6.667546,0.407601,1.218327,2.033494,0.449033,0.101564
0.050000,0.472242,6.674693,0.473663,1.321242,2.058300,0.496121,0.115121
0.050000,0.542988,6.683371,0.544938,1.425511,2.085378,0.541551,0.128814
0.050000,0.618846,6.693730,0.621500,1.531241,2.114601,0.584458,0.142443
0.050000,0.699862,6.705910,0.703427,1.638532,2.145811,0.624201,0.155797
0.050000,0.786087,6.720033,0.790801,1.747473,2.178834,0.660471,0.168651
0.050000,0.877578,6.736194,0.883708,1.858149,2.213504,0.693383,0.180770
0.050000,0.971913,6.753980,0.979706,1.919950,1.236023,-19.549604,0.191644
0.050000,1.066639,6.772829,1.076289,1.931667,0.234352,-20.033433,0.200926
0.050000,1.161774,6.792600,1.173457,1.943352,0.233688,-0.013286,0.208620
0.050000,1.257339,6.813150,1.271206,1.954996,0.232893,-0.015881,0.214734
0.050000,1.353360,6.834334,1.369536,1.966602,0.232106,-0.015757,0.219271
0.050000,1.449866,6.856004,1.468445,1.978173,0.231430,-0.013503,0.222236
0.050000,1.546887,6.878013,1.567931,1.989721,0.230946,-0.009691,0.223632
0.050000,1.644457,6.900208,1.667994,2.001256,0.230702,-0.004871,0.223462
0.050000,1.742611,6.922438,1.768634,2.012792,0.230723,0.000419,0.221724
0.050000,1.841384,6.944546,1.869851,2.024342,0.231006,0.005651,0.218417
0.050000,1.940812,6.966374,1.971647,2.035918,0.231521,0.010295,0.213537
0.050000,2.040930,6.987759,2.074023,2.047529,0.232211,0.013812,0.207080
