dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002844,5.909746,0.002632,0.105263,2.105263,42.105263,0.000670
0.050000,0.011487,5.909761,0.011274,0.172856,1.351866,-15.067950,0.002703
0.050000,0.025885,5.909824,0.025673,0.287969,2.302247,19.007624,0.006074
0.050000,0.046029,5.909993,0.045817,0.402890,2.298431,-0.076310,0.010756
0.050000,0.071904,5.910349,0.071694,0.517539,2.292979,-0.109041,0.016714
0.050000,0.103489,5.910991,0.103286,0.631829,2.285789,-0.143814,0.023898
0.050000,0.140757,5.912038,0.140569,0.745666,2.276740,-0.180976,0.032247
0.050000,0.183675,5.913625,0.183517,0.858951,2.265705,-0.220700,0.041686
0.050000,0.232201,5.915904,0.232096,0.971579,2.252557,-0.262957,0.052125
0.050000,0.286282,5.919035,0.286267,1.083438,2.237182,-0.307496,0.063461
0.050000,0.345858,5.923185,0.345988,1.194412,2.219490,-0.353837,0.075573
0.050000,0.410859,5.928526,0.411207,1.304384,2.199426,-0.401291,0.088325
0.050000,0.481202,5.935229,0.481869,1.413233,2.176976,-0.449003,0.101564
0.050000,0.556797,5.943456,0.557911,1.520841,2.152175,-0.496015,0.115121
0.050000,0.637547,5.953360,0.639266,1.627097,2.125107,-0.541363,0.128814
0.050000,0.723345,5.965076,0.725860,1.731891,2.095897,-0.584190,0.142443
0.050000,0.814082,5.978716,0.817617,1.835127,2.064704,-0.623859,0.155797
0.050000,0.909645,5.994367,0.914452,1.936712,2.031701,-0.660071,0.168651
0.050000,1.009921,6.012079,1.016280,2.036564,1.997053,-0.692950,0.180770
0.050000,1.112122,6.031346,1.120282,2.080031,0.869322,-22.554620,0.191644
0.050000,1.213549,6.051528,1.223698,2.068318,-0.234245,-22.071343,0.200926
0.050000,1.314230,6.072451,1.326530,2.056638,-0.233598,0.012943,0.208620
0.050000,1.414195,6.093947,1.428780,2.044997,-0.232821,0.015541,0.214734
0.050000,1.513478,6.115849,1.530449,2.033395,-0.232050,0.015420,0.219271
0.050000,1.612113,6.137997,1.631541,2.021825,-0.231391,0.013170,0.222236
0.050000,1.710136,6.160233,1.732055,2.010279,-0.230923,0.009361,0.223632
0.050000,1.807584,6.182401,1.831992,1.998744,-0.230696,0.004543,0.223462
0.050000,1.904490,6.204348,1.931352,1.987208,-0.230733,-0.000746,0.221724
0.050000,2.000888,6.225925,2.030135,1.975656,-0.231032,-0.005979,0.218417
0.050000,2.096807,6.246983,2.128339,1.964078,-0.231564,-0.010625,0.213537
