dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000638,-0.381950,0.000625,0.025000,0.500000,10.000000,0.000088
0.050000,0.003277,-0.381949,0.003264,0.052784,0.555673,1.113453,0.000452
0.050000,0.009220,-0.381944,0.009207,0.118854,1.321399,15.314526,0.001284
0.050000,0.019800,-0.381923,0.019787,0.211606,1.855055,10.673121,0.002803
0.050000,0.035708,-0.381859,0.035695,0.318164,2.131162,5.522145,0.005181
0.050000,0.056990,-0.381714,0.056978,0.425653,2.149762,0.372002,0.008539
0.050000,0.083710,-0.381426,0.083699,0.534424,2.175433,0.513407,0.013046
0.050000,0.115950,-0.380912,0.115943,0.644877,2.209062,0.672579,0.018920
0.050000,0.153814,-0.380055,0.153817,0.757475,2.251953,0.857835,0.026445
0.050000,0.197431,-0.378697,0.197456,0.872774,2.305984,1.080614,0.035972
0.050000,0.246961,-0.376622,0.247029,0.991465,2.373821,1.356739,0.047946
0.050000,0.302597,-0.373543,0.302750,1.114427,2.459226,1.708108,0.062926
0.050000,0.364576,-0.369067,0.364890,1.242800,2.567469,2.164855,0.081622
0.050000,0.433182,-0.362664,0.433795,1.378093,2.705858,2.767772,0.104940
0.050000,0.508758,-0.353613,0.509910,1.522310,2.884350,3.569851,0.134049
0.050000,0.591698,-0.340920,0.593816,1.678111,3.116020,4.633391,0.170468
0.050000,0.682432,-0.323204,0.686263,1.848944,3.416647,6.012532,0.216168
0.050000,0.781355,-0.298546,0.788214,2.039015,3.801420,7.695470,0.273675
0.050000,0.888652,-0.264281,0.900849,2.252708,4.273870,9.448999,0.346093
0.050000,1.003896,-0.216832,1.025478,2.492580,4.797440,10.471402,0.436869
0.050000,1.124499,-0.152259,1.162281,2.736053,4.869463,1.440463,0.548136
0.050000,1.244888,-0.067666,1.309418,2.942748,4.133885,-14.711570,0.678366
0.050000,1.357435,0.037053,1.463148,3.074595,2.636952,-29.938661,0.821017
0.050000,1.454539,0.157757,1.618063,3.098293,0.473962,-43.259793,0.965143
0.050000,1.532086,0.287896,1.769555,3.029839,-1.369085,-36.860943,1.100259
0.050000,1.590114,0.421543,1.915256,2.914029,-2.316204,-18.942379,1.220141
0.050000,1.631008,0.554538,2.054396,2.782795,-2.624672,-6.169349,1.322774
0.050000,1.657925,0.684705,2.187316,2.658409,-2.487724,2.738956,1.409073
0.050000,1.673800,0.811254,2.314858,2.550825,-2.151683,6.720808,1.481252
0.050000,1.681006,0.934139,2.437954,2.461928,-1.777929,7.475079,1.541771
0.050000,1.681950,1.045172,2.548991,2.220744,-4.823697,-60.915358,1.570796
0.050000,1.681950,1.145172,2.648991,2.000000,-4.414871,8.176519,1.570796
0.050000,1.681950,1.245172,2.748991,2.000000,-0.000000,88.297428,1.570796
0.050000,1.681950,1.345172,2.848991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,1.445172,2.948991,2.000000,0.000000,-0.000000,1.570796
0.050000,1.681950,1.545172,3.048991,2.000000,0.000000,-0.000000,1.570796
0.050000,1.681950,1.645172,3.148991,2.000000,-0.000000,-0.000000,1.570796
0.050000,1.681950,1.745172,3.248991,2.000000,-0.000000,0.000000,1.570796
0.050000,1.681950,1.845172,3.348991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,1.945172,3.448991,2.000000,-0.000000,-0.000000,1.570796
0.050000,1.681950,2.045172,3.548991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,2.145172,3.648991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,2.245172,3.748991,2.000000,0.000000,-0.000000,1.570796
0.050000,1.681950,2.345172,3.848991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,2.445172,3.948991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,2.545172,4.048991,2.000000,-0.000000,-0.000000,1.570796
0.050000,1.681950,2.645172,4.148991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,2.745172,4.248991,2.000000,0.000000,-0.000000,1.570796
0.050000,1.681950,2.845172,4.348991,2.000000,-0.000000,-0.000000,1.570796
0.050000,1.681950,2.945172,4.448991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,3.045172,4.548991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,3.145172,4.648991,2.000000,-0.000000,-0.000000,1.570796
0.050000,1.681950,3.245172,4.748991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,3.345172,4.848991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,3.445172,4.948991,2.000000,0.000000,-0.000000,1.570796
0.050000,1.681950,3.545172,5.048991,2.000000,-0.000000,-0.000000,1.570796
0.050000,1.681950,3.645172,5.148991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,3.745172,5.248991,2.000000,0.000000,-0.000000,1.570796
0.050000,1.681950,3.845172,5.348991,2.000000,-0.000000,-0.000000,1.570796
0.050000,1.681950,3.945172,5.448991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,4.045172,5.548991,2.000000,0.000000,-0.000000,1.570796
0.050000,1.681950,4.145172,5.648991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,4.245172,5.748991,2.000000,-0.000000,-0.000000,1.570796
0.050000,1.681950,4.345172,5.848991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,4.445172,5.948991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,4.545172,6.048991,2.000000,-0.000000,-0.000000,1.570796
0.050000,1.681950,4.645172,6.148991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,4.745172,6.248991,2.000000,-0.000000,-0.000000,1.570796
0.050000,1.681950,4.845172,6.348991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,4.945172,6.448991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,5.045172,6.548991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,5.145172,6.648991,2.000000,-0.000000,-0.000000,1.570796
0.050000,1.681950,5.245172,6.748991,2.000000,0.000000,0.000000,1.570796
0.050000,1.681950,5.345172,6.848991,2.000000,-0.000000,-0.000000,1.570796
0.050000,1.682315,5.437621,6.941440,1.848979,-3.020412,-60.408236,1.551078
