dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000783,0.381950,0.000625,0.025000,0.500000,10.000000,6.282703
0.050000,0.004049,0.381945,0.003891,0.065319,0.806383,6.127663,6.280698
0.050000,0.011379,0.381910,0.011221,0.146602,1.625649,16.385324,6.276234
0.050000,0.024347,0.381770,0.024190,0.259388,2.255737,12.601750,6.268459
0.050000,0.043652,0.381376,0.043499,0.386181,2.535845,5.602156,6.257177
0.050000,0.069122,0.380529,0.068983,0.509669,2.469773,-1.321438,6.242820
0.050000,0.100536,0.378992,0.100435,0.629042,2.387451,-1.646439,6.225927
0.050000,0.137639,0.376511,0.137621,0.743710,2.293366,-1.881701,6.207113
0.050000,0.180147,0.372836,0.180287,0.853331,2.192420,-2.018913,6.187039
0.050000,0.227765,0.367739,0.228177,0.957801,2.089395,-2.060501,6.166379
0.050000,0.280198,0.361028,0.281038,1.057220,1.988391,-2.020080,6.145795
0.050000,0.337164,0.352561,0.338630,1.151838,1.892353,-1.920763,6.125916
0.050000,0.398401,0.342251,0.400729,1.241976,1.802761,-1.791844,6.107328
0.050000,0.463672,0.330070,0.467126,1.327951,1.719503,-1.665158,6.090576
0.050000,0.532765,0.316058,0.537626,1.409995,1.640884,-1.572375,6.076176
0.050000,0.605491,0.300322,0.612035,1.488179,1.563669,-1.544292,6.064631
0.050000,0.681674,0.283048,0.690152,1.562331,1.483042,-1.612547,6.056471
0.050000,0.761138,0.264511,0.771749,1.631948,1.392335,-1.814138,6.052289
0.050000,0.843687,0.245090,0.856552,1.696066,1.282372,-2.199275,6.052804
0.050000,0.929076,0.225293,0.944206,1.753075,1.140168,-2.844074,6.058946
0.050000,1.016389,0.205917,1.033643,1.788738,0.713267,-8.538013,6.071873
0.050000,1.104049,0.188006,1.123114,1.789418,0.013599,-13.993361,6.092890
0.050000,1.190364,0.172662,1.210782,1.753362,-0.721115,-14.694275,6.123531
0.050000,1.273459,0.160965,1.294697,1.678302,-1.501215,-15.602016,6.165628
0.050000,1.351710,0.153810,1.373274,1.571531,-2.135414,-12.683981,6.221691
0.050000,1.423555,0.151872,1.445145,1.437427,-2.682080,-10.933305,0.012108
0.050000,1.486971,0.155470,1.508664,1.270372,-3.341096,-13.180323,0.107559
0.050000,1.539878,0.164225,1.562289,1.072510,-3.957237,-12.322832,0.228888
0.050000,1.581301,0.176952,1.605624,0.866690,-4.116398,-3.183205,0.377143
0.050000,1.613024,0.192598,1.640995,0.707427,-3.185260,18.622759,0.546239
0.050000,1.639634,0.212189,1.674039,0.660879,-0.930978,45.085641,0.721428
0.050000,1.665473,0.239196,1.711416,0.747536,1.733158,53.282721,0.885274
0.050000,1.691840,0.276896,1.757421,0.920112,3.451507,34.366977,1.026540
0.050000,1.717648,0.326162,1.813038,1.112338,3.844524,7.860344,1.142660
0.050000,1.741379,0.385809,1.877233,1.283894,3.431125,-8.267996,1.236342
0.050000,1.762046,0.453870,1.948363,1.422591,2.773940,-13.143686,1.311885
0.050000,1.779256,0.528427,2.024880,1.530345,2.155070,-12.377396,1.373335
0.050000,1.792995,0.607908,2.105539,1.613184,1.656776,-9.965889,1.423949
0.050000,1.803449,0.691108,2.189394,1.677101,1.278358,-7.568356,1.466203
0.050000,1.810880,0.777134,2.275740,1.726920,0.996374,-5.639677,1.501939
0.050000,1.815570,0.865322,2.364052,1.766244,0.786469,-4.198115,1.532530
0.050000,1.817789,0.955179,2.453937,1.797697,0.629071,-3.147946,1.559006
0.050000,1.818050,1.050647,2.549406,1.909371,2.233467,32.087913,1.570796
0.050000,1.818050,1.150647,2.649406,2.000000,1.812589,-8.417553,1.570796
0.050000,1.818050,1.250647,2.749406,2.000000,0.000000,-36.251786,1.570796
0.050000,1.818050,1.350647,2.849406,2.000000,0.000000,-0.000000,1.570796
0.050000,1.818050,1.450647,2.949406,2.000000,-0.000000,-0.000000,1.570796
0.050000,1.818050,1.550647,3.049406,2.000000,0.000000,0.000000,1.570796
0.050000,1.818050,1.650647,3.149406,2.000000,0.000000,0.000000,1.570796
0.050000,1.818050,1.750647,3.249406,2.000000,0.000000,-0.000000,1.570796
0.050000,1.818050,1.850647,3.349406,2.000000,-0.000000,-0.000000,1.570796
0.050000,1.818050,1.950647,3.449406,2.000000,0.000000,0.000000,1.570796
0.050000,1.818050,2.050647,3.549406,2.000000,-0.000000,-0.000000,1.570796
0.050000,1.818050,2.150647,3.649406,2.000000,-0.000000,-0.000000,1.570796
0.050000,1.818050,2.250647,3.749406,2.000000,0.000000,0.000000,1.570796
0.050000,1.818050,2.350647,3.849406,2.000000,0.000000,-0.000000,1.570796
0.050000,1.818050,2.450647,3.949406,2.000000,0.000000,0.000000,1.570796
0.050000,1.818050,2.550647,4.049406,2.000000,0.000000,-0.000000,1.570796
0.050000,1.818050,2.650647,4.149406,2.000000,-0.000000,-0.000000,1.570796
0.050000,1.818050,2.750647,4.249406,2.000000,0.000000,0.000000,1.570796
0.050000,1.818050,2.850647,4.349406,2.000000,-0.000000,-0.000000,1.570796
0.050000,1.818050,2.950647,4.449406,2.000000,0.000000,0.000000,1.570796
0.050000,1.818050,3.050647,4.549406,2.000000,0.000000,0.000000,1.570796
0.050000,1.818050,3.150647,4.649406,2.000000,0.000000,-0.000000,1.570796
0.050000,1.818050,3.250647,4.749406,2.000000,0.000000,0.000000,1.570796
0.050000,1.818050,3.350647,4.849406,2.000000,0.000000,0.000000,1.570796
0.050000,1.818050,3.450647,4.949406,2.000000,0.000000,0.000000,1.570796
0.050000,1.818050,3.550647,5.049406,2.000000,-0.000000,-0.000000,1.570796
0.050000,1.818050,3.650647,5.149406,2.000000,0.000000,0.000000,1.570796
0.050000,1.818050,3.750537,5.249296,1.997799,-0.044018,-0.880369,1.571016
0.050000,1.816460,3.836191,5.334964,1.713361,-5.688760,-112.894832,1.608526
0.050000,1.811571,3.919946,5.418862,1.677963,-0.707962,99.615961,1.650667
0.050000,1.803153,4.001353,5.500703,1.636816,-0.822934,-2.299436,1.698190
0.050000,1.790998,4.079880,5.580165,1.589237,-0.951582,-2.572955,1.751937
0.050000,1.774944,4.154923,5.656906,1.534823,-1.088275,-2.733872,1.812801
