dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000633,0.381950,0.000625,0.025000,0.500000,10.000000,6.283076
0.050000,0.003309,0.381949,0.003301,0.053528,0.570554,1.411090,6.282614
0.050000,0.009330,0.381942,0.009322,0.120420,1.337847,15.345849,6.281577
0.050000,0.020031,0.381915,0.020023,0.214021,1.872015,10.683356,6.279742
0.050000,0.036076,0.381838,0.036068,0.320888,2.137350,5.306697,6.277008
0.050000,0.057454,0.381668,0.057447,0.427583,2.133890,-0.069198,6.273397
0.050000,0.084154,0.381347,0.084149,0.534044,2.129229,-0.093213,6.268940
0.050000,0.116160,0.380806,0.116160,0.640211,2.123331,-0.117957,6.263676
0.050000,0.153452,0.379966,0.153461,0.746019,2.116156,-0.143511,6.257652
0.050000,0.196004,0.378735,0.196031,0.851402,2.107661,-0.169896,6.250923
0.050000,0.243788,0.377016,0.243845,0.956292,2.097808,-0.197063,6.243553
0.050000,0.296768,0.374703,0.296876,1.060620,2.086563,-0.224897,6.235617
0.050000,0.354906,0.371689,0.355092,1.164315,2.073902,-0.253217,6.227198
0.050000,0.418156,0.367862,0.418457,1.267306,2.059813,-0.281787,6.218386
0.050000,0.486467,0.363115,0.486933,1.369521,2.044296,-0.310332,6.209285
0.050000,0.559784,0.357341,0.560478,1.470889,2.027368,-0.338560,6.200004
0.050000,0.638048,0.350444,0.639045,1.571342,2.009059,-0.366188,6.190664
0.050000,0.721194,0.342336,0.722586,1.670813,1.989410,-0.392975,6.181394
0.050000,0.809156,0.332942,0.811047,1.769236,1.968472,-0.418750,6.172329
0.050000,0.901864,0.322207,0.904375,1.866551,1.946300,-0.443446,6.163617
0.050000,0.998609,0.310175,1.001866,1.949811,1.665203,-5.621949,6.155459
0.050000,1.098060,0.297021,1.102182,2.006337,1.130522,-10.693615,6.148083
0.050000,1.198913,0.282973,1.204009,2.036522,0.603702,-10.536397,6.141666
0.050000,1.299892,0.268302,1.306048,2.040784,0.085237,-10.369303,6.136326
0.050000,1.400376,0.253212,1.407659,2.032225,-0.171182,-5.128385,6.132108
0.050000,1.500382,0.237819,1.508843,2.023680,-0.170905,0.005546,6.129008
0.050000,1.599928,0.222238,1.609600,2.015146,-0.170672,0.004669,6.127025
0.050000,1.699030,0.206582,1.709931,2.006621,-0.170510,0.003230,6.126158
0.050000,1.797706,0.190962,1.809836,1.998099,-0.170438,0.001432,6.126407
0.050000,1.895974,0.175487,1.909315,1.989576,-0.170465,-0.000522,6.127771
0.050000,1.993850,0.160267,2.008367,1.981046,-0.170586,-0.002432,6.130253
0.050000,2.091350,0.145409,2.106993,1.972507,-0.170791,-0.004095,6.133851
0.050000,2.188487,0.131019,2.205190,1.963954,-0.171056,-0.005310,6.138570
0.050000,2.285275,0.117203,2.302960,1.955387,-0.171350,-0.005869,6.144410
0.050000,2.381725,0.104064,2.400300,1.946805,-0.171628,-0.005563,6.151373
0.050000,2.477844,0.091706,2.497211,1.938213,-0.171837,-0.004179,6.159460
0.050000,2.573640,0.080231,2.593692,1.929618,-0.171912,-0.001503,6.168673
0.050000,2.669117,0.069740,2.689743,1.921029,-0.171778,0.002677,6.179010
0.050000,2.764276,0.060333,2.785366,1.912461,-0.171350,0.008564,6.190468
0.050000,2.859117,0.052106,2.880563,1.903935,-0.170533,0.016345,6.203042
0.050000,2.953635,0.045156,2.975337,1.895473,-0.169224,0.026178,6.216723
0.050000,3.047826,0.039576,3.069692,1.887108,-0.167315,0.038182,6.231499
0.050000,3.141679,0.035457,3.163636,1.878873,-0.164694,0.052420,6.247353
0.050000,3.235184,0.032888,3.257176,1.870811,-0.161250,0.068881,6.264262
0.050000,3.328328,0.031952,3.350324,1.862967,-0.156876,0.087465,6.282198
0.050000,3.427936,0.031950,3.449933,1.992173,2.584117,54.819862,0.000000
0.050000,3.527936,0.031950,3.549933,2.000000,0.156549,-48.551344,0.000000
0.050000,3.627936,0.031950,3.649933,2.000000,-0.000000,-3.130988,0.000000
0.050000,3.727936,0.031950,3.749933,2.000000,0.000000,0.000000,0.000000
0.050000,3.827936,0.031950,3.849933,2.000000,0.000000,0.000000,0.000000
0.050000,3.927936,0.031950,3.949933,2.000000,-0.000000,-0.000000,0.000000
0.050000,4.027936,0.031950,4.049933,2.000000,0.000000,0.000000,0.000000
0.050000,4.127936,0.031950,4.149933,2.000000,0.000000,0.000000,0.000000
0.050000,4.227936,0.031950,4.249933,2.000000,0.000000,-0.000000,0.000000
0.050000,4.327936,0.031950,4.349933,2.000000,0.000000,-0.000000,0.000000
0.050000,4.427936,0.031950,4.449933,2.000000,0.000000,0.000000,0.000000
0.050000,4.527936,0.031950,4.549933,2.000000,-0.000000,-0.000000,0.000000
0.050000,4.627936,0.031950,4.649933,2.000000,0.000000,0.000000,0.000000
0.050000,4.727936,0.031950,4.749933,2.000000,-0.000000,-0.000000,0.000000
0.050000,4.815753,0.033039,4.837757,1.756473,-4.870549,-97.410979,0.031822
0.050000,4.897982,0.037481,4.920105,1.646965,-2.190156,53.607859,0.078018
