dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000550,-0.381950,0.000625,0.025000,0.500000,10.000000,6.283076
0.050000,0.002873,-0.381951,0.002949,0.046472,0.429446,-1.411090,6.282614
0.050000,0.008102,-0.381957,0.008178,0.104580,1.162153,14.654147,6.281577
0.050000,0.017401,-0.381980,0.017477,0.185979,1.627984,9.316629,6.279742
0.050000,0.031356,-0.382047,0.031432,0.279112,1.862648,4.693269,6.277008
0.050000,0.049977,-0.382196,0.050053,0.372417,1.866105,0.069152,6.273397
0.050000,0.073273,-0.382476,0.073351,0.465955,1.870763,0.093155,6.268940
0.050000,0.101258,-0.382949,0.101340,0.559788,1.876658,0.117891,6.263676
0.050000,0.133949,-0.383685,0.134039,0.653979,1.883830,0.143442,6.257652
0.050000,0.171363,-0.384767,0.171469,0.748595,1.892321,0.169828,6.250923
0.050000,0.213521,-0.386284,0.213654,0.843704,1.902171,0.197002,6.243553
0.050000,0.260445,-0.388333,0.260623,0.939375,1.913414,0.224848,6.235617
0.050000,0.312159,-0.391014,0.312407,1.035678,1.926073,0.253187,6.227198
0.050000,0.368690,-0.394434,0.369041,1.132686,1.940162,0.281781,6.218386
0.050000,0.430066,-0.398700,0.430565,1.230470,1.955680,0.310354,6.209285
0.050000,0.496316,-0.403917,0.497020,1.329101,1.972610,0.338614,6.200004
0.050000,0.567472,-0.410189,0.568452,1.428647,1.990924,0.366275,6.190664
0.050000,0.643570,-0.417610,0.644911,1.529176,2.010579,0.393095,6.181394
0.050000,0.724647,-0.426269,0.726448,1.630752,2.031524,0.418900,6.172329
0.050000,0.810743,-0.436239,0.813120,1.733437,2.053705,0.443619,6.163617
0.050000,0.901304,-0.447502,0.904379,1.825178,1.834816,-4.377784,6.155459
0.050000,0.995169,-0.459918,0.999062,1.893654,1.369511,-9.306102,6.148083
0.050000,1.091166,-0.473290,1.095985,1.938471,0.896338,-9.463447,6.141666
0.050000,1.188109,-0.487375,1.193946,1.959211,0.414804,-9.630676,6.136326
0.050000,1.285406,-0.501987,1.292334,1.967772,0.171218,-4.871729,6.132108
0.050000,1.383072,-0.517020,1.391150,1.976318,0.170932,-0.005714,6.129008
0.050000,1.481121,-0.532366,1.490393,1.984853,0.170690,-0.004836,6.127025
0.050000,1.579569,-0.547919,1.590062,1.993379,0.170521,-0.003396,6.126158
0.050000,1.678433,-0.563569,1.690157,2.001901,0.170441,-0.001598,6.126407
0.050000,1.777730,-0.579206,1.790678,2.010424,0.170459,0.000356,6.127771
0.050000,1.877479,-0.594717,1.891626,2.018953,0.170572,0.002265,6.130253
0.050000,1.977697,-0.609989,1.993000,2.027491,0.170768,0.003928,6.133851
0.050000,2.078400,-0.624907,2.094803,2.036042,0.171025,0.005142,6.138570
0.050000,2.179605,-0.639353,2.197033,2.044608,0.171310,0.005701,6.144410
0.050000,2.281325,-0.653209,2.299692,2.053187,0.171580,0.005394,6.151373
0.050000,2.383572,-0.666354,2.402781,2.061776,0.171781,0.004010,6.159460
0.050000,2.486356,-0.678665,2.506299,2.070368,0.171847,0.001334,6.168673
0.050000,2.589681,-0.690018,2.610247,2.078953,0.171705,-0.002845,6.179010
0.050000,2.693551,-0.700286,2.714623,2.087517,0.171269,-0.008729,6.190468
0.050000,2.797961,-0.709342,2.819425,2.096039,0.170443,-0.016504,6.203042
0.050000,2.902902,-0.717058,2.924650,2.104495,0.169127,-0.026329,6.216723
0.050000,3.008360,-0.723304,3.030293,2.112856,0.167211,-0.038321,6.231499
0.050000,3.114313,-0.727952,3.136347,2.121085,0.164584,-0.052544,6.247353
0.050000,3.220730,-0.730875,3.242804,2.129142,0.161134,-0.068985,6.264262
0.050000,3.327573,-0.731947,3.349653,2.136980,0.156757,-0.087545,6.282198
0.050000,3.427936,-0.731950,3.450016,2.007263,-2.594338,-55.021915,0.000000
0.050000,3.527936,-0.731950,3.550016,2.000000,-0.145255,48.981667,0.000000
0.050000,3.627936,-0.731950,3.650016,2.000000,-0.000000,2.905103,0.000000
0.050000,3.727936,-0.731950,3.750016,2.000000,0.000000,0.000000,0.000000
0.050000,3.827936,-0.731950,3.850016,2.000000,0.000000,0.000000,0.000000
0.050000,3.927936,-0.731950,3.950016,2.000000,-0.000000,-0.000000,0.000000
0.050000,4.027936,-0.731950,4.050016,2.000000,0.000000,0.000000,0.000000
0.050000,4.127936,-0.731950,4.150016,2.000000,0.000000,0.000000,0.000000
0.050000,4.227936,-0.731950,4.250016,2.000000,0.000000,-0.000000,0.000000
0.050000,4.327936,-0.731950,4.350016,2.000000,0.000000,-0.000000,0.000000
0.050000,4.427936,-0.731950,4.450016,2.000000,0.000000,0.000000,0.000000
0.050000,4.527936,-0.731950,4.550016,2.000000,-0.000000,-0.000000,0.000000
0.050000,4.627936,-0.731950,4.650016,2.000000,0.000000,0.000000,0.000000
0.050000,4.727936,-0.731950,4.750016,2.000000,-0.000000,-0.000000,0.000000
0.050000,4.840058,-0.730474,4.862148,2.242631,4.852622,97.052447,0.031822
0.050000,4.957519,-0.724095,4.979782,2.352680,2.200976,-53.032921,0.078018
0.050000,5.078525,-0.711268,5.101465,2.433669,1.619777,-11.623992,0.134831
0.050000,5.203509,-0.689949,5.228254,2.535789,2.042409,8.452641,0.205038
0.050000,5.332617,-0.657347,5.361415,2.663219,2.548603,10.123895,0.291968
0.050000,5.465183,-0.609822,5.502243,2.816548,3.066582,10.359578,0.399036
0.050000,5.598803,-0.543211,5.651545,2.986045,3.389931,6.466979,0.528390
0.050000,5.728285,-0.454163,5.808692,3.142944,3.137977,-5.039084,0.678396
0.050000,5.845776,-0.342615,5.970702,3.240196,1.945034,-23.858853,0.841216
0.050000,5.943494,-0.213518,6.132612,3.238196,-0.039997,-39.700626,1.003773
0.050000,6.017546,-0.075123,6.289573,3.139219,-1.979544,-38.790950,1.153288
0.050000,6.068960,0.064995,6.438826,2.985072,-3.082941,-22.067930,1.282514
0.050000,6.101561,0.202253,6.579903,2.821532,-3.270798,-3.757137,1.390237
0.050000,6.119592,0.334794,6.713664,2.675227,-2.926088,6.894191,1.478743
0.050000,6.126588,0.462332,6.841394,2.554590,-2.412737,10.267013,1.551417
0.050000,6.126950,0.569691,6.948754,2.147207,-8.147667,-114.698585,1.570796
0.050000,6.126950,0.669691,7.048754,2.000000,-2.944141,104.070517,1.570796
0.050000,6.126950,0.769691,7.148754,2.000000,-0.000000,58.882817,1.570796
0.050000,6.126950,0.869691,7.248754,2.000000,0.000000,0.000000,1.570796
0.050000,6.126950,0.969691,7.348754,2.000000,-0.000000,-0.000000,1.570796
0.050000,6.126950,1.069691,7.448754,2.000000,-0.000000,-0.000000,1.570796
0.050000,6.126950,1.169691,7.548754,2.000000,-0.000000,0.000000,1.570796
0.050000,6.126950,1.269691,7.648754,2.000000,0.000000,0.000000,1.570796
0.050000,6.126950,1.369691,7.748754,2.000000,0.000000,-0.000000,1.570796
0.050000,6.126950,1.469691,7.848754,2.000000,0.000000,0.000000,1.570796
0.050000,6.126950,1.569691,7.948754,2.000000,-0.000000,-0.000000,1.570796
0.050000,6.126950,1.669691,8.048754,2.000000,0.000000,0.000000,1.570796
0.050000,6.126950,1.769691,8.148754,2.000000,-0.000000,-0.000000,1.570796
0.050000,6.126950,1.869691,8.248754,2.000000,0.000000,0.000000,1.570796
0.050000,6.126950,1.969691,8.348754,2.000000,-0.000000,-0.000000,1.570796
0.050000,6.126950,2.069691,8.448754,2.000000,0.000000,0.000000,1.570796
0.050000,6.126950,2.169691,8.548754,2.000000,-0.000000,-0.000000,1.570796
0.050000,6.126950,2.269691,8.648754,2.000000,0.000000,0.000000,1.570796
0.050000,6.126950,2.369691,8.748754,2.000000,0.000000,-0.000000,1.570796
0.050000,6.126950,2.469691,8.848754,2.000000,-0.000000,-0.000000,1.570796
0.050000,6.126950,2.569691,8.948754,2.000000,0.000000,0.000000,1.570796
0.050000,6.126950,2.669691,9.048754,2.000000,0.000000,-0.000000,1.570796
0.050000,6.126950,2.769691,9.148754,2.000000,0.000000,-0.000000,1.570796
0.050000,6.126950,2.869691,9.248754,2.000000,0.000000,0.000000,1.570796
0.050000,6.126950,2.969691,9.348754,2.000000,0.000000,0.000000,1.570796
0.050000,6.126950,3.069691,9.448754,2.000000,-0.000000,-0.000000,1.570796
0.050000,6.126950,3.169691,9.548754,2.000000,0.000000,0.000000,1.570796
0.050000,6.126950,3.269691,9.648754,2.000000,0.000000,-0.000000,1.570796
0.050000,6.126950,3.369691,9.748754,2.000000,0.000000,0.000000,1.570796
0.050000,6.126950,3.469691,9.848754,2.000000,0.000000,0.000000,1.570796
0.050000,6.126950,3.569691,9.948754,2.000000,-0.000000,-0.000000,1.570796
0.050000,6.126950,3.669691,10.048754,2.000000,0.000000,0.000000,1.570796
0.050000,6.126950,3.769691,10.148754,2.000000,0.000000,-0.000000,1.570796
0.050000,6.126950,3.869691,10.248754,2.000000,0.000000,0.000000,1.570796
0.050000,6.126950,3.969691,10.348754,2.000000,0.000000,0.000000,1.570796
0.050000,6.126950,4.069691,10.448754,2.000000,0.000000,0.000000,1.570796
0.050000,6.126950,4.169691,10.548754,2.000000,-0.000000,-0.000000,1.570796
0.050000,6.126950,4.269691,10.648754,2.000000,0.000000,0.000000,1.570796
0.050000,6.126950,4.369691,10.748754,2.000000,0.000000,0.000000,1.570796
0.050000,6.126950,4.469691,10.848754,2.000000,0.000000,-0.000000,1.570796
0.050000,6.127874,4.557024,10.936092,1.746751,-5.064973,-101.299468,1.537711
0.050000,6.132570,4.636260,11.015467,1.587498,-3.185069,37.598084,1.483736
0.050000,6.141468,4.711629,11.091359,1.517847,-1.393022,35.840944,1.420652
