dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.500563,1.270850,0.000579,0.023166,0.463328,9.266559,0.000000
0.050000,5.502880,1.270850,0.002896,0.046333,0.463328,-0.000000,0.000000
0.050000,5.508092,1.270850,0.008108,0.104249,1.158320,13.899839,0.000000
0.050000,5.517359,1.270850,0.017375,0.185331,1.621648,9.266559,0.000000
0.050000,5.531838,1.270850,0.031854,0.289580,2.084976,9.266559,0.000000
0.050000,5.552688,1.270850,0.052704,0.416995,2.548304,9.266559,0.000000
0.050000,5.581066,1.270850,0.081082,0.567577,3.011632,9.266559,0.000000
0.050000,5.618133,1.270850,0.118149,0.741325,3.474960,9.266559,0.000000
0.050000,5.664465,1.270850,0.164481,0.926656,3.706624,4.633280,0.000000
0.050000,5.720065,1.270850,0.220081,1.111987,3.706624,-0.000000,0.000000
0.050000,5.784352,1.270850,0.284368,1.285735,3.474960,-4.633280,0.000000
0.050000,5.856167,1.270850,0.356183,1.436317,3.011632,-9.266559,0.000000
0.050000,5.934354,1.270850,0.434370,1.563732,2.548304,-9.266559,0.000000
0.050000,6.017753,1.270850,0.517769,1.667981,2.084976,-9.266559,0.000000
0.050000,6.105206,1.270850,0.605222,1.749063,1.621648,-9.266559,0.000000
0.050000,6.195555,1.270850,0.695571,1.806979,1.158320,-9.266559,0.000000
0.050000,6.287642,1.270850,0.787658,1.841729,0.694992,-9.266559,0.000000
0.050000,6.379882,1.270850,0.879898,1.844816,0.061752,-12.664795,0.000000
0.050000,6.470694,1.270850,0.970710,1.816242,-0.571488,-12.664795,0.000000
0.050000,6.558920,1.270850,1.058936,1.764501,-1.034815,-9.266559,0.000000
0.050000,6.643399,1.270850,1.143415,1.689594,-1.498143,-9.266559,0.000000
0.050000,6.722975,1.270850,1.222991,1.591520,-1.961471,-9.266559,0.000000
0.050000,6.796489,1.270850,1.296505,1.470280,-2.424799,-9.266559,0.000000
0.050000,6.862783,1.270850,1.362799,1.325874,-2.888127,-9.266559,0.000000
0.050000,6.920698,1.270850,1.420714,1.158301,-3.351455,-9.266559,0.000000
0.050000,6.969501,1.270850,1.469517,0.976058,-3.644872,-5.868324,0.000000
0.050000,7.009037,1.270850,1.509053,0.790727,-3.706624,-1.235045,0.000000
0.050000,7.039732,1.270850,1.539748,0.613891,-3.536712,3.398235,0.000000
0.050000,7.062589,1.270850,1.562605,0.457134,-3.135136,8.031515,0.000000
0.050000,7.078766,1.270850,1.578782,0.323544,-2.671808,9.266559,0.000000
0.050000,7.089422,1.270850,1.589438,0.213120,-2.208480,9.266559,0.000000
0.050000,7.095715,1.270850,1.595731,0.125862,-1.745152,9.266559,0.000000
0.050000,7.098803,1.270850,1.598819,0.061771,-1.281824,9.266559,0.000000
0.050000,7.099846,1.270850,1.599862,0.020846,-0.818496,9.266559,0.000000
0.050000,7.100000,1.270850,1.600016,0.003088,-0.355168,9.266559,0.000000
0.050000,7.100000,1.270850,1.600016,0.000000,-0.061752,5.868324,0.000000
