dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,7.099388,1.270850,0.000623,0.024936,0.498719,9.974387,3.141593
0.050000,7.096894,1.270850,0.003117,0.049872,0.498719,-0.000000,3.141593
0.050000,7.091283,1.270850,0.008728,0.112212,1.246798,14.961580,3.141593
0.050000,7.081309,1.270850,0.018702,0.199488,1.745518,9.974387,3.141593
0.050000,7.066347,1.270850,0.033664,0.299232,1.994877,4.987193,3.141593
0.050000,7.046399,1.270850,0.053612,0.398975,1.994877,-0.000000,3.141593
0.050000,7.021463,1.270850,0.078548,0.498719,1.994877,0.000000,3.141593
0.050000,6.991540,1.270850,0.108471,0.598463,1.994877,0.000000,3.141593
0.050000,6.956629,1.270850,0.143382,0.698207,1.994877,-0.000000,3.141593
0.050000,6.916732,1.270850,0.183279,0.797951,1.994877,-0.000000,3.141593
0.050000,6.871847,1.270850,0.228164,0.897695,1.994877,0.000000,3.141593
0.050000,6.821975,1.270850,0.278036,0.997439,1.994877,0.000000,3.141593
0.050000,6.767116,1.270850,0.332895,1.097183,1.994877,-0.000000,3.141593
0.050000,6.707893,1.270850,0.392118,1.184458,1.745518,-4.987193,3.141593
0.050000,6.645553,1.270850,0.454458,1.246798,1.246798,-9.974387,3.141593
0.050000,6.581343,1.270850,0.518668,1.284202,0.748079,-9.974387,3.141593
0.050000,6.516530,1.270850,0.583481,1.296255,0.241057,-10.140445,3.141593
0.050000,6.452382,1.270850,0.647629,1.282957,-0.265966,-10.140445,3.141593
0.050000,6.390146,1.270850,0.709865,1.244723,-0.764685,-9.974387,3.141593
0.050000,6.331069,1.270850,0.768942,1.181552,-1.263404,-9.974387,3.141593
0.050000,6.276375,1.270850,0.823636,1.093861,-1.753821,-9.808329,3.141593
0.050000,6.226670,1.270850,0.873341,0.994118,-1.994877,-4.821135,3.141593
0.050000,6.181951,1.270850,0.918060,0.894374,-1.994877,0.000000,3.141593
0.050000,6.142219,1.270850,0.957792,0.794630,-1.994877,-0.000000,3.141593
0.050000,6.107475,1.270850,0.992536,0.694886,-1.994877,0.000000,3.141593
0.050000,6.077718,1.270850,1.022293,0.595142,-1.994877,-0.000000,3.141593
0.050000,6.052948,1.270850,1.047063,0.495398,-1.994877,0.000000,3.141593
0.050000,6.033165,1.270850,1.066846,0.395654,-1.994877,0.000000,3.141593
0.050000,6.018370,1.270850,1.081641,0.295910,-1.994877,0.000000,3.141593
0.050000,6.008541,1.270850,1.091470,0.196582,-1.986574,0.166058,3.141593
0.050000,6.003034,1.270850,1.096977,0.110136,-1.728912,5.153252,3.141593
0.050000,6.000603,1.270850,1.099408,0.048626,-1.230193,9.974387,3.141593
0.050000,6.000000,1.270850,1.100011,0.012053,-0.731473,9.974387,3.141593
0.050000,6.000000,1.270850,1.100011,0.000000,-0.241057,9.808329,3.141593
