dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000638,0.381950,0.000625,0.025000,0.500000,10.000000,6.283098
0.050000,0.003277,0.381949,0.003264,0.052784,0.555673,1.113453,6.282733
0.050000,0.009220,0.381944,0.009207,0.118854,1.321399,15.314526,6.281902
0.050000,0.019800,0.381923,0.019787,0.211606,1.855055,10.673121,6.280382
0.050000,0.035708,0.381859,0.035695,0.318164,2.131162,5.522145,6.278004
0.050000,0.056990,0.381714,0.056978,0.425653,2.149762,0.372002,6.274646
0.050000,0.083710,0.381426,0.083699,0.534424,2.175433,0.513407,6.270140
0.050000,0.115950,0.380912,0.115943,0.644877,2.209062,0.672579,6.264265
0.050000,0.153814,0.380055,0.153817,0.757475,2.251953,0.857835,6.256741
0.050000,0.197431,0.378697,0.197456,0.872774,2.305984,1.080614,6.247214
0.050000,0.246961,0.376622,0.247029,0.991465,2.373821,1.356739,6.235239
0.050000,0.302597,0.373543,0.302750,1.114427,2.459226,1.708108,6.220259
0.050000,0.364576,0.369067,0.364890,1.242800,2.567469,2.164855,6.201563
0.050000,0.433182,0.362664,0.433795,1.378093,2.705858,2.767772,6.178245
0.050000,0.508758,0.353613,0.509910,1.522310,2.884350,3.569851,6.149136
0.050000,0.591698,0.340920,0.593816,1.678111,3.116020,4.633391,6.112717
0.050000,0.682432,0.323204,0.686263,1.848944,3.416647,6.012532,6.067017
0.050000,0.781355,0.298546,0.788214,2.039015,3.801420,7.695470,6.009510
0.050000,0.888652,0.264281,0.900849,2.252708,4.273870,9.448999,5.937092
0.050000,1.003896,0.216832,1.025478,2.492580,4.797440,10.471402,5.846316
0.050000,1.124499,0.152259,1.162281,2.736053,4.869463,1.440463,5.735049
0.050000,1.244888,0.067666,1.309418,2.942748,4.133885,-14.711570,5.604819
0.050000,1.357435,-0.037053,1.463148,3.074595,2.636952,-29.938661,5.462168
0.050000,1.454539,-0.157757,1.618063,3.098293,0.473962,-43.259793,5.318042
0.050000,1.532086,-0.287896,1.769555,3.029839,-1.369085,-36.860943,5.182926
0.050000,1.590114,-0.421543,1.915256,2.914029,-2.316204,-18.942379,5.063045
0.050000,1.631008,-0.554538,2.054396,2.782795,-2.624672,-6.169349,4.960411
0.050000,1.657925,-0.684705,2.187316,2.658409,-2.487724,2.738956,4.874113
0.050000,1.673800,-0.811254,2.314858,2.550825,-2.151683,6.720808,4.801933
0.050000,1.681006,-0.934139,2.437954,2.461928,-1.777929,7.475079,4.741414
0.050000,1.681950,-1.045193,2.549012,2.221164,-4.815298,-60.747364,4.712389
0.050000,1.681950,-1.145193,2.649012,2.000000,-4.423271,7.840531,4.712389
0.050000,1.681950,-1.245193,2.749012,2.000000,0.000000,88.465422,4.712389
0.050000,1.681950,-1.345193,2.849012,2.000000,-0.000000,-0.000000,4.712389
0.050000,1.681950,-1.445193,2.949012,2.000000,-0.000000,0.000000,4.712389
0.050000,1.681950,-1.545193,3.049012,2.000000,0.000000,0.000000,4.712389
0.050000,1.681950,-1.645193,3.149012,2.000000,0.000000,-0.000000,4.712389
0.050000,1.681950,-1.745193,3.249012,2.000000,0.000000,0.000000,4.712389
0.050000,1.681950,-1.845193,3.349012,2.000000,-0.000000,-0.000000,4.712389
0.050000,1.681950,-1.945193,3.449012,2.000000,0.000000,0.000000,4.712389
0.050000,1.681950,-2.045193,3.549012,2.000000,0.000000,-0.000000,4.712389
0.050000,1.681950,-2.145193,3.649012,2.000000,0.000000,0.000000,4.712389
0.050000,1.681950,-2.245193,3.749012,2.000000,0.000000,0.000000,4.712389
0.050000,1.681950,-2.345193,3.849012,2.000000,0.000000,-0.000000,4.712389
0.050000,1.681950,-2.445193,3.949012,2.000000,-0.000000,-0.000000,4.712389
0.050000,1.681950,-2.545193,4.049012,2.000000,0.000000,0.000000,4.712389
0.050000,1.681950,-2.645193,4.149012,2.000000,-0.000000,-0.000000,4.712389
0.050000,1.681950,-2.745193,4.249012,2.000000,-0.000000,-0.000000,4.712389
0.050000,1.681950,-2.845193,4.349012,2.000000,0.000000,0.000000,4.712389
0.050000,1.681950,-2.945193,4.449012,2.000000,0.000000,-0.000000,4.712389
0.050000,1.681950,-3.045193,4.549012,2.000000,-0.000000,-0.000000,4.712389
0.050000,1.681950,-3.145193,4.649012,2.000000,-0.000000,0.000000,4.712389
0.050000,1.681950,-3.245193,4.749012,2.000000,0.000000,0.000000,4.712389
0.050000,1.682399,-3.335154,4.838974,1.799233,-4.015346,-80.306912,4.738595
0.050000,1.686724,-3.407903,4.911852,1.457554,-6.833567,-56.364421,4.809565
0.050000,1.695631,-3.470583,4.975161,1.266195,-3.827188,60.127581,4.905563
0.050000,1.707818,-3.517858,5.023981,0.976394,-5.796016,-39.376572,5.039467
0.050000,1.718779,-3.543598,5.051958,0.559545,-8.336991,-50.819501,5.226930
0.050000,1.721402,-3.547863,5.056965,0.100134,-9.188215,-17.024472,5.470994
0.050000,1.717456,-3.544636,5.062062,0.101942,0.036162,184.487535,5.734616
0.050000,1.723293,-3.546938,5.068337,0.125492,0.471002,8.696808,5.958233
0.050000,1.748454,-3.552838,5.094180,0.516875,7.827657,147.133088,6.118096
0.050000,1.789407,-3.557173,5.135362,0.823630,6.135100,-33.851132,6.224730
0.050000,1.839722,-3.558199,5.185688,1.006514,3.657683,-49.548345,0.011170
0.050000,1.894593,-3.556258,5.240593,1.098101,1.831742,-36.518809,0.055730
0.050000,1.950997,-3.552271,5.297137,1.130887,0.655713,-23.520592,0.082915
0.050000,2.007070,-3.547147,5.353444,1.126135,-0.095044,-15.015127,0.097634
0.050000,2.061617,-3.541617,5.408270,1.096529,-0.592108,-9.941298,0.103140
0.050000,2.113811,-3.536225,5.460743,1.049451,-0.941558,-6.988999,0.101717
0.050000,2.163026,-3.531346,5.510199,0.989118,-1.206669,-5.302213,0.095102
0.050000,2.208732,-3.527210,5.556091,0.917855,-1.425267,-4.371962,0.084725
0.050000,2.250447,-3.523926,5.597935,0.836872,-1.619652,-3.887689,0.071858
0.050000,2.287707,-3.521502,5.635274,0.746781,-1.801826,-3.643489,0.057694
0.050000,2.320063,-3.519860,5.667672,0.647966,-1.976289,-3.489259,0.043374
0.050000,2.347089,-3.518865,5.694716,0.540876,-2.141802,-3.310265,0.029983
0.050000,2.368394,-3.518347,5.716027,0.426228,-2.292953,-3.023018,0.018510
0.050000,2.383649,-3.518131,5.731284,0.305135,-2.421863,-2.578196,0.009798
0.050000,2.393104,-3.518064,5.740739,0.189098,-2.320746,2.022334,0.004190
0.050000,2.397925,-3.518051,5.745561,0.096429,-1.853381,9.347310,0.001270
0.050000,2.399685,-3.518050,5.747320,0.035192,-1.224746,12.572701,0.000193
0.050000,2.400000,-3.518050,5.747635,0.006299,-0.577844,12.938028,6.283185
0.050000,2.400000,-3.518050,5.747635,0.000000,-0.125989,9.037097,6.283185
