dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000633,0.381950,0.000625,0.025000,0.500000,10.000000,6.283076
0.050000,0.003309,0.381949,0.003301,0.053528,0.570554,1.411090,6.282614
0.050000,0.009330,0.381942,0.009322,0.120420,1.337847,15.345849,6.281577
0.050000,0.020031,0.381915,0.020023,0.214021,1.872015,10.683356,6.279742
0.050000,0.036076,0.381838,0.036068,0.320888,2.137350,5.306697,6.277008
0.050000,0.057454,0.381668,0.057447,0.427583,2.133890,-0.069198,6.273397
0.050000,0.084154,0.381347,0.084149,0.534044,2.129229,-0.093213,6.268940
0.050000,0.116160,0.380806,0.116160,0.640211,2.123331,-0.117957,6.263676
0.050000,0.153452,0.379966,0.153461,0.746019,2.116156,-0.143511,6.257652
0.050000,0.196004,0.378735,0.196031,0.851402,2.107661,-0.169896,6.250923
0.050000,0.243788,0.377016,0.243845,0.956292,2.097808,-0.197063,6.243553
0.050000,0.296768,0.374703,0.296876,1.060620,2.086563,-0.224897,6.235617
0.050000,0.354906,0.371689,0.355092,1.164315,2.073902,-0.253217,6.227198
0.050000,0.418156,0.367862,0.418457,1.267306,2.059813,-0.281787,6.218386
0.050000,0.486467,0.363115,0.486933,1.369521,2.044296,-0.310332,6.209285
0.050000,0.559784,0.357341,0.560478,1.470889,2.027368,-0.338560,6.200004
0.050000,0.638048,0.350444,0.639045,1.571342,2.009059,-0.366188,6.190664
0.050000,0.721194,0.342336,0.722586,1.670813,1.989410,-0.392975,6.181394
0.050000,0.809156,0.332942,0.811047,1.769236,1.968472,-0.418750,6.172329
0.050000,0.901864,0.322207,0.904375,1.866551,1.946300,-0.443446,6.163617
0.050000,0.999248,0.310093,1.002510,1.962698,1.922944,-0.467119,6.155408
0.050000,1.101239,0.296589,1.105391,2.057621,1.898446,-0.489967,6.147865
0.050000,1.207768,0.281709,1.212954,2.151262,1.872829,-0.512331,6.141154
0.050000,1.318770,0.265501,1.325132,2.243567,1.846095,-0.534682,6.135450
0.050000,1.434181,0.248045,1.441856,2.334478,1.818216,-0.557590,6.130936
0.050000,1.553322,0.229558,1.562423,2.411341,1.537276,-5.618801,6.127815
0.050000,1.674913,0.210399,1.685515,2.461830,1.009780,-10.549920,6.126266
0.050000,1.797706,0.190962,1.809836,2.486427,0.491938,-10.356840,6.126407
0.050000,1.920479,0.171654,1.934118,2.485637,-0.015803,-10.154805,6.128287
0.050000,2.042646,0.152786,2.057733,2.472306,-0.266623,-5.016401,6.131912
0.050000,2.164236,0.134567,2.180681,2.458952,-0.267074,-0.009029,6.137285
0.050000,2.285275,0.117203,2.302960,2.445571,-0.267635,-0.011209,6.144410
0.050000,2.405785,0.100897,2.424568,2.432161,-0.268184,-0.010990,6.153289
0.050000,2.525782,0.085852,2.545504,2.418733,-0.268562,-0.007560,6.163926
0.050000,2.645278,0.072266,2.665769,2.405305,-0.268567,-0.000106,6.176320
0.050000,2.764276,0.060333,2.785365,2.391907,-0.267959,0.012171,6.190468
0.050000,2.882777,0.050245,2.904294,2.378584,-0.266458,0.030015,6.206359
0.050000,3.000772,0.042189,3.022564,2.365396,-0.263755,0.054055,6.223976
0.050000,3.118248,0.036345,3.140185,2.352420,-0.259519,0.084737,6.243290
0.050000,3.235184,0.032888,3.257172,2.339750,-0.253407,0.122228,6.264262
0.050000,3.352936,0.031950,3.374928,2.355120,0.307400,11.216133,0.000000
0.050000,3.477936,0.031950,3.499928,2.500000,2.897600,51.804019,0.000000
0.050000,3.602936,0.031950,3.624928,2.500000,-0.000000,-57.952010,0.000000
0.050000,3.727936,0.031950,3.749928,2.500000,-0.000000,0.000000,0.000000
0.050000,3.852936,0.031950,3.874928,2.500000,0.000000,0.000000,0.000000
0.050000,3.977936,0.031950,3.999928,2.500000,0.000000,0.000000,0.000000
0.050000,4.102936,0.031950,4.124928,2.500000,0.000000,0.000000,0.000000
0.050000,4.227936,0.031950,4.249928,2.500000,0.000000,-0.000000,0.000000
0.050000,4.352936,0.031950,4.374928,2.500000,0.000000,-0.000000,0.000000
0.050000,4.477936,0.031950,4.499928,2.500000,0.000000,0.000000,0.000000
0.050000,4.602936,0.031950,4.624928,2.500000,0.000000,-0.000000,0.000000
0.050000,4.727936,0.031950,4.749928,2.500000,-0.000000,-0.000000,0.000000
0.050000,4.836659,0.033816,4.858667,2.174768,-6.504642,-130.092840,0.042504
0.050000,4.937533,0.041098,4.959804,2.022736,-3.040630,69.280240,0.104939
0.050000,5.030564,0.054504,5.053795,1.879832,-2.858089,3.650820,0.186056
0.050000,5.112738,0.074225,5.138303,1.690151,-3.793614,-18.710496,0.291968
0.050000,5.180704,0.099474,5.210807,1.450083,-4.801362,-20.154962,0.429262
0.050000,5.232458,0.128377,5.270085,1.185554,-5.290580,-9.784371,0.601141
0.050000,5.270018,0.159803,5.319058,0.979468,-4.121724,23.377128,0.799977
0.050000,5.299142,0.196791,5.366136,0.941553,-0.758307,67.268346,1.003773
0.050000,5.323892,0.245569,5.420834,1.093957,3.048092,76.127983,1.187632
