dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000550,-0.381950,0.000625,0.025000,0.500000,10.000000,6.283076
0.050000,0.002873,-0.381951,0.002949,0.046472,0.429446,-1.411090,6.282614
0.050000,0.008102,-0.381957,0.008178,0.104580,1.162153,14.654147,6.281577
0.050000,0.017401,-0.381980,0.017477,0.185979,1.627984,9.316629,6.279742
0.050000,0.031356,-0.382047,0.031432,0.279112,1.862648,4.693269,6.277008
0.050000,0.049977,-0.382196,0.050053,0.372417,1.866105,0.069152,6.273397
0.050000,0.073273,-0.382476,0.073351,0.465955,1.870763,0.093155,6.268940
0.050000,0.101258,-0.382949,0.101340,0.559788,1.876658,0.117891,6.263676
0.050000,0.133949,-0.383685,0.134039,0.653979,1.883830,0.143442,6.257652
0.050000,0.171363,-0.384767,0.171469,0.748595,1.892321,0.169828,6.250923
0.050000,0.213521,-0.386284,0.213654,0.843704,1.902171,0.197002,6.243553
0.050000,0.260445,-0.388333,0.260623,0.939375,1.913414,0.224848,6.235617
0.050000,0.312159,-0.391014,0.312407,1.035678,1.926073,0.253187,6.227198
0.050000,0.368690,-0.394434,0.369041,1.132686,1.940162,0.281781,6.218386
0.050000,0.430066,-0.398700,0.430565,1.230470,1.955680,0.310354,6.209285
0.050000,0.496316,-0.403917,0.497020,1.329101,1.972610,0.338614,6.200004
0.050000,0.567472,-0.410189,0.568452,1.428647,1.990924,0.366275,6.190664
0.050000,0.643570,-0.417610,0.644911,1.529176,2.010579,0.393095,6.181394
0.050000,0.724647,-0.426269,0.726448,1.630752,2.031524,0.418900,6.172329
0.050000,0.810743,-0.436239,0.813120,1.733437,2.053705,0.443619,6.163617
0.050000,0.901905,-0.447579,0.904985,1.837291,2.077070,0.467306,6.155408
0.050000,0.998183,-0.460328,1.002103,1.942370,2.101578,0.490153,6.147865
0.050000,1.099635,-0.474498,1.104540,2.048730,2.127203,0.512498,6.141154
0.050000,1.206325,-0.490078,1.212361,2.156427,2.153943,0.534808,6.135450
0.050000,1.318327,-0.507019,1.325637,2.265518,2.181825,0.557647,6.130936
0.050000,1.435112,-0.525140,1.443820,2.363657,1.962764,-4.381236,6.127815
0.050000,1.555534,-0.544115,1.565728,2.438169,1.490249,-9.450287,6.126266
0.050000,1.678433,-0.563569,1.690157,2.488573,1.008072,-9.643545,6.126407
0.050000,1.802625,-0.583100,1.815875,2.514362,0.515788,-9.845682,6.128287
0.050000,1.927528,-0.602390,1.942260,2.527691,0.266583,-4.984107,6.131912
0.050000,2.053178,-0.621217,2.069312,2.541042,0.267009,0.008519,6.137285
0.050000,2.179605,-0.639353,2.197033,2.554419,0.267543,0.010696,6.144410
0.050000,2.306837,-0.656567,2.325424,2.567822,0.268067,0.010473,6.153289
0.050000,2.434896,-0.672622,2.454486,2.581243,0.268419,0.007043,6.163926
0.050000,2.563799,-0.687277,2.584219,2.594663,0.268399,-0.000409,6.176320
0.050000,2.693551,-0.700286,2.714622,2.608051,0.267765,-0.012676,6.190468
0.050000,2.824147,-0.711402,2.845690,2.621363,0.266240,-0.030501,6.206359
0.050000,2.955568,-0.720373,2.977417,2.634539,0.263514,-0.054510,6.223976
0.050000,3.087780,-0.726947,3.109792,2.647502,0.259257,-0.085144,6.243290
0.050000,3.220730,-0.730875,3.242800,2.660158,0.253129,-0.122568,6.264262
0.050000,3.352936,-0.731950,3.375011,2.644222,-0.318722,-11.437013,0.000000
0.050000,3.477936,-0.731950,3.500011,2.500000,-2.884445,-51.314467,0.000000
0.050000,3.602936,-0.731950,3.625011,2.500000,-0.000000,57.688903,0.000000
0.050000,3.727936,-0.731950,3.750011,2.500000,-0.000000,0.000000,0.000000
0.050000,3.852936,-0.731950,3.875011,2.500000,0.000000,0.000000,0.000000
0.050000,3.977936,-0.731950,4.000011,2.500000,0.000000,0.000000,0.000000
0.050000,4.102936,-0.731950,4.125011,2.500000,0.000000,0.000000,0.000000
0.050000,4.227936,-0.731950,4.250011,2.500000,0.000000,-0.000000,0.000000
0.050000,4.352936,-0.731950,4.375011,2.500000,0.000000,-0.000000,0.000000
0.050000,4.477936,-0.731950,4.500011,2.500000,0.000000,0.000000,0.000000
0.050000,4.602936,-0.731950,4.625011,2.500000,0.000000,-0.000000,0.000000
0.050000,4.727936,-0.731950,4.750011,2.500000,-0.000000,-0.000000,0.000000
0.050000,4.869118,-0.729395,4.891216,2.824095,6.481907,129.638138,0.042504
0.050000,5.017549,-0.718600,5.040038,2.976453,3.047150,-68.695141,0.104939
0.050000,5.171873,-0.696213,5.195978,3.118800,2.846938,-4.004240,0.186056
0.050000,5.332617,-0.657347,5.361354,3.307516,3.774327,18.547784,0.291968
0.050000,5.498638,-0.595120,5.538654,3.545995,4.769578,19.905011,0.429262
0.050000,5.664507,-0.501604,5.729068,3.808289,5.245873,9.525907,0.601141
0.050000,5.817994,-0.372424,5.929682,4.012269,4.079615,-23.325167,0.799977
0.050000,5.943494,-0.213518,6.132170,4.049762,0.749845,-66.595402,1.003773
0.050000,6.032398,-0.040020,6.327119,3.898991,-3.015408,-75.305054,1.187632
0.050000,6.087337,0.134149,6.509748,3.652566,-4.928508,-38.262000,1.338968
0.050000,6.116241,0.302133,6.680201,3.409066,-4.869994,1.170293,1.458236
0.050000,6.126588,0.462332,6.840733,3.210642,-3.968475,18.030378,1.551417
0.050000,6.126950,0.594691,6.973093,2.647205,-11.268752,-146.005553,1.570796
0.050000,6.126950,0.719691,7.098093,2.500000,-2.944095,166.493152,1.570796
0.050000,6.126950,0.844691,7.223093,2.500000,0.000000,58.881894,1.570796
0.050000,6.126950,0.969691,7.348093,2.500000,0.000000,-0.000000,1.570796
0.050000,6.126950,1.094691,7.473093,2.500000,-0.000000,-0.000000,1.570796
0.050000,6.126950,1.219691,7.598093,2.500000,-0.000000,0.000000,1.570796
0.050000,6.126950,1.344691,7.723093,2.500000,-0.000000,0.000000,1.570796
0.050000,6.126950,1.469691,7.848093,2.500000,0.000000,0.000000,1.570796
0.050000,6.126950,1.594691,7.973093,2.500000,-0.000000,-0.000000,1.570796
0.050000,6.126950,1.719691,8.098093,2.500000,0.000000,0.000000,1.570796
0.050000,6.126950,1.844691,8.223093,2.500000,0.000000,-0.000000,1.570796
0.050000,6.126950,1.969691,8.348093,2.500000,0.000000,0.000000,1.570796
0.050000,6.126950,2.094691,8.473093,2.500000,0.000000,0.000000,1.570796
0.050000,6.126950,2.219691,8.598093,2.500000,0.000000,0.000000,1.570796
0.050000,6.126950,2.344691,8.723093,2.500000,-0.000000,-0.000000,1.570796
0.050000,6.126950,2.469691,8.848093,2.500000,0.000000,0.000000,1.570796
0.050000,6.126950,2.594691,8.973093,2.500000,0.000000,0.000000,1.570796
0.050000,6.126950,2.719691,9.098093,2.500000,0.000000,-0.000000,1.570796
0.050000,6.126950,2.844691,9.223093,2.500000,0.000000,-0.000000,1.570796
0.050000,6.126950,2.969691,9.348093,2.500000,0.000000,0.000000,1.570796
0.050000,6.126950,3.094691,9.473093,2.500000,0.000000,0.000000,1.570796
0.050000,6.126950,3.219691,9.598093,2.500000,0.000000,0.000000,1.570796
0.050000,6.126950,3.344691,9.723093,2.500000,0.000000,0.000000,1.570796
0.050000,6.126950,3.469691,9.848093,2.500000,0.000000,0.000000,1.570796
0.050000,6.126950,3.594691,9.973093,2.500000,0.000000,0.000000,1.570796
0.050000,6.126950,3.719691,10.098093,2.500000,0.000000,0.000000,1.570796
0.050000,6.126950,3.844691,10.223093,2.500000,0.000000,0.000000,1.570796
0.050000,6.126950,3.969691,10.348093,2.500000,0.000000,0.000000,1.570796
0.050000,6.126950,4.094691,10.473093,2.500000,0.000000,0.000000,1.570796
0.050000,6.126950,4.219691,10.598093,2.500000,-0.000000,-0.000000,1.570796
0.050000,6.126950,4.344691,10.723093,2.500000,0.000000,0.000000,1.570796
0.050000,6.126950,4.469691,10.848093,2.500000,0.000000,-0.000000,1.570796
0.050000,6.128667,4.577145,10.955561,2.149352,-7.012967,-140.259342,1.524978
0.050000,6.136459,4.674297,11.053024,1.949271,-4.001611,60.227127,1.453604
0.050000,6.150757,4.763867,11.143728,1.814075,-2.703920,25.953814,1.367518
0.050000,6.171207,4.843224,11.225678,1.638996,-3.501585,-15.953298,1.264775
0.050000,6.196716,4.910369,11.297506,1.436551,-4.048892,-10.946133,1.145062
0.050000,6.225772,4.964837,11.359239,1.234659,-4.037848,0.220873,1.011049
0.050000,6.257295,5.008158,11.412816,1.071541,-3.262366,15.509644,0.868771
0.050000,6.291276,5.043015,11.461495,0.973595,-1.958904,26.069238,0.726751
0.050000,6.328479,5.071840,11.508559,0.941266,-0.646587,26.246346,0.593573
0.050000,6.369541,5.096048,11.556225,0.953321,0.241091,17.753555,0.475045
0.050000,6.414316,5.116179,11.605317,0.981842,0.570434,6.586851,0.373325
0.050000,6.461916,5.132439,11.655617,1.006010,0.483358,-1.741519,0.287843
0.050000,6.511100,5.145058,11.706395,1.015549,0.190772,-5.851718,0.216689
0.050000,6.560616,5.154392,11.756783,1.007763,-0.155713,-6.929700,0.157597
0.050000,6.609374,5.160886,11.805971,0.983767,-0.479928,-6.484294,0.108449
0.050000,6.656494,5.165019,11.853272,0.946023,-0.754876,-5.498973,0.067446
0.050000,6.701296,5.167259,11.898130,0.897148,-0.977490,-4.452272,0.033133
0.050000,6.743261,5.168035,11.940103,0.839456,-1.153849,-3.527169,0.004356
0.050000,6.789560,5.168050,11.986402,0.925984,1.730559,57.688146,0.000000
0.050000,6.832526,5.168050,12.029367,0.859310,-1.333475,-61.280678,0.000000
0.050000,6.870491,5.168050,12.067333,0.759310,-2.000000,-13.330498,0.000000
