dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000639,0.381950,0.000625,0.025000,0.500000,10.000000,6.283061
0.050000,0.003339,0.381949,0.003325,0.054005,0.580101,1.602017,6.282537
0.050000,0.009413,0.381941,0.009400,0.121492,1.349747,15.392924,6.281360
0.050000,0.020209,0.381910,0.020196,0.215921,1.888582,10.776692,6.279276
0.050000,0.036396,0.381822,0.036382,0.323725,2.156078,5.349933,6.276170
0.050000,0.057962,0.381626,0.057949,0.431339,2.152271,-0.076142,6.272067
0.050000,0.084894,0.381259,0.084884,0.538695,2.147126,-0.102907,6.267002
0.050000,0.117174,0.380639,0.117170,0.645725,2.140589,-0.130741,6.261016
0.050000,0.154780,0.379676,0.154788,0.752355,2.132601,-0.159767,6.254162
0.050000,0.197682,0.378265,0.197713,0.858510,2.123100,-0.190020,6.246502
0.050000,0.245847,0.376294,0.245919,0.964111,2.112028,-0.221437,6.238109
0.050000,0.299235,0.373643,0.299373,1.069078,2.099335,-0.253851,6.229066
0.050000,0.357800,0.370187,0.358039,1.173327,2.084985,-0.286999,6.219466
0.050000,0.421487,0.365800,0.421878,1.276775,2.068958,-0.320535,6.209415
0.050000,0.490239,0.360357,0.490845,1.379338,2.051256,-0.354050,6.199029
0.050000,0.563989,0.353738,0.564891,1.480933,2.031901,-0.387107,6.188433
0.050000,0.642667,0.345833,0.643965,1.581480,2.010937,-0.419281,6.177766
0.050000,0.726197,0.336541,0.728011,1.680901,1.988426,-0.450206,6.167174
0.050000,0.814500,0.325780,0.816967,1.779123,1.964445,-0.479625,6.156815
0.050000,0.907495,0.313487,0.910771,1.876077,1.939073,-0.507433,6.146855
0.050000,1.005100,0.299621,1.009355,1.971696,1.912388,-0.533711,6.137469
0.050000,1.107234,0.284171,1.112651,2.065919,1.884450,-0.558753,6.128839
0.050000,1.213818,0.267156,1.220585,2.158684,1.855297,-0.583065,6.121156
0.050000,1.324779,0.248631,1.333082,2.249930,1.824930,-0.607345,6.114619
0.050000,1.440047,0.228691,1.450062,2.339596,1.793308,-0.632439,6.109436
0.050000,1.558938,0.207584,1.570812,2.415005,1.508193,-5.702296,6.105835
0.050000,1.680175,0.185721,1.694005,2.463853,0.976954,-10.624787,6.104021
0.050000,1.802517,0.163550,1.818339,2.486685,0.456653,-10.406008,6.104128
0.050000,1.924754,0.141537,1.942543,2.484074,-0.052230,-10.177663,6.106213
0.050000,2.046312,0.120031,2.065988,2.468910,-0.303282,-5.021035,6.110282
0.050000,2.167228,0.099269,2.188674,2.453713,-0.303941,-0.013189,6.116341
0.050000,2.287536,0.079485,2.310597,2.438474,-0.304767,-0.016520,6.124395
0.050000,2.407263,0.060908,2.431757,2.423195,-0.305585,-0.016350,6.134447
0.050000,2.526430,0.043764,2.552152,2.407887,-0.306158,-0.011474,6.146504
0.050000,2.645053,0.028277,2.671780,2.392578,-0.306192,-0.000677,6.160564
0.050000,2.763136,0.014665,2.790646,2.377311,-0.305331,0.017227,6.176621
0.050000,2.880680,0.003142,2.908754,2.362153,-0.303165,0.043322,6.194662
0.050000,2.997677,-0.006084,3.026113,2.347191,-0.299241,0.078479,6.214661
0.050000,3.114109,-0.012814,3.142740,2.332537,-0.293080,0.123220,6.236577
0.050000,3.229955,-0.016857,3.258656,2.318327,-0.284202,0.177549,6.260352
0.050000,3.346205,-0.018050,3.374912,2.325115,0.135771,8.399461,0.000000
0.050000,3.471205,-0.018050,3.499912,2.500000,3.497694,67.238457,0.000000
0.050000,3.596205,-0.018050,3.624912,2.500000,0.000000,-69.953871,0.000000
0.050000,3.721205,-0.018050,3.749912,2.500000,-0.000000,-0.000000,0.000000
0.050000,3.846205,-0.018050,3.874912,2.500000,-0.000000,0.000000,0.000000
0.050000,3.971205,-0.018050,3.999912,2.500000,0.000000,0.000000,0.000000
0.050000,4.096205,-0.018050,4.124912,2.500000,-0.000000,-0.000000,0.000000
0.050000,4.221205,-0.018050,4.249912,2.500000,0.000000,0.000000,0.000000
0.050000,4.346205,-0.018050,4.374912,2.500000,0.000000,0.000000,0.000000
0.050000,4.471205,-0.018050,4.499912,2.500000,0.000000,0.000000,0.000000
0.050000,4.596205,-0.018050,4.624912,2.500000,0.000000,-0.000000,0.000000
0.050000,4.721205,-0.018050,4.749912,2.500000,0.000000,0.000000,0.000000
0.050000,4.846205,-0.018050,4.874912,2.500000,0.000000,-0.000000,0.000000
0.050000,4.971205,-0.018050,4.999912,2.500000,-0.000000,-0.000000,0.000000
0.050000,5.096205,-0.018050,5.124912,2.500000,0.000000,0.000000,0.000000
0.050000,5.221205,-0.018050,5.249912,2.500000,0.000000,0.000000,0.000000
0.050000,5.345348,-0.018037,5.374056,2.482876,-0.342480,-6.849606,0.002193
0.050000,5.459976,-0.016346,5.488696,2.292799,-3.801535,-69.181088,0.029308
0.050000,5.569846,-0.011105,5.598691,2.199892,-1.858153,38.867630,0.068576
0.050000,5.673548,-0.001316,5.702854,2.083261,-2.332619,-9.489307,0.123096
0.050000,5.768965,0.013867,5.799471,1.932349,-3.018233,-13.712288,0.197348
0.050000,5.853194,0.034822,5.886268,1.735946,-3.928063,-18.196592,0.297274
0.050000,5.922983,0.060965,5.960793,1.490493,-4.909065,-19.620047,0.429285
0.050000,5.976408,0.090642,6.021907,1.222278,-5.364286,-9.104430,0.596362
0.050000,6.015525,0.122910,6.072615,1.014165,-4.162258,24.040561,0.790658
0.050000,6.046100,0.160828,6.121325,0.974203,-0.799249,67.260182,0.990182
0.050000,6.072282,0.210478,6.177456,1.122608,2.968102,75.347034,1.170293
0.050000,6.093849,0.275280,6.245752,1.365926,4.866351,37.964978,1.318589
0.050000,6.109017,0.354143,6.326060,1.606159,4.804671,-1.233604,1.435480
0.050000,6.116852,0.443890,6.416148,1.801772,3.912247,-17.848478,1.526801
0.050000,6.118050,0.552029,6.524294,2.162909,7.222749,66.210039,1.570796
0.050000,6.118050,0.677029,6.649294,2.500000,6.741820,-9.618577,1.570796
0.050000,6.118050,0.802029,6.774294,2.500000,0.000000,-134.836406,1.570796
0.050000,6.118050,0.927029,6.899294,2.500000,0.000000,0.000000,1.570796
