dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002767,0.368054,0.002632,0.105263,2.105263,42.105263,6.282727
0.050000,0.011172,0.368045,0.011037,0.168112,1.256976,-16.965738,6.281339
0.050000,0.025176,0.368003,0.025042,0.280089,2.239537,19.651212,6.279039
0.050000,0.044772,0.367890,0.044638,0.391918,2.236584,-0.059052,6.275847
0.050000,0.069948,0.367654,0.069814,0.503539,2.232415,-0.083386,6.271791
0.050000,0.100689,0.367229,0.100559,0.614889,2.226996,-0.108370,6.266909
0.050000,0.136978,0.366535,0.136854,0.725903,2.220291,-0.134107,6.261245
0.050000,0.178790,0.365483,0.178680,0.836516,2.212259,-0.160636,6.254854
0.050000,0.226099,0.363975,0.226013,0.946659,2.202862,-0.187936,6.247800
0.050000,0.278872,0.361903,0.278826,1.056263,2.192067,-0.215912,6.240156
0.050000,0.337070,0.359159,0.337089,1.165255,2.179847,-0.244405,6.232006
0.050000,0.400650,0.355627,0.400767,1.273564,2.166187,-0.273198,6.223442
0.050000,0.469564,0.351195,0.469823,1.381119,2.151085,-0.302030,6.214566
0.050000,0.543757,0.345755,0.544215,1.487846,2.134554,-0.330617,6.205492
0.050000,0.623171,0.339203,0.623899,1.593677,2.116620,-0.358681,6.196340
0.050000,0.707743,0.331447,0.708826,1.698543,2.097322,-0.385977,6.187242
0.050000,0.797408,0.322409,0.798945,1.802379,2.076705,-0.412329,6.178338
0.050000,0.892096,0.312027,0.894201,1.905120,2.054822,-0.437656,6.169777
0.050000,0.991740,0.300263,0.994536,2.006706,2.031722,-0.462002,6.161715
0.050000,1.093594,0.287447,1.097194,2.053154,0.928972,-22.054999,6.154494
0.050000,1.194970,0.274002,1.199458,2.045270,-0.157691,-21.733267,6.148343
0.050000,1.295879,0.260042,1.301327,2.037395,-0.157492,0.003981,6.143263
0.050000,1.396334,0.245679,1.402804,2.029532,-0.157257,0.004707,6.139251
0.050000,1.496350,0.231024,1.503888,2.021681,-0.157026,0.004614,6.136305
0.050000,1.595942,0.216185,1.604580,2.013840,-0.156832,0.003879,6.134425
0.050000,1.695127,0.201270,1.704880,2.006005,-0.156698,0.002675,6.133609
0.050000,1.793921,0.186385,1.804789,1.998173,-0.156640,0.001173,6.133858
0.050000,1.892339,0.171636,1.904306,1.990340,-0.156663,-0.000459,6.135170
0.050000,1.990396,0.157125,2.003431,1.982501,-0.156765,-0.002051,6.137547
0.050000,2.088107,0.142956,2.102164,1.974654,-0.156937,-0.003436,6.140990
