dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002429,-0.368056,0.002632,0.105263,2.105263,42.105263,6.282727
0.050000,0.009813,-0.368064,0.010015,0.147677,0.848286,-25.139536,6.281339
0.050000,0.022124,-0.368101,0.022327,0.246227,1.970988,22.454025,6.279039
0.050000,0.039370,-0.368200,0.039573,0.344924,1.973938,0.059010,6.275847
0.050000,0.061561,-0.368408,0.061764,0.443829,1.978105,0.083330,6.271791
0.050000,0.088709,-0.368784,0.088915,0.543005,1.983520,0.108305,6.266909
0.050000,0.120828,-0.369398,0.121040,0.642516,1.990222,0.134035,6.261245
0.050000,0.157938,-0.370331,0.158162,0.742429,1.998250,0.160565,6.254854
0.050000,0.200057,-0.371675,0.200302,0.842811,2.007643,0.187870,6.247800
0.050000,0.247208,-0.373525,0.247489,0.943733,2.018436,0.215857,6.240156
0.050000,0.299413,-0.375988,0.299752,1.045265,2.030655,0.244369,6.232006
0.050000,0.356699,-0.379170,0.357126,1.147481,2.044314,0.273185,6.223442
0.050000,0.419092,-0.383182,0.419649,1.250452,2.059416,0.302046,6.214566
0.050000,0.486623,-0.388135,0.487361,1.354249,2.075950,0.330667,6.205492
0.050000,0.559323,-0.394133,0.560309,1.458944,2.093888,0.358766,6.196340
0.050000,0.637227,-0.401278,0.638539,1.564603,2.113193,0.386097,6.187242
0.050000,0.720370,-0.409659,0.722103,1.671294,2.133817,0.412481,6.178338
0.050000,0.808794,-0.419354,0.811057,1.779080,2.155708,0.437834,6.169777
0.050000,0.902544,-0.430423,0.905458,1.888020,2.178818,0.462194,6.161715
0.050000,0.999124,-0.442576,1.002800,1.946837,1.176328,-20.049804,6.154494
0.050000,1.096012,-0.455426,1.100537,1.954724,0.157739,-20.371783,6.148343
0.050000,1.193216,-0.468874,1.198667,1.962600,0.157532,-0.004135,6.143263
0.050000,1.290748,-0.482819,1.297190,1.970465,0.157289,-0.004861,6.139251
0.050000,1.388618,-0.497160,1.396106,1.978317,0.157051,-0.004767,6.136305
0.050000,1.486842,-0.511795,1.495414,1.986160,0.156849,-0.004031,6.134425
0.050000,1.585433,-0.526621,1.595113,1.993995,0.156708,-0.002826,6.133609
0.050000,1.684408,-0.541533,1.695205,2.001827,0.156642,-0.001324,6.133858
0.050000,1.783781,-0.556426,1.795688,2.009660,0.156657,0.000308,6.135170
0.050000,1.883569,-0.571192,1.896563,2.017498,0.156752,0.001900,6.137547
0.050000,1.983788,-0.585725,1.997830,2.025344,0.156916,0.003284,6.140990
0.050000,2.084453,-0.599914,2.099490,2.033200,0.157131,0.004291,6.145501
0.050000,2.185578,-0.613647,2.201543,2.041069,0.157368,0.004748,6.151080
0.050000,2.287176,-0.626813,2.303991,2.048948,0.157592,0.004481,6.157730
0.050000,2.389257,-0.639296,2.406833,2.056836,0.157758,0.003312,6.165452
0.050000,2.491830,-0.650980,2.510069,2.064727,0.157811,0.001063,6.174246
0.050000,2.594900,-0.661748,2.613699,2.072611,0.157689,-0.002441,6.184111
0.050000,2.698468,-0.671480,2.717723,2.080477,0.157320,-0.007370,6.195046
0.050000,2.802530,-0.680056,2.822139,2.088308,0.156626,-0.013880,6.207044
0.050000,2.907080,-0.687354,2.926943,2.096084,0.155521,-0.022107,6.220099
0.050000,3.012103,-0.693254,3.032132,2.103780,0.153913,-0.032156,6.234200
0.050000,3.117581,-0.697634,3.137700,2.111366,0.151709,-0.044089,6.249331
0.050000,3.223486,-0.700374,3.243640,2.118806,0.148813,-0.057911,6.265474
0.050000,3.329784,-0.701354,3.349944,2.126063,0.145135,-0.073560,6.282603
0.050000,3.394884,-0.704515,3.415120,1.303533,-16.450599,-331.914678,6.188127
0.050000,3.467705,-0.714309,3.488597,1.469528,3.319898,395.409943,6.116106
0.050000,3.547090,-0.729971,3.569512,1.618300,2.975446,-6.889056,6.064276
0.050000,3.631246,-0.750424,3.656117,1.732110,2.276192,-13.985073,6.027897
0.050000,3.719121,-0.774588,3.747254,1.822740,1.812600,-9.271842,6.003822
