dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002907,-0.000001,0.002941,0.117647,2.352941,47.058824,6.282435
0.050000,0.011731,-0.000018,0.011765,0.235294,2.352941,0.000000,6.280164
0.050000,0.026436,-0.000090,0.026471,0.352941,2.352941,0.000000,6.276401
0.050000,0.047024,-0.000283,0.047059,0.470588,2.352941,-0.000000,6.271177
0.050000,0.073491,-0.000689,0.073529,0.588235,2.352941,0.000000,6.264540
0.050000,0.105836,-0.001422,0.105882,0.705882,2.352941,0.000000,6.256550
0.050000,0.144052,-0.002618,0.144118,0.823529,2.352941,-0.000000,6.247286
0.050000,0.188132,-0.004433,0.188235,0.941176,2.352941,0.000000,6.236842
0.050000,0.238064,-0.007038,0.238235,1.058824,2.352941,0.000000,6.225330
0.050000,0.293831,-0.010618,0.294118,1.176471,2.352941,0.000000,6.212884
0.050000,0.355413,-0.015367,0.355882,1.294118,2.352941,0.000000,6.199656
0.050000,0.422782,-0.021481,0.423529,1.411765,2.352941,0.000000,6.185818
0.050000,0.495909,-0.029156,0.497059,1.529412,2.352941,-0.000000,6.171563
0.050000,0.574759,-0.038578,0.576471,1.647059,2.352941,0.000000,6.157102
0.050000,0.659295,-0.049922,0.661765,1.764706,2.352941,0.000000,6.142668
0.050000,0.749478,-0.063341,0.752941,1.882353,2.352941,0.000000,6.128507
0.050000,0.845271,-0.078958,0.850000,2.000000,2.352941,0.000000,6.114883
0.050000,0.943749,-0.096337,0.950000,2.000000,0.000000,-47.058824,6.102415
0.050000,1.042017,-0.114863,1.050000,2.000000,0.000000,0.000000,6.091542
0.050000,1.140094,-0.134378,1.150000,2.000000,0.000000,0.000000,6.082260
0.050000,1.238002,-0.154726,1.250000,2.000000,0.000000,0.000000,6.074565
0.050000,1.335767,-0.175749,1.350000,2.000000,0.000000,0.000000,6.068452
0.050000,1.433419,-0.197292,1.450000,2.000000,0.000000,0.000000,6.063915
0.050000,1.530989,-0.219201,1.550000,2.000000,0.000000,0.000000,6.060950
0.050000,1.628512,-0.241323,1.650000,2.000000,0.000000,0.000000,6.059553
0.050000,1.726021,-0.263504,1.750000,2.000000,0.000000,0.000000,6.059724
0.050000,1.823551,-0.285593,1.850000,2.000000,0.000000,0.000000,6.061462
0.050000,1.921136,-0.307436,1.950000,2.000000,0.000000,0.000000,6.064768
0.050000,2.018810,-0.328879,2.050000,2.000000,0.000000,0.000000,6.069648
0.050000,2.116603,-0.349768,2.150000,2.000000,0.000000,0.000000,6.076105
0.050000,2.214546,-0.369947,2.250000,2.000000,0.000000,0.000000,6.084146
0.050000,2.312663,-0.389261,2.350000,2.000000,0.000000,0.000000,6.093774
0.050000,2.410975,-0.407551,2.450000,2.000000,0.000000,0.000000,6.104994
