dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000327,0.381950,0.000625,0.025000,0.500000,10.000000,0.000727
0.050000,0.001684,0.381953,0.001982,0.027150,0.042991,-9.140182,0.003718
0.050000,0.004774,0.381975,0.005072,0.061796,0.692939,12.998960,0.010356
0.050000,0.010386,0.382066,0.010685,0.112247,1.009014,6.321496,0.021843
0.050000,0.019078,0.382328,0.019381,0.173934,1.233743,4.494593,0.038346
0.050000,0.031156,0.382919,0.031474,0.241849,1.358302,2.491182,0.059048
0.050000,0.046983,0.384049,0.047341,0.317341,1.509835,3.030653,0.082958
0.050000,0.066950,0.385979,0.067401,0.401201,1.677202,3.347338,0.108981
0.050000,0.091446,0.389004,0.092083,0.493643,1.848833,3.432625,0.135993
0.050000,0.120831,0.393442,0.121802,0.594369,2.014525,3.313844,0.162909
0.050000,0.155423,0.399605,0.156938,0.702721,2.167030,3.050100,0.188732
0.050000,0.195492,0.407774,0.197831,0.817871,2.303003,2.719453,0.212571
0.050000,0.241275,0.418185,0.244783,0.939030,2.423191,2.403767,0.233641
0.050000,0.292992,0.431002,0.298064,1.065635,2.532098,2.178132,0.251229
0.050000,0.350879,0.446305,0.357940,1.197513,2.637548,2.108993,0.264644
0.050000,0.415223,0.464072,0.424692,1.335045,2.750641,2.261875,0.273146
0.050000,0.486412,0.484161,0.498661,1.479374,2.886577,2.718703,0.275846
0.050000,0.564996,0.506275,0.580297,1.632720,3.066926,3.606992,0.271563
0.050000,0.651784,0.529902,0.670244,1.798939,3.324375,5.148977,0.258609
0.050000,0.747989,0.554201,0.769470,1.984529,3.711805,7.748598,0.234447
0.050000,0.854729,0.577627,0.878750,2.185598,4.021389,6.191678,0.195405
0.050000,0.973083,0.597621,0.998782,2.400624,4.300516,5.582550,0.136370
0.050000,1.104784,0.610188,1.131081,2.645982,4.907149,12.132647,0.050062
0.050000,1.251662,0.608856,1.277965,2.937692,5.834206,18.541153,6.210254
0.050000,1.413950,0.583512,1.442220,3.285089,6.947944,22.274759,6.041288
0.050000,1.583398,0.522294,1.622387,3.603342,6.365047,-11.657951,5.828192
0.050000,1.738588,0.422901,1.806678,3.685817,1.649511,-94.310716,5.598772
0.050000,1.859807,0.300905,1.978658,3.439606,-4.924220,-131.474623,5.393219
0.050000,1.944702,0.176397,2.129354,3.013920,-8.513711,-71.789825,5.232080
0.050000,2.002185,0.059875,2.259283,2.598587,-8.306679,4.140645,5.112445
0.050000,2.041460,-0.046220,2.372415,2.262631,-6.719113,31.751319,5.023804
0.050000,2.068769,-0.142206,2.472210,1.995899,-5.334634,27.689591,4.957038
0.050000,2.088031,-0.229008,2.561123,1.778264,-4.352695,19.638777,4.905695
0.050000,2.101729,-0.307505,2.640807,1.593671,-3.691862,13.216660,4.865437
0.050000,2.111481,-0.378401,2.712370,1.431265,-3.248117,8.874899,4.833354
0.050000,2.118389,-0.442227,2.776569,1.283987,-2.945562,6.051106,4.807463
0.050000,2.123224,-0.499385,2.833931,1.147236,-2.735030,4.210627,4.786386
0.050000,2.126543,-0.550175,2.884829,1.017960,-2.585524,2.990122,4.769142
0.050000,2.128760,-0.594824,2.929533,0.894088,-2.477427,2.161938,4.755023
0.050000,2.130185,-0.633507,2.968242,0.774181,-2.398142,1.585708,4.743512
0.050000,2.131054,-0.666356,3.001103,0.657210,-2.339431,1.174223,4.734222
0.050000,2.131546,-0.693472,3.028224,0.542419,-2.295818,0.872263,4.726868
0.050000,2.131796,-0.714933,3.049686,0.429238,-2.263611,0.644125,4.721240
0.050000,2.131904,-0.730794,3.065547,0.317223,-2.240311,0.466002,4.717185
0.050000,2.131940,-0.741189,3.075943,0.207911,-2.186227,1.081675,4.714574
0.050000,2.131949,-0.746929,3.081682,0.114798,-1.862258,6.479386,4.713148
0.050000,2.131950,-0.749405,3.084158,0.049516,-1.305655,11.132061,4.712536
0.050000,2.131950,-0.750000,3.084753,0.011902,-0.752278,11.067539,4.712389
0.050000,2.131950,-0.750000,3.084753,0.000000,-0.238035,10.284853,4.712389
