dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000649,0.381950,0.000625,0.025000,0.500000,10.000000,6.283033
0.050000,0.003396,0.381949,0.003371,0.054928,0.598554,1.971084,6.282388
0.050000,0.009574,0.381939,0.009550,0.123566,1.372767,15.484252,6.280939
0.050000,0.020554,0.381900,0.020530,0.219600,1.920675,10.958155,6.278373
0.050000,0.037015,0.381790,0.036991,0.329222,2.192454,5.435592,6.274548
0.050000,0.058945,0.381545,0.058922,0.438629,2.188122,-0.086645,6.269491
0.050000,0.086328,0.381084,0.086309,0.547739,2.182217,-0.118090,6.263241
0.050000,0.119142,0.380308,0.119133,0.656471,2.174641,-0.151531,6.255849
0.050000,0.157360,0.379100,0.157370,0.764735,2.165280,-0.187221,6.247374
0.050000,0.200946,0.377331,0.200991,0.872436,2.154017,-0.225247,6.237891
0.050000,0.249857,0.374858,0.249965,0.979473,2.140742,-0.265518,6.227487
0.050000,0.304042,0.371530,0.304252,1.085741,2.125354,-0.307746,6.216262
0.050000,0.363440,0.367191,0.363809,1.191130,2.107782,-0.351449,6.204332
0.050000,0.427982,0.361682,0.428585,1.295529,2.087983,-0.395972,6.191825
0.050000,0.497589,0.354847,0.498526,1.398827,2.065957,-0.440528,6.178887
0.050000,0.572173,0.346537,0.573572,1.500914,2.041744,-0.484259,6.165675
0.050000,0.651640,0.336613,0.653656,1.601686,2.015428,-0.526324,6.152362
0.050000,0.735889,0.324954,0.738709,1.701042,1.987128,-0.565988,6.139133
0.050000,0.824815,0.311458,0.828653,1.798892,1.956992,-0.602727,6.126186
0.050000,0.918312,0.296050,0.923411,1.895151,1.925176,-0.636318,6.113728
0.050000,1.016271,0.278685,1.022898,1.989742,1.891830,-0.666910,6.101979
0.050000,1.118591,0.259352,1.127028,2.082596,1.857077,-0.695069,6.091165
0.050000,1.225171,0.238082,1.235710,2.173645,1.820988,-0.721773,6.081523
0.050000,1.335922,0.214947,1.348851,2.262824,1.783570,-0.748368,6.073298
0.050000,1.450761,0.190069,1.466354,2.350061,1.744747,-0.776468,6.066744
0.050000,1.569002,0.163762,1.587486,2.422640,1.451577,-5.863389,6.062144
