dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002621,-0.381951,0.002941,0.117647,2.352941,47.058824,6.282435
0.050000,0.010577,-0.381966,0.010897,0.159124,0.829533,-30.468166,6.280164
0.050000,0.023845,-0.382031,0.024166,0.265369,2.124897,25.907285,6.276401
0.050000,0.042437,-0.382206,0.042759,0.371861,2.129851,0.099082,6.271177
0.050000,0.066370,-0.382573,0.066694,0.478708,2.136946,0.141899,6.264540
0.050000,0.095664,-0.383237,0.095996,0.586025,2.146328,0.187631,6.256550
0.050000,0.130343,-0.384322,0.130692,0.693933,2.158164,0.236729,6.247286
0.050000,0.170437,-0.385973,0.170820,0.802565,2.172633,0.289368,6.236842
0.050000,0.215979,-0.388349,0.216423,0.912060,2.189902,0.345397,6.225330
0.050000,0.267002,-0.391625,0.267552,1.022566,2.210118,0.404321,6.212884
0.050000,0.323546,-0.395985,0.324263,1.134235,2.233384,0.465304,6.199656
0.050000,0.385651,-0.401622,0.386625,1.247222,2.259744,0.527214,6.185818
0.050000,0.453364,-0.408729,0.454709,1.361681,2.289180,0.588712,6.171563
0.050000,0.526730,-0.417496,0.528597,1.477761,2.321599,0.648387,6.157102
0.050000,0.605801,-0.428107,0.608377,1.595603,2.356846,0.704925,6.142668
0.050000,0.690634,-0.440730,0.694144,1.715339,2.394711,0.757303,6.128507
0.050000,0.781291,-0.455512,0.785998,1.837087,2.434959,0.804968,6.114883
0.050000,0.875079,-0.472063,0.881236,1.904749,1.353245,-21.634279,6.102415
0.050000,0.969266,-0.489820,0.977082,1.916928,0.243579,-22.193319,6.091542
0.050000,1.063866,-0.508644,1.073536,1.929088,0.243197,-0.007642,6.082260
0.050000,1.158896,-0.528394,1.170597,1.941213,0.242508,-0.013781,6.074565
0.050000,1.254378,-0.548926,1.268262,1.953298,0.241684,-0.016474,6.068452
0.050000,1.350338,-0.570096,1.366529,1.965341,0.240867,-0.016345,6.063915
0.050000,1.446803,-0.591758,1.465396,1.977349,0.240167,-0.014007,6.060950
0.050000,1.543806,-0.613762,1.564863,1.989332,0.239664,-0.010050,6.059553
0.050000,1.641378,-0.635958,1.664928,2.001303,0.239412,-0.005049,6.059724
0.050000,1.739555,-0.658193,1.765592,2.013275,0.239434,0.000441,6.061462
0.050000,1.838373,-0.680311,1.866855,2.025261,0.239727,0.005870,6.064768
0.050000,1.937868,-0.702154,1.968719,2.037274,0.240262,0.010690,6.069648
0.050000,2.038073,-0.723558,2.071185,2.049323,0.240979,0.014340,6.076105
0.050000,2.139024,-0.744356,2.174255,2.061413,0.241791,0.016245,6.084146
0.050000,2.240749,-0.764380,2.277933,2.073542,0.242582,0.015809,6.093774
0.050000,2.343275,-0.783453,2.382218,2.085702,0.243202,0.012417,6.104994
0.050000,2.446623,-0.801397,2.487111,2.097876,0.243475,0.005446,6.117809
0.050000,2.550805,-0.818028,2.592613,2.110035,0.243189,-0.005715,6.132215
0.050000,2.655828,-0.833160,2.698720,2.122140,0.242107,-0.021636,6.148207
0.050000,2.761684,-0.846603,2.805427,2.134139,0.239967,-0.042801,6.165771
0.050000,2.868358,-0.858166,2.912725,2.145963,0.236490,-0.069548,6.184883
0.050000,2.975816,-0.867658,3.020602,2.157533,0.231390,-0.102003,6.205510
0.050000,3.084012,-0.874890,3.129040,2.168752,0.224389,-0.140003,6.227607
0.050000,3.192883,-0.879676,3.238015,2.179514,0.215239,-0.183016,6.251113
0.050000,3.302346,-0.881838,3.347500,2.189701,0.203734,-0.230086,6.275953
0.050000,3.419553,-0.880339,3.464716,2.344317,3.092325,57.771807,0.037923
0.050000,3.542329,-0.872041,3.587773,2.461134,2.336341,-15.119681,0.098337
0.050000,3.668276,-0.855184,3.714843,2.541394,1.605196,-14.622896,0.169279
0.050000,3.797224,-0.827677,3.846692,2.636982,1.911759,6.131266,0.252765
0.050000,3.928386,-0.786991,3.984020,2.746557,2.191504,5.594899,0.350639
0.050000,4.059895,-0.730402,4.127186,2.863339,2.335642,2.882754,0.463856
0.050000,4.188348,-0.655674,4.275795,2.972177,2.176750,-3.177829,0.591385
0.050000,4.308836,-0.562184,4.428300,3.050099,1.558443,-12.366140,0.729167
0.050000,4.413101,-0.455324,4.577600,2.985986,-1.282257,-56.814001,0.866136
0.050000,4.496239,-0.344093,4.716467,2.777347,-4.172779,-57.810437,0.991013
0.050000,4.559808,-0.234310,4.843327,2.537192,-4.803102,-12.606479,1.099780
0.050000,4.606999,-0.129895,4.957910,2.291675,-4.910343,-2.144803,1.191749
0.050000,4.641312,-0.032986,5.060716,2.056105,-4.711403,3.978791,1.268242
0.050000,4.665857,0.055503,5.152545,1.836586,-4.390373,6.420602,1.331373
0.050000,4.683133,0.135338,5.234228,1.633669,-4.058346,6.640541,1.383326
0.050000,4.695066,0.206619,5.306501,1.445462,-3.764145,5.884020,1.426032
0.050000,4.703108,0.269577,5.369971,1.269390,-3.521421,4.854481,1.461085
0.050000,4.708353,0.324476,5.425120,1.102977,-3.328271,3.862997,1.489750
0.050000,4.711622,0.371568,5.472325,0.944098,-3.177575,3.013912,1.513015
0.050000,4.713536,0.411072,5.511876,0.791021,-3.061534,2.320827,1.531641
0.050000,4.714558,0.443174,5.543993,0.642355,-2.973328,1.764130,1.546205
0.050000,4.715033,0.468018,5.568842,0.496978,-2.907534,1.315876,1.557140
0.050000,4.715207,0.485716,5.586541,0.353975,-2.860077,0.949132,1.564754
0.050000,4.715247,0.496345,5.597170,0.212572,-2.828044,0.640671,1.569259
0.050000,4.715250,0.499950,5.600775,0.072098,-2.809493,0.371008,1.570775
0.050000,4.715250,0.500000,5.600825,0.001007,-1.421820,27.753455,1.570796
0.050000,4.715250,0.500000,5.600825,0.000000,-0.020133,28.033740,1.570796
