dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002053,0.368055,0.002083,0.083333,1.666667,33.333333,0.000000
0.050000,0.010387,0.368055,0.010417,0.166667,1.666667,-0.000000,0.000000
0.050000,0.027053,0.368055,0.027083,0.333333,3.333333,33.333333,0.000000
0.050000,0.052053,0.368055,0.052083,0.500000,3.333333,-0.000000,0.000000
0.050000,0.085387,0.368055,0.085417,0.666667,3.333333,-0.000000,0.000000
0.050000,0.127053,0.368055,0.127083,0.833333,3.333333,-0.000000,0.000000
0.050000,0.177053,0.368055,0.177083,1.000000,3.333333,0.000000,0.000000
0.050000,0.235387,0.368055,0.235417,1.166667,3.333333,0.000000,0.000000
0.050000,0.302053,0.368055,0.302083,1.333333,3.333333,-0.000000,0.000000
0.050000,0.377053,0.368055,0.377083,1.500000,3.333333,-0.000000,0.000000
0.050000,0.460387,0.368055,0.460417,1.666667,3.333333,-0.000000,0.000000
0.050000,0.552053,0.368055,0.552083,1.833333,3.333333,0.000000,0.000000
0.050000,0.652053,0.368055,0.652083,2.000000,3.333333,0.000000,0.000000
0.050000,0.760387,0.368055,0.760417,2.166667,3.333333,-0.000000,0.000000
0.050000,0.877053,0.368055,0.877083,2.333333,3.333333,-0.000000,0.000000
0.050000,1.002053,0.368055,1.002083,2.500000,3.333333,0.000000,0.000000
0.050000,1.135387,0.368055,1.135417,2.666667,3.333333,0.000000,0.000000
0.050000,1.277053,0.368055,1.277083,2.833333,3.333333,-0.000000,0.000000
0.050000,1.424970,0.368055,1.425000,2.958333,2.500000,-16.666667,0.000000
0.050000,1.574970,0.368055,1.575000,3.000000,0.833333,-33.333333,0.000000
0.050000,1.722887,0.368055,1.722917,2.958342,-0.833167,-33.330000,0.000000
0.050000,1.864555,0.368055,1.864585,2.833358,-2.499667,-33.330000,0.000000
0.050000,1.997890,0.368055,1.997920,2.666700,-3.333167,-16.670000,0.000000
0.050000,2.122892,0.368055,2.122922,2.500033,-3.333333,-0.003333,0.000000
0.050000,2.239560,0.368055,2.239590,2.333367,-3.333333,-0.000000,0.000000
0.050000,2.347895,0.368055,2.347925,2.166700,-3.333333,0.000000,0.000000
0.050000,2.447897,0.368055,2.447927,2.000033,-3.333333,0.000000,0.000000
0.050000,2.539565,0.368055,2.539595,1.833367,-3.333333,-0.000000,0.000000
0.050000,2.622900,0.368055,2.622930,1.666700,-3.333333,0.000000,0.000000
0.050000,2.697902,0.368055,2.697932,1.500033,-3.333333,0.000000,0.000000
0.050000,2.764570,0.368055,2.764600,1.333367,-3.333333,-0.000000,0.000000
0.050000,2.822905,0.368055,2.822935,1.166700,-3.333333,0.000000,0.000000
0.050000,2.872907,0.368055,2.872937,1.000033,-3.333333,0.000000,0.000000
0.050000,2.914575,0.368055,2.914605,0.833367,-3.333333,-0.000000,0.000000
0.050000,2.947910,0.368055,2.947940,0.666700,-3.333333,0.000000,0.000000
0.050000,2.972912,0.368055,2.972942,0.500033,-3.333333,-0.000000,0.000000
0.050000,2.989580,0.368055,2.989610,0.333367,-3.333333,0.000000,0.000000
0.050000,2.997915,0.368055,2.997945,0.166700,-3.333333,0.000000,0.000000
0.050000,3.000000,0.368055,3.000030,0.041692,-2.500167,16.663333,0.000000
0.050000,3.000000,0.368055,3.000030,0.000008,-0.833667,33.330000,0.000000
0.050000,3.000000,0.368055,3.000030,0.000000,-0.000167,16.670000,0.000000
