dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000650,4.681950,0.000563,0.022500,0.450000,9.000000,6.282858
0.050000,0.003437,4.681947,0.003349,0.055732,0.664640,4.292805,6.281453
0.050000,0.009708,4.681926,0.009621,0.125429,1.393939,14.585974,6.278288
0.050000,0.020862,4.681840,0.020775,0.223092,1.953252,11.186262,6.272647
0.050000,0.037605,4.681593,0.037519,0.334884,2.235842,5.651793,6.264153
0.050000,0.059945,4.681040,0.059866,0.446944,2.241199,0.107140,6.252771
0.050000,0.087891,4.679990,0.087832,0.559312,2.247371,0.123438,6.238460
0.050000,0.121442,4.678198,0.121431,0.671984,2.253437,0.121330,6.221182
0.050000,0.160585,4.675370,0.160676,0.784892,2.258151,0.094273,6.200904
0.050000,0.205281,4.671159,0.205570,0.897886,2.259899,0.034968,6.177614
0.050000,0.255462,4.665174,0.256106,1.010721,2.256692,-0.064135,6.151335
0.050000,0.311012,4.656980,0.312258,1.123031,2.246205,-0.209757,6.122133
0.050000,0.371764,4.646110,0.373974,1.234326,2.225896,-0.406165,6.090142
0.050000,0.437482,4.632078,0.441174,1.343989,2.193249,-0.652942,6.055575
0.050000,0.507860,4.614401,0.513738,1.451294,2.146117,-0.942653,6.018741
0.050000,0.582521,4.592619,0.591511,1.555453,2.083163,-1.259071,5.980052
0.050000,0.661016,4.566322,0.674294,1.655668,2.004309,-1.577078,5.940023
0.050000,0.742850,4.535175,0.761855,1.751220,1.911048,-1.865230,5.899266
0.050000,0.827496,4.498936,0.853933,1.841545,1.806486,-2.091225,5.858466
0.050000,0.914431,4.457476,0.950247,1.926296,1.695021,-2.229304,5.818353
0.050000,1.002588,4.411095,1.049862,1.992283,1.319746,-7.505500,5.779911
0.050000,1.090495,4.360597,1.151240,2.027572,0.705778,-12.279359,5.744215
0.050000,1.176920,4.306971,1.252951,2.034210,0.132757,-11.460432,5.712071
0.050000,1.260863,4.251316,1.353667,2.014334,-0.397514,-10.605416,5.684005
0.050000,1.342019,4.194422,1.452779,1.982241,-0.641854,-4.886793,5.660142
0.050000,1.420656,4.136696,1.550330,1.951020,-0.624436,0.348365,5.640368
0.050000,1.497049,4.078498,1.646366,1.920713,-0.606143,0.365856,5.624563
0.050000,1.571468,4.020155,1.740929,1.891255,-0.589157,0.339716,5.612616
0.050000,1.644174,3.961964,1.834054,1.862504,-0.575005,0.283039,5.604433
0.050000,1.715413,3.904203,1.925767,1.834269,-0.564699,0.206113,5.599947
0.050000,1.785415,3.847135,2.016084,1.806326,-0.558859,0.116805,5.599119
0.050000,1.854392,3.791017,2.105006,1.778437,-0.557798,0.021227,5.601941
0.050000,1.922536,3.736101,2.192523,1.750358,-0.561572,-0.075489,5.608439
0.050000,1.990020,3.682642,2.278616,1.721858,-0.569992,-0.168393,5.618668
0.050000,2.056994,3.630894,2.363253,1.692729,-0.582588,-0.251912,5.632708
0.050000,2.123588,3.581119,2.446393,1.662802,-0.598540,-0.319058,5.650666
0.050000,2.189909,3.533582,2.527992,1.631973,-0.616575,-0.360695,5.672657
0.050000,2.256043,3.488546,2.608003,1.600232,-0.634825,-0.364989,5.698802
0.050000,2.321827,3.446413,2.686123,1.562400,-0.756644,-2.436395,5.729093
0.050000,2.386671,3.407768,2.761610,1.509727,-1.053447,-5.936059,5.763196
0.050000,2.449784,3.373144,2.833596,1.439734,-1.399877,-6.928593,5.800432
0.050000,2.510368,3.342871,2.901323,1.354538,-1.703911,-6.080678,5.839847
0.050000,2.567848,3.316969,2.964369,1.260910,-1.872558,-3.372942,5.880405
0.050000,2.622058,3.295153,3.022805,1.168719,-1.843812,0.574914,5.921250
0.050000,2.673024,3.277014,3.076902,1.081949,-1.735414,2.167965,5.961674
0.050000,2.720768,3.262141,3.126908,1.000126,-1.636457,1.979144,6.001028
0.050000,2.765306,3.250131,3.173038,0.922591,-1.550702,1.715100,6.038753
0.050000,2.806649,3.240595,3.215466,0.848571,-1.480393,1.406176,6.074386
0.050000,2.844797,3.233170,3.254330,0.777264,-1.426139,1.085089,6.107573
0.050000,2.879738,3.227518,3.289725,0.707908,-1.387120,0.780368,6.138060
0.050000,2.911454,3.223329,3.321717,0.639833,-1.361499,0.512424,6.165677
0.050000,2.939920,3.220324,3.350341,0.572490,-1.346872,0.292545,6.190328
0.050000,2.965108,3.218253,3.375614,0.505456,-1.340669,0.124051,6.211974
0.050000,2.986988,3.216898,3.397536,0.438434,-1.340445,0.004493,6.230613
0.050000,3.005531,3.216068,3.416097,0.371232,-1.344044,-0.071989,6.246267
0.050000,3.020711,3.215604,3.431285,0.303748,-1.349681,-0.112746,6.258974
0.050000,3.032507,3.215376,3.443082,0.235950,-1.355946,-0.125297,6.268775
0.050000,3.040899,3.215284,3.451475,0.167862,-1.361775,-0.116569,6.275708
0.050000,3.046110,3.215256,3.456686,0.104221,-1.272815,1.779189,6.279994
0.050000,3.048794,3.215251,3.459371,0.053685,-1.010710,5.242091,6.282197
0.050000,3.049806,3.215250,3.460382,0.020225,-0.669201,6.830187,6.283026
0.050000,3.050000,3.215250,3.460576,0.003886,-0.326783,6.848363,0.000000
0.050000,3.050000,3.215250,3.460576,0.000000,-0.077725,4.981160,0.000000
