dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000400,3.918050,0.000563,0.022500,0.450000,9.000000,6.282858
0.050000,0.002113,3.918048,0.002276,0.034268,0.235360,-4.292808,6.281453
0.050000,0.005967,3.918035,0.006129,0.077071,0.856059,12.413998,6.278288
0.050000,0.012812,3.917983,0.012975,0.136908,1.196740,6.813613,6.272647
0.050000,0.023067,3.917831,0.023231,0.205115,1.364135,3.347904,6.264153
0.050000,0.036715,3.917494,0.036883,0.273053,1.358756,-0.107586,6.252771
0.050000,0.053737,3.916854,0.053917,0.340680,1.352553,-0.124050,6.238460
0.050000,0.074108,3.915766,0.074317,0.408003,1.346448,-0.122114,6.221182
0.050000,0.097801,3.914054,0.098072,0.475087,1.341686,-0.095234,6.200904
0.050000,0.124785,3.911512,0.125176,0.542081,1.339882,-0.036087,6.177614
0.050000,0.155033,3.907905,0.155637,0.609232,1.343026,0.062885,6.151335
0.050000,0.188515,3.902966,0.189483,0.676905,1.353449,0.208452,6.122133
0.050000,0.225212,3.896399,0.226762,0.745589,1.373694,0.404908,6.090142
0.050000,0.265108,3.887880,0.267557,0.815904,1.406288,0.651890,6.055575
0.050000,0.308198,3.877056,0.311986,0.888573,1.453388,0.941996,6.018741
0.050000,0.354487,3.863549,0.360205,0.964390,1.516339,1.259013,5.980052
0.050000,0.403989,3.846961,0.412413,1.044152,1.595229,1.577800,5.940023
0.050000,0.456726,3.826884,0.468842,1.128580,1.688571,1.866834,5.899266
0.050000,0.512720,3.802906,0.529754,1.218243,1.793255,2.093694,5.858466
0.050000,0.571995,3.774629,0.595429,1.313487,1.904879,2.232477,5.818353
0.050000,0.634162,3.741913,0.665679,1.405008,1.830415,-1.489294,5.779911
0.050000,0.698422,3.704989,0.739791,1.482242,1.544679,-5.714714,5.744215
0.050000,0.763979,3.664302,0.816948,1.543136,1.217890,-6.535773,5.712071
0.050000,0.830049,3.620489,0.896225,1.585548,0.848231,-7.393175,5.684005
0.050000,0.896276,3.574054,0.977109,1.617673,0.642509,-4.114453,5.660142
0.050000,0.962734,3.525262,1.059555,1.648922,0.624971,-0.350757,5.640368
0.050000,1.029521,3.474378,1.143517,1.679250,0.606566,-0.368090,5.624563
0.050000,1.096756,3.421663,1.228954,1.708724,0.589478,-0.341766,5.612616
0.050000,1.164580,3.367377,1.315828,1.737486,0.575232,-0.284915,5.604433
0.050000,1.233157,3.311774,1.404114,1.765727,0.564840,-0.207849,5.599947
0.050000,1.302668,3.255106,1.493798,1.793673,0.558918,-0.118448,5.599119
0.050000,1.373319,3.197627,1.584876,1.821562,0.557776,-0.022830,5.601941
0.050000,1.445329,3.139598,1.677358,1.849636,0.561470,0.073871,5.608439
0.050000,1.518939,3.081288,1.771264,1.878126,0.569805,0.166705,5.618668
0.050000,1.594402,3.022986,1.866626,1.907241,0.582310,0.250104,5.632708
0.050000,1.671987,2.965003,1.963484,1.937150,0.598165,0.317090,5.650666
0.050000,1.751965,2.907684,2.061881,1.967954,0.616092,0.358544,5.672657
0.050000,1.834611,2.851413,2.161865,1.999665,0.634225,0.362662,5.698802
0.050000,1.919885,2.796809,2.263123,2.025168,0.510050,-2.483499,5.729093
0.050000,2.007111,2.744837,2.364659,2.030716,0.110955,-7.981892,5.763196
0.050000,2.095167,2.696543,2.465088,2.008592,-0.442480,-11.068709,5.800432
0.050000,2.182688,2.652821,2.562922,1.956682,-1.038196,-11.914308,5.839847
0.050000,2.268416,2.614201,2.656948,1.880514,-1.523363,-9.703357,5.880405
0.050000,2.351573,2.580743,2.746584,1.792714,-1.755999,-4.652703,5.921250
0.050000,2.431631,2.552257,2.831559,1.699501,-1.864256,-2.165149,5.961674
0.050000,2.508077,2.528448,2.911626,1.601345,-1.963113,-1.977137,6.001028
0.050000,2.580438,2.508938,2.986571,1.498905,-2.048812,-1.713982,6.038753
0.050000,2.648304,2.493287,3.056219,1.392949,-2.119107,-1.405895,6.074386
0.050000,2.711335,2.481019,3.120433,1.284280,-2.173382,-1.085496,6.107573
0.050000,2.769265,2.471648,3.179116,1.173658,-2.212445,-0.781264,6.138060
0.050000,2.821896,2.464697,3.232203,1.061752,-2.238125,-0.513606,6.165677
0.050000,2.869089,2.459715,3.279659,0.949111,-2.252817,-0.293845,6.190328
0.050000,2.910756,2.456289,3.321467,0.836157,-2.259084,-0.125334,6.211974
0.050000,2.946846,2.454053,3.357626,0.723188,-2.259368,-0.005678,6.230613
0.050000,2.977336,2.452688,3.388146,0.610397,-2.255820,0.070954,6.246267
0.050000,3.002218,2.451927,3.413040,0.497886,-2.250226,0.111882,6.258974
0.050000,3.021499,2.451555,3.432325,0.385686,-2.243996,0.124605,6.268775
0.050000,3.035187,2.451405,3.446014,0.273777,-2.238193,0.116050,6.275708
0.050000,3.043673,2.451360,3.454499,0.169713,-2.081270,3.138476,6.279994
0.050000,3.048040,2.451351,3.458866,0.087339,-1.647482,8.675751,6.282197
0.050000,3.049684,2.451350,3.460511,0.032889,-1.088994,11.169751,6.283026
0.050000,3.050000,2.451350,3.460827,0.006319,-0.531413,11.151628,0.000000
0.050000,3.050000,2.451350,3.460827,0.000000,-0.126373,8.100799,0.000000
