dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000389,1.781950,0.000547,0.021875,0.437500,8.750000,0.000316
0.050000,0.002058,1.781952,0.002216,0.033380,0.230094,-4.148116,0.001674
0.050000,0.005812,1.781964,0.005970,0.075077,0.833942,12.076950,0.004732
0.050000,0.012480,1.782013,0.012639,0.133378,1.166021,6.641582,0.010180
0.050000,0.022472,1.782156,0.022631,0.199855,1.329542,3.270433,0.018381
0.050000,0.035774,1.782474,0.035937,0.266104,1.324972,-0.091408,0.029363
0.050000,0.052367,1.783075,0.052541,0.332092,1.319771,-0.104016,0.043162
0.050000,0.072232,1.784099,0.072433,0.397831,1.314778,-0.099864,0.059808
0.050000,0.095346,1.785709,0.095602,0.463387,1.311119,-0.073191,0.079328
0.050000,0.121682,1.788100,0.122047,0.528899,1.310236,-0.017647,0.101724
0.050000,0.151218,1.791492,0.151777,0.594594,1.313899,0.073247,0.126975
0.050000,0.183930,1.796135,0.184817,0.660802,1.324160,0.205221,0.155012
0.050000,0.219801,1.802307,0.221215,0.727964,1.343254,0.381891,0.185711
0.050000,0.258820,1.810312,0.261047,0.796634,1.373402,0.602968,0.218874
0.050000,0.300985,1.820479,0.304420,0.867460,1.416519,0.862340,0.254218
0.050000,0.346301,1.833163,0.351477,0.941153,1.473850,1.146610,0.291368
0.050000,0.394783,1.848734,0.402399,1.018433,1.545595,1.434905,0.329856
0.050000,0.446453,1.867577,0.457397,1.099964,1.630633,1.700755,0.369123
0.050000,0.501334,1.890078,0.516712,1.186287,1.726448,1.916310,0.408544
0.050000,0.559450,1.916613,0.580599,1.277755,1.829361,2.058245,0.447445
0.050000,0.620424,1.947319,0.648868,1.365376,1.752432,-1.538569,0.484899
0.050000,0.683470,1.981988,0.720818,1.439000,1.472474,-5.599162,0.519874
0.050000,0.747809,2.020215,0.795656,1.496765,1.155293,-6.343621,0.551584
0.050000,0.812665,2.061414,0.872491,1.536693,0.798566,-7.134533,0.579501
0.050000,0.877679,2.105119,0.950830,1.566782,0.601775,-3.935819,0.603481
0.050000,0.942914,2.151092,1.030637,1.596142,0.587193,-0.291640,0.623618
0.050000,1.008451,2.199093,1.111872,1.624699,0.571152,-0.320829,0.640019
0.050000,1.074391,2.248879,1.194496,1.652482,0.555665,-0.309734,0.652783
0.050000,1.140852,2.300216,1.278476,1.679592,0.542185,-0.269606,0.661999
0.050000,1.207975,2.352867,1.363785,1.706177,0.531708,-0.209548,0.667736
0.050000,1.275914,2.406602,1.450406,1.732421,0.524875,-0.136660,0.670037
0.050000,1.344846,2.461186,1.538332,1.758523,0.522051,-0.056482,0.668921
0.050000,1.414960,2.516385,1.627567,1.784692,0.523373,0.026459,0.664379
0.050000,1.486462,2.571953,1.718123,1.811131,0.528775,0.108039,0.656376
0.050000,1.559573,2.627636,1.810025,1.838029,0.537972,0.183942,0.644851
0.050000,1.634526,2.683160,1.903302,1.865551,0.550425,0.249050,0.629722
0.050000,1.711560,2.738224,1.997993,1.893814,0.565269,0.296872,0.610893
0.050000,1.790918,2.792501,2.094137,1.922875,0.581221,0.319054,0.588257
0.050000,1.872837,2.845621,2.191771,1.952699,0.596477,0.305106,0.561714
0.050000,1.957187,2.896966,2.290520,1.974965,0.445320,-3.023126,0.531319
0.050000,2.043196,2.945605,2.389329,1.976186,0.024417,-8.418072,0.497457
0.050000,2.129715,2.990581,2.486840,1.950212,-0.519470,-10.877734,0.460827
0.050000,2.215372,3.031098,2.581596,1.895127,-1.101717,-11.644936,0.422375
0.050000,2.298988,3.066738,2.672491,1.817894,-1.544642,-8.858496,0.383076
0.050000,2.379881,3.097513,2.759041,1.731001,-1.737871,-3.864599,0.343697
0.050000,2.457565,3.123637,2.841000,1.639177,-1.836470,-1.971978,0.304886
0.050000,2.531574,3.145412,2.918145,1.542902,-1.925517,-1.780924,0.267225
0.050000,2.601484,3.163209,2.990285,1.442799,-2.002050,-1.530660,0.231215
0.050000,2.666931,3.177451,3.057263,1.339576,-2.064451,-1.248021,0.197266
0.050000,2.727615,3.188587,3.118961,1.233953,-2.112473,-0.960443,0.165690
0.050000,2.783303,3.197073,3.175291,1.126602,-2.147025,-0.691035,0.136715
0.050000,2.833820,3.203349,3.226197,1.018111,-2.169819,-0.455881,0.110489
0.050000,2.879046,3.207831,3.271645,0.908961,-2.182996,-0.263546,0.087099
0.050000,2.918904,3.210900,3.311621,0.799521,-2.188806,-0.116197,0.066581
0.050000,2.953350,3.212891,3.346123,0.690052,-2.189376,-0.011409,0.048940
0.050000,2.982361,3.214097,3.375160,0.580723,-2.186579,0.055942,0.034157
0.050000,3.005932,3.214762,3.398741,0.471624,-2.181971,0.092170,0.022201
0.050000,3.024069,3.215081,3.416880,0.362785,-2.176785,0.103720,0.013040
0.050000,3.036778,3.215206,3.429589,0.254187,-2.171956,0.096575,0.006640
0.050000,3.044509,3.215242,3.437321,0.154626,-1.991226,3.614592,0.002755
0.050000,3.048387,3.215249,3.441198,0.077553,-1.541458,8.995369,0.000809
0.050000,3.049766,3.215250,3.442578,0.027585,-0.999373,10.841696,0.000117
0.050000,3.050000,3.215250,3.442812,0.004685,-0.457993,10.827601,0.000000
0.050000,3.050000,3.215250,3.442812,0.000000,-0.093697,7.285911,0.000000
