dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000650,-0.381950,0.000563,0.022500,0.450000,9.000000,0.000326
0.050000,0.003433,-0.381947,0.003346,0.055667,0.663335,4.266698,0.001722
0.050000,0.009697,-0.381926,0.009610,0.125279,1.392250,14.578301,0.004868
0.050000,0.020837,-0.381841,0.020751,0.222816,1.950727,11.169535,0.010473
0.050000,0.037558,-0.381595,0.037473,0.334446,2.232608,5.637632,0.018909
0.050000,0.059867,-0.381047,0.059789,0.446316,2.237392,0.095675,0.030209
0.050000,0.087770,-0.380006,0.087711,0.558455,2.242795,0.108064,0.044407
0.050000,0.121266,-0.378230,0.121254,0.670850,2.247902,0.102125,0.061537
0.050000,0.160337,-0.375429,0.160425,0.783424,2.251479,0.071553,0.081624
0.050000,0.204944,-0.371262,0.205226,0.896022,2.251950,0.009419,0.104669
0.050000,0.255015,-0.365344,0.255646,1.008391,2.247387,-0.091270,0.130643
0.050000,0.310435,-0.357248,0.311654,1.120169,2.235560,-0.236537,0.159470
0.050000,0.371036,-0.346517,0.373198,1.230873,2.214067,-0.429861,0.191009
0.050000,0.436586,-0.332678,0.440193,1.339901,2.180560,-0.670130,0.225040
0.050000,0.506785,-0.315261,0.512521,1.446555,2.133083,-0.949544,0.261253
0.050000,0.581264,-0.293818,0.590025,1.550078,2.070476,-1.252146,0.299239
0.050000,0.659589,-0.267951,0.672510,1.649717,1.992777,-1.553965,0.338488
0.050000,0.741279,-0.237334,0.759750,1.744792,1.901498,-1.825592,0.378403
0.050000,0.825828,-0.201732,0.851489,1.834774,1.799630,-2.037347,0.418316
0.050000,0.912730,-0.161017,0.947456,1.919340,1.691329,-2.166027,0.457517
0.050000,1.000938,-0.115481,1.046723,1.985353,1.320246,-7.421661,0.495051
0.050000,1.088988,-0.065911,1.147768,2.020893,0.710814,-12.188644,0.529872
0.050000,1.175651,-0.013271,1.249166,2.027954,0.141209,-11.392090,0.561196
0.050000,1.259922,0.041360,1.349596,2.008608,-0.386910,-10.562379,0.588513
0.050000,1.341486,0.097211,1.448449,1.977065,-0.630856,-4.878932,0.611698
0.050000,1.420602,0.153881,1.545767,1.946354,-0.614231,0.332506,0.630860
0.050000,1.497532,0.211015,1.641593,1.916508,-0.596909,0.346434,0.646114
0.050000,1.572539,0.268288,1.735966,1.887462,-0.580937,0.319445,0.657565
0.050000,1.645873,0.325407,1.828919,1.859074,-0.567748,0.263783,0.665299
0.050000,1.717772,0.382093,1.920477,1.831160,-0.558292,0.189117,0.669378
0.050000,1.788458,0.438084,2.010652,1.803502,-0.553147,0.102902,0.669837
0.050000,1.858136,0.493124,2.099446,1.775872,-0.552596,0.011019,0.666678
0.050000,1.926990,0.546959,2.186848,1.748039,-0.556671,-0.081507,0.659877
0.050000,1.995186,0.599337,2.272837,1.719781,-0.565158,-0.169741,0.649376
0.050000,2.062869,0.650001,2.357382,1.690903,-0.577563,-0.248087,0.635097
0.050000,2.130163,0.698693,2.440445,1.661251,-0.593040,-0.309543,0.616936
0.050000,2.197170,0.745151,2.521982,1.630736,-0.610292,-0.345035,0.594783
0.050000,2.263970,0.789112,2.601950,1.599364,-0.627439,-0.342952,0.568524
0.050000,2.330314,0.830133,2.679951,1.560031,-0.786657,-3.184345,0.538218
0.050000,2.395519,0.867609,2.755159,1.504151,-1.117604,-6.618951,0.504270
0.050000,2.458787,0.901049,2.826720,1.431226,-1.458495,-6.817822,0.467395
0.050000,2.519314,0.930162,2.893885,1.343294,-1.758656,-6.003216,0.428571
0.050000,2.576605,0.954992,2.956325,1.248808,-1.889720,-2.621273,0.388787
0.050000,2.630580,0.975868,3.014197,1.157430,-1.827550,1.243396,0.348822
0.050000,2.681265,0.993188,3.067759,1.071254,-1.723521,2.080581,0.309357
0.050000,2.728684,1.007355,3.117249,0.989798,-1.629133,1.887762,0.271009
0.050000,2.772855,1.018764,3.162870,0.912411,-1.547722,1.628218,0.234310
0.050000,2.813789,1.027791,3.204788,0.838352,-1.481186,1.330716,0.199698
0.050000,2.851487,1.034793,3.243130,0.766856,-1.429918,1.025366,0.167506
0.050000,2.885942,1.040097,3.277991,0.697205,-1.393023,0.737902,0.137977
0.050000,2.917136,1.044005,3.309429,0.628770,-1.368701,0.486426,0.111271
0.050000,2.945050,1.046788,3.337481,0.561037,-1.354666,0.280711,0.087478
0.050000,2.969657,1.048688,3.362162,0.493612,-1.348498,0.123361,0.066641
0.050000,2.990933,1.049916,3.383472,0.426217,-1.347906,0.011843,0.048762
0.050000,3.008851,1.050656,3.401406,0.358673,-1.350876,-0.059409,0.033822
0.050000,3.023390,1.051061,3.415950,0.290886,-1.355740,-0.097277,0.021790
0.050000,3.034529,1.051252,3.427092,0.222827,-1.361179,-0.108785,0.012630
0.050000,3.042255,1.051326,3.434817,0.154517,-1.366201,-0.100429,0.006309
0.050000,3.046876,1.051346,3.439438,0.092419,-1.241956,2.484900,0.002542
0.050000,3.049136,1.051350,3.441698,0.045201,-0.944360,5.951910,0.000703
0.050000,3.049891,1.051350,3.442454,0.015108,-0.601855,6.850098,0.000088
0.050000,3.050000,1.051350,3.442563,0.002175,-0.258670,6.863709,0.000000
0.050000,3.050000,1.051350,3.442563,0.000000,-0.043497,4.303463,0.000000
